game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
wwii,bodega-cervantes,high-round,,xbox,https://youtube.com/watch?v=WfD8or0LjCk,,co-op,65,4,Rebirthh,moonshne,WristToWork nn,ARC ANG3L 95,0,
wwii,bodega-cervantes,high-round,,xbox,https://youtube.com/watch?v=cQI6qrVWXbA,,co-op,29,4,Rebirthh,IWiiTallDiD,ARC ANG3L 95,sammjay124,0,
wwii,bodega-cervantes,flawless,,xbox,https://youtube.com/watch?v=y4jJ78wrnU0,,co-op,42,4,Rebirthh,moonshne,ARC ANG3L 95,WristToWork nn,0,
wwii,bodega-cervantes,flawless,,xbox,https://youtube.com/watch?v=bJ6uw0sG2h8,,co-op,28,4,IWiiTallDiD,Rebirthh,sammjay124,ARC ANG3L 95,0,
wwii,bodega-cervantes,30-speedrun,with-consumables,xbox,https://youtube.com/watch?v=Ym1NLa_gJFk,,co-op,36:03,4,Rebirthh,moonshne,ARC ANG3L 95,WristToWork nn,0,
wwii,bodega-cervantes,50-speedrun,with-consumables,xbox,https://youtube.com/watch?v=HU8v4_uKdc4,,co-op,1:45:25,4,Rebirthh,WristToWork nn,moonshne,ARC ANG3L 95,0,
wwii,into-the-storm,the-tortured-path-speedrun,walkthrough-with-consumables,xbox,https://youtube.com/watch?v=9HZLgegqA5Q,,co-op,14:52,2,Rebirthh,ARC ANG3L 95,,,0,
wwii,across-the-depths,the-tortured-path-speedrun,walkthrough-with-consumables,xbox,https://youtube.com/watch?v=jSM_qwr6feo,,co-op,22:43,4,Rebirthh,ARC ANG3L 95,moonshne,IWiiTallDiD,0,
wwii,beneath-the-ice,the-tortured-path-speedrun,easter-egg-with-consumables,xbox,https://youtube.com/watch?v=yHNr0nKTWqM,,co-op,23:23,4,Rebirthh,Thom Mc Carthy,ARC ANG3L 95,WristToWork nn,0,
wwii,into-the-storm,the-tortured-path-speedrun,easter-egg-with-consumables,xbox,https://youtube.com/watch?v=XRvwQnJZ0w0,,co-op,24:16,4,WristToWork nn,Rebirthh,Thom Mc Carthy,ARC ANG3L 95,0,
wwii,across-the-depths,the-tortured-path-speedrun,easter-egg-with-consumables,xbox,https://youtube.com/watch?v=7xfXFTzxt7A,,co-op,25:11,4,ARC ANG3L 95,Rebirthh,Thom Mc Carthy,WristToWork nn,0,
wwii,across-the-depths,the-tortured-path-speedrun,easter-egg-with-consumables,xbox,https://youtube.com/watch?v=cnzTJRHyklA,,co-op,31:09,4,Rebirthh,ARC ANG3L 95,moonshne,IWiiTallDiD,0,
wwii,full-walkthrough,the-tortured-path-speedrun,easter-egg-with-consumables,xbox,https://youtube.com/watch?v=9s8pQj3BDFk,,co-op,1:36:59,4,Rebirthh,Thom Mc Carthy,WristToWork nn,ARC ANG3L 95,0,
wwii,the-frozen-dawn,ee-speedrun,with-consumables,xbox,https://youtube.com/watch?v=DWqnoZi76JI,,co-op,52:32,4,Rebirthh,ARC ANG3L 95,moonshne,CyanAntelope860,0,
