game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
vanguard,the-archon,high-round,,xbox,https://youtube.com/watch?v=AiKLBbb7OJY,,solo,156,1,ARK Xannies,,,,0,
vanguard,terra-maledicta,high-round,with-void,xbox,https://youtube.com/watch?v=k5nWt3EHkWc,,solo,135,1,ARK Xannies,,,,0,
bo6,terminus,high-round,no-gobblegums-no-support,xbox,http://twitch.tv/videos/2292509817,,solo,47,1,ARK Xannies,,,,0,
vanguard,the-archon,flawless,,xbox,https://youtube.com/watch?v=AiKLBbb7OJY,,solo,156,1,ARK Xannies,,,,0,
bo6,terminus,flawless,no-gobblegums-no-support,xbox,http://twitch.tv/videos/2292509817,,solo,47,1,ARK Xannies,,,,0,
bo6,liberty-falls,flawless,no-gobblegums-no-support,xbox,http://twitch.tv/videos/2289515391,,solo,41,1,ARK Xannies,,,,0,
bocw,firebase-z,first-room,with-support,xbox,https://youtube.com/watch?v=SMY3CnQdv9Q,,solo,99,1,ARK Xannies,,,,0,
vanguard,the-archon,first-room,,xbox,https://youtube.com/watch?v=B31AnSnmCSw,,solo,26,1,ARK Xannies,,,,0,
vanguard,shi-no-numa-reborn,first-room,,xbox,https://youtube.com/watch?v=chaTVrNOVOE,,solo,17,1,ARK Xannies,,,,0,
vanguard,terra-maledicta,ee-speedrun,,xbox,https://youtube.com/watch?v=m8qCatU1p8Y,,solo,27:41,1,ARK Xannies,,,,0,
