game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,die-maschine,high-round,with-support,steam,https://youtube.com/watch?v=lsq127l-D8E,,solo,100,1,Aaron Brasse,,,,0,
sker-ritual,sewers-of-the-dead,high-round,normal,steam,https://youtube.com/watch?v=Yz-0eGdO4Zw,,solo,21,1,Aaron Brasse,,,,0,
bocw,die-maschine,flawless,with-support,steam,https://youtube.com/watch?v=lsq127l-D8E,,solo,100,1,Aaron Brasse,,,,0,
sker-ritual,sewers-of-the-dead,first-room,normal,steam,https://youtube.com/watch?v=Yz-0eGdO4Zw,,solo,21,1,Aaron Brasse,,,,0,
bo6,terminus,first-room,no-gobblegums-no-support,cross-play,https://youtube.com/watch?v=DMeyIaeDtko,,co-op,19,2,Aaron Brasse,tietfriet,,,0,
bo6,terminus,first-room,no-gobblegums-no-support,steam,https://youtube.com/watch?v=70WHmzRkNlY,,solo,15,1,Aaron Brasse,,,,0,
custom,void-expanse-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=G4bHK20R4sM,,solo,16,1,Aaron Brasse,,,,0,
custom,1938-full-circle-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=cp-HnLrRQoA,,solo,13,1,Aaron Brasse,,,,0,
custom,requiem-waw-bo1,custom-first-room,,steam,https://youtube.com/watch?v=T4cOm2sIIa4,,solo,12,1,Aaron Brasse,,,,0,
custom,1938-full-circle-bo3,custom-no-power-bo3,,steam,https://youtube.com/watch?v=J9_u3PN2Z_A,,solo,41,1,Aaron Brasse,,,,0,
