game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,der-eisendrache,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=3BqqIfbNI8Y,,solo,78,1,Aeon_Yuuki,,,,0,
bo3,kino-der-toten,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=ZnptNvGDTzc,,co-op,56,4,Exiled Clipz,K3K41,Aeon_Yuuki,Clipz Exiled,0,
bo3,verruckt,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=nMfX0sP6iDs,,co-op,51,2,K3K41,Aeon_Yuuki,,,0,
bo3,shangri-la,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=xpjX5dRor4k,,co-op,50,3,Exiled Clipz,K3K41,Aeon_Yuuki,,0,
bo3,verruckt,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=oaqJd-OCs00,,co-op,47,3,Exiled Clipz,K3K41,Aeon_Yuuki,,0,
bo3,ascension,first-room,mega-gobblegum,playstation,https://youtube.com/watch?v=Zn6n3s1gYEw,,co-op,72,3,K3K41,Aeon_Yuuki,Exiled Clipz,,0,
bo3,shi-no-numa,first-room,mega-gobblegum,playstation,https://youtube.com/watch?v=H3z_pKdV3OI,,co-op,67,4,K3K41,Exiled Clipz,Aeon_Yuuki,JustCrazeD_,0,
bo3,verruckt,first-room,mega-gobblegum,playstation,https://youtube.com/watch?v=yteKFPMpT8A,,co-op,65,4,K3K41,Exiled Clipz,Aeon_Yuuki,Its_Gr33nZ,0,
bo3,revelations,first-room,mega-gobblegum,playstation,https://youtube.com/watch?v=ZlHw2hp10rI,,co-op,64,2,Aeon_Yuuki,MrPamaZ,,,0,
bo3,shangri-la,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=p0F9k8SKi6A,,co-op,20,2,Exiled Clipz,Aeon_Yuuki,,,0,
bo3,shangri-la,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=cgwILbPsL6g,,co-op,74,2,Aeon_Yuuki,K3K41,,,0,
bo3,ascension,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=Zn6n3s1gYEw,,co-op,72,3,K3K41,Aeon_Yuuki,Exiled Clipz,,0,
bo3,verruckt,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=6y_-SIy-RNs,,co-op,70,3,Exiled Clipz,K3K41,Aeon_Yuuki,,0,
bo3,verruckt,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=yteKFPMpT8A,,co-op,65,4,K3K41,Exiled Clipz,Aeon_Yuuki,Its_Gr33nZ,0,
bo3,shangri-la,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=XKhVYDUneA0,,co-op,40,2,K3K41,Aeon_Yuuki,,,0,
bo3,shangri-la,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=k4mKJ8Kjo7w,,co-op,33,3,Exiled Clipz,Aeon_Yuuki,K3K41,,0,
bo3,kino-der-toten,no-jug,mega-gobblegum,playstation,https://youtube.com/watch?v=4__hnDxQ9kM,,solo,87,1,Aeon_Yuuki,,,,0,
bo3,kino-der-toten,no-jug,classic-gobblegum-only,playstation,https://youtube.com/watch?v=gCiXrA4XFyI,,solo,82,1,Aeon_Yuuki,,,,0,
bo3,shi-no-numa,30-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=cvyMTDraYJc,,co-op,38:04,4,Exiled Clipz,K3K41,Aeon_Yuuki,JustCrazeD_,0,
bo3,shi-no-numa,50-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=cvyMTDraYJc,,co-op,1:40:00,4,Exiled Clipz,K3K41,Aeon_Yuuki,JustCrazeD_,0,
bo3,ascension,50-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=gRoxTfnw4ZI,,co-op,2:02:35,3,Exiled Clipz,K3K41,Aeon_Yuuki,,0,
bo3,kino-der-toten,50-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=ZnptNvGDTzc,,co-op,2:48:02,4,Exiled Clipz,K3K41,Aeon_Yuuki,Clipz Exiled,0,
bo3,shangri-la,50-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=xpjX5dRor4k,,co-op,4:10:22,3,Exiled Clipz,Aeon_Yuuki,K3K41,,0,
