game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,classified,high-round,classic-elixirs-only,playstation,http://twitch.tv/videos/337494913,,solo,103,1,Afonso890,,,,0,
bo,five,high-round,,steam,https://youtube.com/watch?v=ug8pM5mNvNc,,solo,101,1,Afonso890,,,,0,
bo4,voyage-of-despair,high-round,classic-elixirs-only,playstation,http://twitch.tv/videos/337493383,,solo,96,1,Afonso890,,,,0,
bo,call-of-the-dead,high-round,,steam,http://twitch.tv/videos/161126201,,solo,70,1,Afonso890,,,,0,
bo2,origins,flawless,,steam,https://youtube.com/watch?v=EFMMJiALhxk,,solo,105,1,Afonso890,,,,0,
bo,five,flawless,,steam,https://youtube.com/watch?v=HhlUO9Ui7bc,,solo,60,1,Afonso890,,,,0,
bo2,die-rise,bo2-no-jug,,steam,https://youtube.com/watch?v=6bItahnv13w,,solo,62,1,Afonso890,,,,0,
bo3,zetsubou-no-shima,30-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=pcZS1izdEPU,,solo,29:03,1,Afonso890,,,,0,
bo2,die-rise,30-speedrun,,steam,https://youtube.com/watch?v=F4PqZij95J0,,solo,29:50,1,Afonso890,,,,0,
bo3,the-giant,30-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=whRlCU8UYZ4,,solo,30:40,1,Afonso890,,,,0,
bo3,der-eisendrache,30-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=hkfbCxPV4Fg,,solo,30:47,1,Afonso890,,,,0,
bo,kino-der-toten,50-speedrun,,steam,https://youtube.com/watch?v=ZEERGxXln-M,,solo,1:24:15,1,Afonso890,,,,0,
