game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,moon,flawless,mega-gobblegum,steam,http://twitch.tv/videos/1722440353,,solo,132,1,Alex122413,,,,0,
bo3,shadows-of-evil,flawless,mega-gobblegum,steam,http://twitch.tv/videos/1748095032,,solo,115,1,Alex122413,,,,0,
bo3,nacht-der-untoten,flawless,mega-gobblegum,playstation,http://twitch.tv/videos/585599756,,solo,100,1,Alex122413,,,,0,
bo3,verruckt,flawless,mega-gobblegum,steam,http://twitch.tv/videos/1748089511,,solo,82,1,Alex122413,,,,0,
bo3,verruckt,first-room,mega-gobblegum,steam,http://twitch.tv/videos/1748103252,,solo,70,1,Alex122413,,,,0,
bo3,ascension,first-room,no-gobblegum,steam,http://twitch.tv/videos/1729087746,,co-op,17,4,Alex122413,imnovirgin,KINGxGhostZ,dip Potatochip,0,
bo3,shadows-of-evil,no-power,mega-gobblegum,playstation,http://twitch.tv/videos/80846142,,co-op,88,2,Alex122413,itz_XeroZz,,,0,
bo3,shadows-of-evil,no-power,mega-gobblegum,playstation,http://twitch.tv/videos/84882351,,co-op,80,3,Alex122413,Patrick1990m,Philip2755,,0,
bo3,shadows-of-evil,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=8UrfahNGwpk,,co-op,77,2,Alex122413,swizz_BABA,,,0,
bo3,shadows-of-evil,no-power,mega-gobblegum,playstation,http://twitch.tv/videos/70716544,,co-op,60,3,Alex122413,itz_XeroZz,I3lackSniipZz,,0,
