game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo6,terminus,high-round,with-gobblegums-no-support,xbox,https://youtube.com/watch?v=XAWoi1laGjQ,,solo,92,1,AmericanReptile,,,,0,
bo2,mob-of-the-dead,high-round,,steam,https://youtube.com/watch?v=zhKl7U10u1s,,co-op,23,2,United kingdom,AmericanReptile,,,0,
bo6,citadelle-des-morts,first-room,with-gobblegums-with-support,xbox,https://youtube.com/watch?v=dXkxdFw5Mco,,solo,149,1,AmericanReptile,,,,0,
bo6,citadelle-des-morts,first-room,no-gobblegums-with-support,xbox,https://youtube.com/watch?v=P8_T-rfG7T0,,solo,77,1,AmericanReptile,,,,0,
bo6,citadelle-des-morts,first-room,no-gobblegums-no-support,xbox,https://youtube.com/watch?v=2dTCLsP7ap8,,solo,53,1,AmericanReptile,,,,0,
bo6,liberty-falls,first-room,purist,xbox,https://youtube.com/watch?v=kHuQ3F1TgHU,,solo,46,1,AmericanReptile,,,,0,
waw,nacht-der-untoten,first-room,,xbox,http://twitch.tv/videos/1720566100,,co-op,25,2,AmericanReptile,Justin904,,,0,
bo6,terminus,first-room,no-gobblegums-with-support,xbox,https://youtube.com/watch?v=jGp_meWaxAU,,solo,20,1,AmericanReptile,,,,0,
waw,der-riese,first-room,,xbox,http://twitch.tv/videos/1819458903,,co-op,11,2,AmericanReptile,Justin904,,,0,
waw,verruckt,first-room,jug-side,xbox,http://twitch.tv/videos/1823316923,,co-op,10,2,AmericanReptile,Justin904,,,0,
waw,verruckt,first-room,quick-side,xbox,http://twitch.tv/videos/1814022096,,co-op,10,2,AmericanReptile,Justin904,,,0,
waw,verruckt,no-power,,xbox,http://twitch.tv/videos/1911679299,,solo,37,1,AmericanReptile,,,,0,
bo3,the-giant,no-power,classic-gobblegum-only,xbox,http://twitch.tv/videos/1856542398,,co-op,32,2,AmericanReptile,Ilikecurvedgmas,,,0,
waw,verruckt,no-power,,xbox,http://twitch.tv/videos/1813216476,,co-op,23,2,AmericanReptile,Justin904,,,0,
bo3,shangri-la,no-power,no-gobblegum,xbox,http://twitch.tv/videos/1840684335,,solo,19,1,AmericanReptile,,,,0,
bo2,bus-depot,no-magic,,xbox,http://twitch.tv/videos/1807276218,,co-op,21,3,AmericanReptile,Justin904,Justin904 Two,,0,
bo2,town,no-magic,,xbox,http://twitch.tv/videos/1820166424,,co-op,20,4,AmericanReptile,Justin904,Justin904 Two,JrChamp213,0,
bo2,town,no-magic,,xbox,http://twitch.tv/videos/1814312586,,co-op,16,4,AmericanReptile,Justin904,JrChamp213,Sburn226858,0,
bo2,farm,no-magic,,xbox,http://twitch.tv/videos/1814233767,,co-op,14,4,AmericanReptile,Justin904,Justin904 Two,JrChamp213,0,
bo3,der-eisendrache,no-perks,mega-gobblegum,xbox,http://twitch.tv/videos/1850574002,,solo,81,1,AmericanReptile,,,,0,
bo3,der-eisendrache,no-perks,classic-gobblegum-only,xbox,http://twitch.tv/videos/1837781500,,solo,61,1,AmericanReptile,,,,0,
bo3,nacht-der-untoten,no-perks,classic-gobblegum-only,xbox,http://twitch.tv/videos/1863641649,,solo,51,1,AmericanReptile,,,,0,
waw,der-riese,no-perks,original,xbox,https://youtube.com/watch?v=dxHWiRt7vGI,,co-op,39,2,AmericanReptile,Lost xSalvation,,,0,
bo3,shi-no-numa,no-perks,mega-gobblegum,xbox,http://twitch.tv/videos/1838005948,,solo,39,1,AmericanReptile,,,,0,
bo3,shadows-of-evil,no-perks,classic-gobblegum-only,xbox,http://twitch.tv/videos/1837191279,,solo,39,1,AmericanReptile,,,,0,
bo2,nuketown,no-perks,,xbox,http://twitch.tv/videos/1819425590,,co-op,37,2,AmericanReptile,Justin904,,,0,
bo3,the-giant,no-perks,no-gobblegum,xbox,http://twitch.tv/videos/1846192616,,solo,36,1,AmericanReptile,,,,0,
bo3,nacht-der-untoten,no-perks,classic-gobblegum-only,xbox,http://twitch.tv/videos/1864022189,,co-op,31,2,AmericanReptile,Ilikecurvedgmas,,,0,
bo2,tranzit,no-perks,,xbox,http://twitch.tv/videos/1821071251,,co-op,23,2,AmericanReptile,Justin904,,,0,
waw,verruckt,no-perks,,xbox,http://twitch.tv/videos/1813212985,,co-op,23,2,AmericanReptile,Justin904,,,0,
bo,verruckt,no-perks,,xbox,http://twitch.tv/videos/1830464241,,co-op,20,2,AmericanReptile,Split Screen,,,0,
bo2,nuketown,bo2-no-jug,,xbox,http://twitch.tv/videos/1819425590,,co-op,37,2,AmericanReptile,Justin904,,,0,
bo2,tranzit,bo2-no-jug,,xbox,http://twitch.tv/videos/1821071251,,co-op,23,2,AmericanReptile,Justin904,,,0,
waw,verruckt,no-jug,,xbox,https://youtube.com/watch?v=wmsEV6Rtqi8,,co-op,23,2,AmericanReptile,Justin904,,,0,
bo6,citadelle-des-morts,30-speedrun,rampage-inducer-no-gobblegums,xbox,https://youtube.com/watch?v=WApXZOqt9d0,,solo,26:04,1,AmericanReptile,,,,0,
bo6,terminus,exfil-speedrun,rampage-inducer-round-21,xbox,https://youtube.com/watch?v=fxMkxngHreU,,solo,22:19,1,AmericanReptile,,,,0,
mw2,armor-piercing,speedrun-specops,hardened,xbox,https://youtube.com/watch?v=zWPZqAL1FwA,,solo,3:51.75,1,AmericanReptile,,,,0,
