game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo2,die-rise,ee-speedrun,richtofens-side-with-bank,xbox,https://youtube.com/watch?v=mSH9fmk5Dlc,,co-op,3:37,4,Ap3xedDragon6,arr ber tran,Hatcher,TrueHelp,0,
bo2,die-rise,ee-speedrun,richtofens-side-with-bank,xbox,https://youtube.com/watch?v=fR7u0ao8jqA,,co-op,4:44,4,Nanikos,Hatcher,Thomas Martinez,Ap3xedDragon6,0,
bo2,tranzit,ee-speedrun,maxiss-side-with-bank,xbox,https://youtube.com/watch?v=UGUeYqj0DBo,,co-op,4:52,4,Ap3xedDragon6,Hatcher,Raheem,UltimateZenith1,0,
bo2,die-rise,ee-speedrun,richtofens-side-with-bank,xbox,https://youtube.com/watch?v=UbicBG0xpjI,,co-op,5:10,4,Ap3xedDragon6,BloodEXPsycho,Hatcher,Thomas Martinez,0,
bo2,die-rise,ee-speedrun,richtofens-side-with-bank,xbox,https://youtube.com/watch?v=PB_7T4hBKUQ,,co-op,5:50,4,Ap3xedDragon6,Hatcher,johnnie9812,Thomas Martinez,0,
bo2,tranzit,ee-speedrun,maxiss-side-with-bank,xbox,https://youtube.com/watch?v=s_JYCbgHNks,,co-op,6:42,3,Hatcher,Ap3xedDragon6,Thomas Martinez,,0,
bo2,die-rise,ee-speedrun,richtofens-side-with-bank,xbox,https://youtube.com/watch?v=MXkmT5lCu3I,,co-op,6:46,4,Thomas Martinez,Hatcher,Ap3xedDragon6,guns n mayhem,0,
bo2,die-rise,ee-speedrun,maxiss-side-with-bank,xbox,https://youtube.com/watch?v=A4TWNwTasSw,,co-op,7:14,4,Ap3xedDragon6,Hatcher,Nanikos,GregFPS,0,
bo2,buried,ee-speedrun,maxiss-side-with-bank,xbox,https://youtube.com/watch?v=KAHN3lvZ6yU,,co-op,7:46,4,GregFPS,Ap3xedDragon6,LilSqueezeygang,Hatcher,0,
bo2,tranzit,ee-speedrun,richtofens-side-with-bank,xbox,https://youtube.com/watch?v=nnnJTRavTO8,,co-op,7:47,4,Ap3xedDragon6,Hatcher,Raheem,UltimateZenith1,0,
bo2,die-rise,ee-speedrun,maxiss-side-with-bank,xbox,https://youtube.com/watch?v=aB4URubsD5k,,co-op,8:04,4,Nanikos,Hatcher,Ap3xedDragon6,Thomas Martinez,0,
bo2,die-rise,ee-speedrun,maxiss-side-with-bank,xbox,https://youtube.com/watch?v=KSW0s2UuHUA,,co-op,8:27,4,Ap3xedDragon6,Hatcher,johnnie9812,Thomas Martinez,0,
bo2,die-rise,ee-speedrun,richtofens-side-no-bank,xbox,https://youtube.com/watch?v=T0RQMXowWVM,,co-op,9:26,4,Clipmas,Hatcher,Ap3xedDragon6,Zingeist Saucer,0,
bo2,buried,ee-speedrun,maxiss-side-with-bank,xbox,https://youtube.com/watch?v=WmGDKvA5r44,,co-op,9:46,4,Ap3xedDragon6,Hatcher,riley tiffin,Thomas Martinez,0,
bo2,tranzit,ee-speedrun,richtofens-side-with-bank,xbox,http://twitch.tv/videos/429578180,,co-op,10:24,4,Hatcher,Ap3xedDragon6,Nanikos,Thomas Martinez,0,
bo2,buried,ee-speedrun,maxiss-side-no-bank,xbox,https://youtube.com/watch?v=uhClE8_Lw20,,co-op,10:49,4,Ap3xedDragon6,arr ber tran,Hatcher,UltimateZenith1,0,
bo2,buried,ee-speedrun,richtofens-side-with-bank,xbox,http://twitch.tv/videos/435630915,,co-op,10:59,4,Hatcher,Thomas Martinez,HolyRichtofen,Ap3xedDragon6,0,
bo2,tranzit,ee-speedrun,maxiss-side-no-bank,xbox,https://youtube.com/watch?v=D3yN8D2snrw,,co-op,11:30,3,Hatcher,Ap3xedDragon6,Clipmas,,0,
bo2,buried,ee-speedrun,maxiss-side-with-bank,xbox,http://twitch.tv/videos/315723469,,co-op,11:46,4,Ap3xedDragon6,Hatcher,johnnie9812,Thomas Martinez,0,
bo2,buried,ee-speedrun,maxiss-side-no-bank,xbox,https://youtube.com/watch?v=PbrzsL_VlDk,,co-op,12:07,4,Ap3xedDragon6,GregFPS,Hatcher,LilSqueezeygang,0,
bo2,tranzit,ee-speedrun,richtofens-side-no-bank,xbox,https://youtube.com/watch?v=8bCRIYPs2_k,,co-op,12:11,2,Ap3xedDragon6,Thomas Martinez,,,0,
bo2,tranzit,ee-speedrun,richtofens-side-with-bank,xbox,https://youtube.com/watch?v=PgFS_hc5IJM,,co-op,12:12,2,Hatcher,Ap3xedDragon6,,,0,
bo2,die-rise,ee-speedrun,maxiss-side-no-bank,xbox,https://youtube.com/watch?v=2tkjPKbDsFg,,co-op,12:13,4,LilSqueezeygang,Hatcher,Axolwaffles,Ap3xedDragon6,0,
bo2,tranzit,ee-speedrun,richtofens-side-no-bank,xbox,https://youtube.com/watch?v=R9GG1mdpikk,,co-op,12:25,3,Axolwaffles,Hatcher,Ap3xedDragon6,,0,
bo2,tranzit,ee-speedrun,richtofens-side-no-bank,xbox,https://youtube.com/watch?v=1yFmqX_n4oI,,solo,26:49,1,Ap3xedDragon6,,,,0,
bo2,tranzit,ee-speedrun,richtofens-side-with-bank,xbox,https://youtube.com/watch?v=DtydDCkzN1w,,solo,29:35,1,Ap3xedDragon6,,,,0,
