game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,shadows-of-evil,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=MCr58dSy998,,solo,255,1,ArtisBlind,,,,0,
bo3,revelations,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=d3RkOXGNscg,,solo,255,1,ArtisBlind,,,,0,
bo,ascension,high-round,,steam,https://youtube.com/watch?v=pOY5d3No9zw,,solo,228,1,ArtisBlind,,,,0,
bo3,shadows-of-evil,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=MCr58dSy998,,solo,255,1,ArtisBlind,,,,0,
bo3,revelations,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=d3RkOXGNscg,,solo,255,1,ArtisBlind,,,,0,
bo,ascension,flawless,,steam,https://youtube.com/watch?v=Kzg0iKOrFyk,,solo,166,1,ArtisBlind,,,,0,
bo3,shadows-of-evil,no-aat,mega-gobblegum,steam,https://youtube.com/watch?v=MCr58dSy998,,solo,255,1,ArtisBlind,,,,0,
bo3,revelations,no-aat,mega-gobblegum,steam,https://youtube.com/watch?v=d3RkOXGNscg,,solo,255,1,ArtisBlind,,,,0,
bo3,origins,no-perks,mega-gobblegum,steam,https://youtube.com/watch?v=gN-oIHXFSFU,,solo,135,1,ArtisBlind,,,,0,
bo3,origins,no-perks,no-gobblegum,steam,https://youtube.com/watch?v=9a-nhVkxbw4,,solo,122,1,ArtisBlind,,,,0,
bo3,origins,no-perks,classic-gobblegum-only,steam,https://youtube.com/watch?v=QWOKnRd6dGQ,,solo,121,1,ArtisBlind,,,,0,
bo,call-of-the-dead,no-perks,,steam,https://youtube.com/watch?v=Ld9aQ9G0ZBI,,solo,40,1,ArtisBlind,,,,0,
bocw,firebase-z,no-jug,with-armour,steam,https://youtube.com/watch?v=bmkXzi6g8gs,,solo,120,1,ArtisBlind,,,,0,
bocw,mauer-der-toten,30-speedrun,normal,steam,https://youtube.com/watch?v=Tklj4INsIdU,,solo,30:09,1,ArtisBlind,,,,0,
bocw,mauer-der-toten,50-speedrun,normal,steam,https://youtube.com/watch?v=Tklj4INsIdU,,solo,50:54,1,ArtisBlind,,,,0,
bocw,mauer-der-toten,70-speedrun,normal,steam,https://youtube.com/watch?v=Tklj4INsIdU,,solo,1:10:33,1,ArtisBlind,,,,0,
wwii,the-final-reich,70-speedrun,with-consumables,steam,https://youtube.com/watch?v=K9KOIVccsZQ,,solo,1:55:00,1,ArtisBlind,,,,0,
bocw,mauer-der-toten,100-speedrun,normal,steam,https://youtube.com/watch?v=Tklj4INsIdU,,solo,1:43:39,1,ArtisBlind,,,,0,
wwii,the-final-reich,100-speedrun,with-consumables,steam,https://youtube.com/watch?v=K9KOIVccsZQ,,solo,4:33:26,1,ArtisBlind,,,,0,
bocw,mauer-der-toten,200-speedrun,normal,steam,https://youtube.com/watch?v=Tklj4INsIdU,,solo,4:18:18,1,ArtisBlind,,,,0,
