game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,die-maschine,high-round,with-support,steam,http://twitch.tv/videos/1131735928,,solo,588,1,Aslan61,,,,0,
bocw,die-maschine,high-round,with-support,steam,http://twitch.tv/videos/1259639039,,co-op,420,2,Aslan61,Taimz,,,0,
bocw,die-maschine,high-round,with-support,playstation,http://twitch.tv/videos/1070303577,,co-op,178,2,Aslan61,i_oChapo,,,0,
bocw,die-maschine,high-round,with-support,steam,http://twitch.tv/videos/1063945082,,co-op,151,4,i_oChapo,Aslan61,RaginRucKus,JamoW93,0,
bocw,die-maschine,high-round,with-support,playstation,http://twitch.tv/videos/1044418315,,co-op,127,3,Aslan61,Tryhard8333,NoMercy,,0,
bocw,outbreak,high-round,casual,steam,http://twitch.tv/videos/1271398725,,co-op,122,4,MasterSmexy,Wondawaffle,Taimz,Aslan61,0,
bocw,outbreak,high-round,casual,playstation,http://twitch.tv/videos/1038478482,,co-op,52,2,Aslan61,Soletwizy,,,0,
bocw,outbreak,high-round,casual,playstation,http://twitch.tv/videos/1061878061,,co-op,29,4,Aslan61,StenzelWashington,Sternschwalbe,RosiRostauge,0,
bocw,die-maschine,flawless,with-support,steam,http://twitch.tv/videos/1148418470,,solo,586,1,Aslan61,,,,0,
bocw,die-maschine,flawless,with-support,steam,http://twitch.tv/videos/1259639039,,co-op,420,2,Aslan61,Taimz,,,0,
bo2,town,flawless,,steam,http://twitch.tv/videos/1048956519,,co-op,39,2,Vayn33,Aslan61,,,0,
bocw,die-maschine,first-room,no-support,playstation,http://twitch.tv/videos/1065143389,,co-op,41,3,Aslan61,MasterSmexy,Mr_KingNL,,0,
bocw,firebase-z,first-room,no-support,playstation,http://twitch.tv/videos/1063277579,,co-op,36,2,Aslan61,MasterSmexy,,,0,
bocw,firebase-z,first-room,no-support,playstation,http://twitch.tv/videos/1065141569,,co-op,35,3,Aslan61,MasterSmexy,Mr_KingNL,,0,
bo,ascension,no-power,,steam,https://youtube.com/watch?v=_ZjsgcCZIhE,,solo,151,1,Aslan61,,,,0,
bo,call-of-the-dead,no-power,,steam,http://twitch.tv/videos/1778134818,,solo,77,1,Aslan61,,,,0,
bo,five,no-power,,plutonium,https://youtube.com/watch?v=Bfc8EHZ3lCA,,co-op,51,3,Aslan61,xImCrossbow,MasterSmexy,,0,
bocw,die-maschine,no-perks,no-support,steam,http://twitch.tv/videos/1111407180,,co-op,101,2,Aslan61,Taimz,,,0,
bocw,die-maschine,no-perks,with-support,playstation,http://twitch.tv/videos/1040075098,,solo,85,1,Aslan61,,,,0,
bocw,die-maschine,no-perks,no-support,playstation,http://twitch.tv/videos/1042370629,,solo,70,1,Aslan61,,,,0,
bo,five,no-perks,,plutonium,https://youtube.com/watch?v=Bfc8EHZ3lCA,,co-op,51,3,Aslan61,xImCrossbow,MasterSmexy,,0,
bo,call-of-the-dead,no-perks,,steam,https://youtube.com/watch?v=auFb6NV2F0U,,co-op,41,2,Aslan61,MasterSmexy,,,0,
bo2,town,bo2-no-jug,,steam,http://twitch.tv/videos/1116182846,,co-op,40,2,Aslan61,Wondawaffle,,,0,
bocw,die-maschine,no-jug,no-armour,steam,http://twitch.tv/videos/1078396404,,solo,96,1,Aslan61,,,,0,
bocw,die-maschine,no-jug,no-armour,playstation,http://twitch.tv/videos/1070450169,,co-op,71,2,Aslan61,Mr_KingNL,,,0,
