game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,tag-der-toten,high-round,classic-elixirs-only,playstation,http://twitch.tv/videos/1086394523,,co-op,101,4,djrogba,articblast00,BLACKMIST_mdm,Yourenotsam115,0,
bo4,dead-of-the-night,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=YskA_3nrc5s,,co-op,89,4,djrogba,articblast00,endlessmadness,BLACKMIST_mdm,0,
bo4,alpha-omega,high-round,classic-elixirs-only,playstation,http://twitch.tv/videos/1119995644,,co-op,75,4,djrogba,endlessmadness,articblast00,BLACKMIST_mdm,0,
bo4,tag-der-toten-hardcore,high-round-hc,all-elixirs-talismans,playstation,http://twitch.tv/videos/1135492439,,co-op,96,4,djrogba,articblast00,Yourenotsam115,BLACKMIST_mdm,0,
bo4,dead-of-the-night-hardcore,high-round-hc,classic-elixirs-only,playstation,http://twitch.tv/videos/1060137313,,co-op,77,3,djrogba,Yourenotsam115,BLACKMIST_mdm,,0,
bo4,classified-hardcore,high-round-hc,all-elixirs-talismans,playstation,https://youtube.com/watch?v=tMoyf9CpsQY,,co-op,66,4,djrogba,endlessmadness,articblast00,BLACKMIST_mdm,0,
bo4,tag-der-toten,flawless,classic-elixirs-only,playstation,http://twitch.tv/videos/1086394523,,co-op,101,4,djrogba,articblast00,BLACKMIST_mdm,Yourenotsam115,0,
bo4,tag-der-toten,flawless,all-elixirs-talismans,playstation,http://twitch.tv/videos/1121724647,,co-op,98,4,djrogba,articblast00,BLACKMIST_mdm,TTV_Donny_S,0,
bo4,classified,flawless,all-elixirs-talismans,playstation,http://twitch.tv/videos/1128623288,,co-op,89,4,djrogba,articblast00,Yourenotsam115,BLACKMIST_mdm,0,
bo4,dead-of-the-night,flawless,all-elixirs-talismans,playstation,https://youtube.com/watch?v=YskA_3nrc5s,,co-op,89,4,djrogba,endlessmadness,articblast00,BLACKMIST_mdm,0,
bo4,blood-of-the-dead,flawless,classic-elixirs-only,playstation,http://twitch.tv/videos/1307073501,,co-op,75,4,djrogba,articblast00,RiskRBK,BLACKMIST_mdm,0,
bo4,classified,flawless,classic-elixirs-only,playstation,http://twitch.tv/videos/1064909963,,co-op,73,4,djrogba,articblast00,checinaintcheatn,BLACKMIST_mdm,0,
bo4,classified,flawless,all-elixirs-talismans,playstation,http://twitch.tv/videos/1090914922,,co-op,67,4,djrogba,articblast00,BLACKMIST_mdm,k_rod1217,0,
bo4,tag-der-toten-hardcore,flawless-hc,all-elixirs-talismans,playstation,http://twitch.tv/videos/1135492439,,co-op,83,4,djrogba,articblast00,BLACKMIST_mdm,Yourenotsam115,0,
bo4,dead-of-the-night-hardcore,flawless-hc,classic-elixirs-only,playstation,http://twitch.tv/videos/1409887088,,co-op,60,4,djrogba,articblast00,RiskRBK,BLACKMIST_mdm,0,
bo4,ancient-evil,first-room,all-elixirs-talismans,playstation,https://youtube.com/watch?v=yFo2jEGLicg,,co-op,71,4,BLACKMIST_mdm,zombie882killr,articblast00,endlessmadness,0,
bo4,blood-of-the-dead,first-room,all-elixirs-talismans-hardcore,playstation,https://youtube.com/watch?v=YmhIiqjjOcU,,co-op,70,4,zombie882killr,BLACKMIST_mdm,articblast00,endlessmadness,0,
bo4,classified,first-room,all-elixirs-talismans-hardcore,playstation,https://youtube.com/watch?v=tMoyf9CpsQY,,co-op,66,4,djrogba,endlessmadness,articblast00,BLACKMIST_mdm,0,
bo4,alpha-omega,first-room,all-elixirs-talismans,playstation,https://youtube.com/watch?v=UFRgs2ZX79w,,co-op,62,4,BLACKMIST_mdm,zombie882killr,articblast00,endlessmadness,0,
bo4,ancient-evil,no-power,all-elixirs-talismans,playstation,https://youtube.com/watch?v=yFo2jEGLicg,,co-op,71,4,BLACKMIST_mdm,zombie882killr,articblast00,endlessmadness,0,
bo4,blood-of-the-dead,no-power,all-elixirs-talismans-hardcore,playstation,https://youtube.com/watch?v=YmhIiqjjOcU,,co-op,70,4,zombie882killr,BLACKMIST_mdm,articblast00,endlessmadness,0,
bo4,classified,no-power,all-elixirs-talismans-hardcore,playstation,https://youtube.com/watch?v=tMoyf9CpsQY,,co-op,66,4,djrogba,endlessmadness,articblast00,BLACKMIST_mdm,0,
bo4,alpha-omega,no-power,all-elixirs-talismans,playstation,https://youtube.com/watch?v=UFRgs2ZX79w,,co-op,62,4,BLACKMIST_mdm,zombie882killr,articblast00,endlessmadness,0,
bo4,alpha-omega,70-speedrun,classic-elixirs-only,playstation,http://twitch.tv/videos/1166359945,,co-op,4:20:34,2,articblast00,BLACKMIST_mdm,,,0,
