game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,revelations,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=UvU4lIsY8yE,,solo,246,1,Bagga81,,,,0,
bo3,ascension,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=LPwPRKezfRk,,co-op,126,2,ibon1235,Bagga81,,,0,
bo3,revelations,no-aat,classic-gobblegum-only,playstation,https://youtube.com/watch?v=UvU4lIsY8yE,,solo,246,1,Bagga81,,,,0,
bo3,revelations,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=fJ8ZeD3QU84,,solo,210,1,Bagga81,,,,0,
bo3,moon,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=g5u7CS3QBq0,,solo,118,1,Bagga81,,,,0,
bo3,revelations,no-perks,mega-gobblegum,playstation,https://youtube.com/watch?v=yFD29IbXCkM,,solo,255,1,Bagga81,,,,0,
bo3,revelations,no-perks,mega-gobblegum,playstation,https://youtube.com/watch?v=KcgfqHKyvM0,,co-op,229,2,Bagga81,Schimmel_Aim,,,0,
bo3,revelations,no-perks,classic-gobblegum-only,playstation,https://youtube.com/watch?v=6m37GqBT-F4,,solo,207,1,Bagga81,,,,0,
bo3,revelations,no-perks,no-gobblegum,playstation,https://youtube.com/watch?v=hA2IFWIU0nQ,,solo,159,1,Bagga81,,,,0,
bo3,revelations,no-jug,mega-gobblegum,playstation,https://youtube.com/watch?v=q-ulUZc_wDQ,,solo,221,1,Bagga81,,,,0,
bo3,revelations,100-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=Ch26FPZ14CU,,solo,2:55:36,1,Bagga81,,,,0,
bo3,revelations,255-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=2LsZH4Hm2gY,,solo,32:28:00,1,Bagga81,,,,0,
