game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,die-maschine,high-round,with-support,playstation,https://youtube.com/watch?v=p8R9iaIrtqM,,co-op,361,2,BeTTaPacKaPuNcH,BeTTaPacKaLuNcH,,,0,
bocw,mauer-der-toten,high-round,with-support,playstation,http://twitch.tv/videos/1410089341,,co-op,351,2,BeTTaPacKaPuNcH,BeTTaPacKaLuNcH,,,0,
bocw,forsaken,high-round,with-support,playstation,https://youtube.com/watch?v=pC_w3ExciIs,,co-op,308,2,BeTTaPacKaPuNcH,BeTTaPacKaLuNcH,,,0,
bocw,mauer-der-toten,high-round,with-support,playstation,https://youtube.com/watch?v=dpcWkuoqv24,,co-op,216,3,BeTTaPacKaPuNcH,BeTTaPacKaLuNcH,YxxnightmarexxY,,0,
bocw,mauer-der-toten,high-round,with-support,playstation,https://youtube.com/watch?v=lZ4tDSptikQ,,co-op,175,3,BeTTaPacKaPuNcH,BeTTaPacKaLuNcH,iHitTheBox,,0,
bo4,alpha-omega,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=WG0AgK6tWPg,,solo,130,1,BeTTaPacKaLuNcH,,,,0,
bocw,firebase-z,high-round,with-support,playstation,https://youtube.com/watch?v=2Kn9vYLDhu4,,co-op,116,4,BeTTaPacKaLuNcH,BeTTaPacKaPuNcH,Devoon2x,IYELLALOT,0,
bo4,dead-of-the-night,high-round,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=fmIAg-fFFUU,,co-op,101,3,BeTTaPacKaPuNcH,BeTTaPacKaLuNcH,MANIAC-KlLLA,,0,
bo4,dead-of-the-night,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=hLclGmhPkoA,,co-op,91,3,StickyRickie,BeTTaPacKaLuNcH,BeTTaPacKaPuNcH,,0,
bo4,alpha-omega,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=6XtlkpqQjDs,,co-op,60,2,BeTTaPacKaPuNcH,BeTTaPacKaLuNcH,,,0,
aw,descent,high-round,,playstation,http://twitch.tv/videos/1490104317,,co-op,37,3,BeTTaPacKaLuNcH,Body_bags1997,Firekarl4ace,,0,
aw,descent,high-round,,playstation,https://youtube.com/watch?v=GqVCkfiU0LE,,co-op,29,3,Mr. HoboGuy,BeTTaPacKaLuNcH,Body_Bags,,0,
aw,carrier,high-round,,playstation,https://youtube.com/watch?v=GqVCkfiU0LE,,co-op,28,2,Mr. HoboGuy,BeTTaPacKaLuNcH,,,0,
bocw,mauer-der-toten,flawless,with-support,playstation,https://youtube.com/watch?v=n0E956AHfgY,,co-op,351,2,BeTTaPacKaPuNcH,BeTTaPacKaLuNcH,,,0,
bocw,die-maschine,flawless,with-support,playstation,https://youtube.com/watch?v=p8R9iaIrtqM,,co-op,343,2,BeTTaPacKaPuNcH,BeTTaPacKaLuNcH,,,0,
bocw,forsaken,flawless,with-support,playstation,https://youtube.com/watch?v=pC_w3ExciIs,,co-op,308,2,BeTTaPacKaPuNcH,BeTTaPacKaLuNcH,,,0,
bocw,mauer-der-toten,flawless,with-support,playstation,https://youtube.com/watch?v=dpcWkuoqv24,,co-op,216,3,BeTTaPacKaPuNcH,BeTTaPacKaLuNcH,YxxnightmarexxY,,0,
bocw,mauer-der-toten,flawless,with-support,playstation,https://youtube.com/watch?v=lZ4tDSptikQ,,co-op,175,3,BeTTaPacKaPuNcH,BeTTaPacKaLuNcH,iHitTheBox,,0,
bo4,alpha-omega,flawless,all-elixirs-talismans,playstation,https://youtube.com/watch?v=WG0AgK6tWPg,,solo,126,1,BeTTaPacKaLuNcH,,,,0,
bocw,firebase-z,flawless,with-support,playstation,https://youtube.com/watch?v=2Kn9vYLDhu4,,co-op,115,4,BeTTaPacKaLuNcH,BeTTaPacKaPuNcH,Devoon2x,IYELLALOT,0,
bo4,blood-of-the-dead,flawless,all-elixirs-talismans,playstation,http://twitch.tv/videos/1560640868,,co-op,104,2,BeTTaPacKaLuNcH,lil_rascal563,,,0,
bo4,dead-of-the-night,flawless,all-elixirs-talismans,playstation,https://youtube.com/watch?v=fmIAg-fFFUU,,co-op,101,3,MANIAC-KlLLA,BeTTaPacKaPuNcH,BeTTaPacKaLuNcH,,0,
bo4,alpha-omega,flawless,all-elixirs-talismans,playstation,https://youtube.com/watch?v=6XtlkpqQjDs,,co-op,60,2,BeTTaPacKaPuNcH,BeTTaPacKaLuNcH,,,0,
aw,descent,flawless,,playstation,http://twitch.tv/videos/1490104317,,co-op,36,3,BeTTaPacKaLuNcH,Body_bags1997,Firekarl4ace,,0,
aw,outbreak,flawless,,playstation,http://twitch.tv/videos/1417652342,,co-op,35,4,Body_bags1997,BeTTaPacKaLuNcH,Firekarl4ace,Slap_Squad,0,
aw,infection,flawless,,playstation,https://youtube.com/watch?v=qrdEBtw5c9E,,co-op,27,3,BeTTaPacKaLuNcH,Body_bags1997,Firekarl4ace,,0,
aw,descent,flawless,,playstation,https://youtube.com/watch?v=GqVCkfiU0LE,,co-op,14,3,Mr. HoboGuy,BeTTaPacKaLuNcH,Body_Bags,,0,
aw,carrier,first-room,mixed,playstation,https://youtube.com/watch?v=cNmB5aCeCpI,,co-op,14,3,BeTTaPacKaLuNcH,Hooligan166,Body_bags1997,,0,
aw,carrier,first-room,mk14-side,playstation,https://youtube.com/watch?v=y8Y_uTe-2yc,,co-op,13,2,BeTTaPacKaLuNcH,Body_bags1997,,,0,
