game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo2,buried,high-round,,steam,http://twitch.tv/videos/2023305226,,solo,255,1,Blasters,,,,0,
bo2,buried,high-round,,steam,http://twitch.tv/videos/2241796423,,co-op,210,2,Blasters,notwayq,,,0,
bo2,die-rise,high-round,,steam,https://youtube.com/watch?v=Y0UsdmZ4K6Q,,solo,201,1,Blasters,,,,0,
bo2,town,high-round,,steam,https://youtube.com/watch?v=WWKTz9FasL0,,co-op,97,2,Blasters,LeGrandJWD,,,0,
bo2,farm,high-round,,steam,http://twitch.tv/videos/1665068814,,co-op,95,2,Blasters,notwayq,,,0,
bo2,bus-depot,high-round,,steam,https://youtube.com/watch?v=ocR_yeNSeXA,,solo,91,1,Blasters,,,,0,
bo2,nuketown,high-round,,steam,http://twitch.tv/videos/693976871,,co-op,90,2,Blasters,Maniazzthereturn,,,0,
bo,moon,high-round,,steam,http://twitch.tv/videos/1716931052,,co-op,68,3,Elpablocito,Blasters,Romardinio,,0,
bo,der-riese,high-round,,steam,http://twitch.tv/videos/1288079637,,co-op,62,4,QeZiaa,notwayq,Blasters,BDZ Ekzx,0,
bo,nacht-der-untoten,high-round,,steam,http://twitch.tv/videos/1740727963,,co-op,52,3,Elpablocito,Blasters,Tisma,,0,
bo2,die-rise,flawless,,steam,http://twitch.tv/videos/1060138175,,solo,140,1,Blasters,,,,0,
bo2,town,first-room,classic,steam,https://youtube.com/watch?v=AYk_Qdi1FRc,,co-op,51,4,Blasters,LeGrandJWD,NeiZz,notwayq,0,
bo2,die-rise,first-room,,steam,http://twitch.tv/videos/816912521,,co-op,50,2,notwayq,Blasters,,,0,
bo2,origins,first-room,,steam,http://twitch.tv/videos/1149255835,,co-op,42,4,AsTroX,Blasters,QeZiaa,notwayq,0,
bo2,buried,no-power,,steam,http://twitch.tv/videos/856226060,,solo,210,1,Blasters,,,,0,
bo2,die-rise,no-power,,steam,https://youtube.com/watch?v=Y0UsdmZ4K6Q,,solo,201,1,Blasters,,,,0,
bo2,die-rise,no-power,,steam,https://youtube.com/watch?v=tdJvGgRJBq8,,co-op,114,2,Blasters,notwayq,,,0,
bo,call-of-the-dead,no-power,,steam,http://twitch.tv/videos/1942481490,,co-op,70,2,Blasters,LeGrandJWD,,,0,
bo2,buried,no-power,,steam,http://twitch.tv/videos/810652029,,co-op,54,3,Blasters,notwayq,Thysa,,0,
bo,verruckt,no-power,,steam,http://twitch.tv/videos/1924288070,,co-op,26,4,DKO,Blasters,Kinosura,WolfHK21,0,
bo2,farm,no-magic,,steam,http://twitch.tv/videos/1948000110,,co-op,35,3,BDZ Fxi,BDZ Dims,Blasters,,0,
bo2,buried,no-perks,,steam,http://twitch.tv/videos/814006264,,solo,100,1,Blasters,,,,0,
bo2,town,bo2-no-jug,,steam,http://twitch.tv/videos/828911227,,solo,78,1,Blasters,,,,0,
bo2,farm,bo2-no-jug,,steam,http://twitch.tv/videos/821655814,,solo,72,1,Blasters,,,,0,
bo,verruckt,no-jug,,steam,http://twitch.tv/videos/1712706677,,co-op,44,2,Elpablocito,Blasters,,,0,
bo2,buried,30-speedrun,,steam,http://twitch.tv/videos/810652029,,co-op,1:23:03,3,Blasters,notwayq,Thysa,,0,
bo2,farm,50-speedrun,,steam,http://twitch.tv/videos/1427200871,,co-op,2:31:37,2,QeZiaa,Blasters,,,0,
bo2,farm,50-speedrun,,steam,http://twitch.tv/videos/788947500,,co-op,2:42:24,2,Blasters,Maniazzthereturn,,,0,
bo2,tranzit,70-speedrun,,steam,http://twitch.tv/videos/1551270137,,co-op,4:13:37,2,Blasters,LeGrandJWD,,,0,
mw3,resistance,high-round-survival,no-traps,steam,http://twitch.tv/videos/1945812240,,co-op,218,2,BDZ Dims,Blasters,,,0,
