game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo,shangri-la,first-room,original,steam,https://youtube.com/watch?v=fQt7O14cFa4,,co-op,44,2,JZ115,BuLLieD666,,,0,
bo,verruckt,first-room,mixed,steam,https://youtube.com/watch?v=HbmvDiGLoic,,co-op,35,3,Plant,BuLLieD666,JZ115,,0,
bo,shangri-la,first-room,original,steam,https://youtube.com/watch?v=1ATlVbIVMfM,,co-op,34,4,PaddeH,InfernoMaarten,Swadow,BuLLieD666,0,
bo,shi-no-numa,first-room,,steam,http://twitch.tv/videos/1841627229,,co-op,33,4,TankGhosts,BuLLieD666,Billionaire,"Mr,Corridori",0,
bo,shangri-la,first-room,original,steam,https://youtube.com/watch?v=rAKduBn6KqA,,co-op,33,4,PaddeH,Verition,Mr. Black OP,BuLLieD666,0,
bo,shangri-la,first-room,original,xbox,https://youtube.com/watch?v=XgZdrbFvPyM,,co-op,32,4,JZ115,PerfectlySleepy,iMeRcZoMBiEz,BuLLieD666,0,
bo,shangri-la,first-room,original,xbox,https://youtube.com/watch?v=-pdxBo1xxPc,,co-op,27,4,JZ115,CarKeyz,PerfectlySleepy,BuLLieD666,0,
bo,shangri-la,first-room,original,xbox,https://youtube.com/watch?v=aABDqX4uGjQ,,co-op,27,4,BuLLieD666,Minexxxxxx,JZ115,PerfectlySleepy,0,
bo,verruckt,first-room,mixed,xbox,https://youtube.com/watch?v=KJD7LHaWrIs,,co-op,27,4,i Blackett xD,DIDI,BuLLieD666,MrRastaBlack,0,
bo,shangri-la,first-room,original,steam,http://twitch.tv/videos/564221547,,co-op,24,3,Zi0,PaddeH,BuLLieD666,,0,
bo,shangri-la,first-room,original,steam,http://twitch.tv/videos/574359361,,co-op,18,4,Zi0,JZ115,BuLLieD666,Ozzy Rhodes,0,
bo,shangri-la,no-power,,steam,https://youtube.com/watch?v=rAKduBn6KqA,,co-op,33,4,BuLLieD666,Mr. Black OP,PaddeH,Verition,0,
