game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
aw,carrier,high-round,,xbox,http://twitch.tv/videos/17462728,,solo,130,1,Buzzardly,,,,0,
bo3,the-giant,high-round,mega-gobblegum,playstation,http://twitch.tv/videos/72111739,,co-op,109,3,SHADOW RAPTOR,zombiekillerdlo,Buzzardly,,0,
iw,spaceland,high-round,fate-fortune-cards,playstation,https://youtube.com/watch?v=LZhD5mX_WCg,,co-op,87,2,SESH,Buzzardly,,,0,
bo3,shi-no-numa,high-round,mega-gobblegum,playstation,http://twitch.tv/videos/169096649,,co-op,83,4,Buzzardly,iProjectOpsXP,SESH,Bad_Ass_Monkey1,0,
aw,carrier,high-round,,xbox,http://twitch.tv/videos/7353147,,co-op,48,2,Buzzardly,KING VEGETA GOD,,,0,
wwii,gresten-haus,flawless,,playstation,https://youtube.com/watch?v=OuzHtrjvQ8M,,co-op,61,2,P1mp_Ju1ce_95,Buzzardly,,,0,
wwii,the-shadowed-throne,flawless,,playstation,https://youtube.com/watch?v=neZ4pnHdiZs,,co-op,53,2,P1mp_Ju1ce_95,Buzzardly,,,0,
bo3,the-giant,no-aat,classic-gobblegum-only,playstation,https://youtube.com/watch?v=_062lBN_qJY,,solo,255,1,Buzzardly,,,,0,
bo3,gorod-krovi,first-room,mega-gobblegum,playstation,http://twitch.tv/videos/90981238,,co-op,51,4,StrangeGuy_3000,Spykes27,Buzzardly,Karlrogers20153,0,
bo3,gorod-krovi,first-room,mega-gobblegum,playstation,http://twitch.tv/videos/91503349,,co-op,46,2,Guardurheart423,Buzzardly,,,0,
bo3,the-giant,first-room,,playstation,https://youtube.com/watch?v=HklJkQipKj4,,co-op,43,2,MagnumOfTheDead,Buzzardly,,,0,
wwii,the-shadowed-throne,first-room,with-consumables,playstation,https://youtube.com/watch?v=V0NRI1_6Wqo,,solo,41,1,Buzzardly,,,,0,
bo3,zetsubou-no-shima,first-room,no-gobblegum,playstation,http://twitch.tv/videos/91460202,,co-op,24,3,xI Reklez Ix,Karlrogers20153,Buzzardly,,0,
bo3,revelations,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=J7aHxnUSRkE,,co-op,20,3,OCD,Head_CEO,Buzzardly,,0,
bo3,gorod-krovi,first-room,classic-gobblegum-only,playstation,http://twitch.tv/videos/121606490,,co-op,19,3,iiLunix--,ImArrow___,Buzzardly,,0,
wwii,the-final-reich,no-power,no-consumables,steam,https://youtube.com/watch?v=VEcC6VqW2-s,,solo,161,1,Buzzardly,,,,0,
wwii,the-shadowed-throne,no-power,no-consumables,playstation,http://twitch.tv/videos/279191288,,solo,137,1,Buzzardly,,,,0,
bo3,der-eisendrache,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=xx5_JR6eqIw,,co-op,40,3,Deez,Buzzardly,Spykes27,,0,
wwii,the-shadowed-throne,wwii-no-armor,no-consumables,playstation,http://twitch.tv/videos/279191288,,solo,137,1,Buzzardly,,,,0,
bo3,the-giant,30-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=QwJ4fF5icuM,,co-op,36:00,3,P1mp_Ju1ce_95,Buzzardly,semtex,,0,
bo3,kino-der-toten,50-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=tFK53T94-P0,,co-op,1:10:35,2,P1mp_Ju1ce_95,Buzzardly,,,0,
bo3,kino-der-toten,50-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=v4iqKgcCvzY,,co-op,1:38:11,3,Buzzardly,Plasmid Jeff,P1mp_Ju1ce_95,,0,
bo3,kino-der-toten,50-speedrun,classic-gobblegum-only,playstation,http://twitch.tv/videos/677637289,,co-op,2:20:28,4,Buzzardly,semtex,P1mp_Ju1ce_95,DaddyDontStop,0,
wwii,the-final-reich,70-speedrun,with-consumables,playstation,http://twitch.tv/videos/247218491,,co-op,4:03:39,2,Buzzardly,SESH,,,0,
wwii,the-final-reich,100-speedrun,with-consumables,playstation,http://twitch.tv/videos/247218491,,co-op,13:28:02,2,SESH,Buzzardly,,,0,
