game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,ascension,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=tnrAFc_CQCY,,solo,177,1,CODEEEZY,,,,0,
bo3,verruckt,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=4VbFjY77qTQ,,co-op,51,4,CETSbk718,SychoGiggly,CODEEEZY,RedGhost5427,0,
bo3,nacht-der-untoten,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=JfZQfwMOiUQ,,co-op,50,4,CETSbk1,CODEEEZY,Ch0pper,SychoGiggly,0,
bo3,ascension,first-room,mega-gobblegum,playstation,https://youtube.com/watch?v=Fyv9e2SCQNY,,solo,134,1,CODEEEZY,,,,0,
bo3,verruckt,first-room,mega-gobblegum,playstation,https://youtube.com/watch?v=4VbFjY77qTQ,,co-op,51,4,CETSbk1,SychoGiggly,CODEEEZY,RedGhost5427,0,
bo3,gorod-krovi,first-room,mega-gobblegum,playstation,https://youtube.com/watch?v=9Y_5UQQi4Bw,,co-op,35,2,CODEEEZY,CH3MJAXX,,,0,
iw,shaolin-shuffle,first-room,fate-fortune-cards,playstation,https://youtube.com/watch?v=8ZFO5Lgt_6s,,co-op,21,2,CODEEEZY,REDGHOST2457,,,0,
bo3,ascension,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=Fyv9e2SCQNY,,solo,134,1,CODEEEZY,,,,0,
bo3,verruckt,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=4VbFjY77qTQ,,co-op,51,4,CETSbk1,SychoGiggly,CODEEEZY,RedGhost5427,0,
bo3,gorod-krovi,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=oWf3ZE_izL8,,co-op,46,4,CETSbk718,CODEEEZY,RedGhost5427,SwEEt-AnGeL2013,0,
bo3,gorod-krovi,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=oWf3ZE_izL8,,co-op,46,4,CODEEEZY,CETSbk1,REDGHOST2457,SwEEt-AnGeL2013,0,
bo3,gorod-krovi,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=PvTK7Ynjd44,,solo,44,1,CODEEEZY,,,,0,
bo3,der-eisendrache,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=2hDZhQoPfrk,,co-op,30,4,jeffmac420,CODEEEZY,fatherandson12,Bo3XxDylanRxX,0,
bo3,gorod-krovi,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=WvNvnMnI4LM,,co-op,29,3,RedGhost5427,CETSbk1,CODEEEZY,,0,
bo3,gorod-krovi,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=WvNvnMnI4LM,,co-op,28,4,RedGhost5427,Nelly_sosa,EltipoR,CODEEEZY,0,
bo3,der-eisendrache,30-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=2hDZhQoPfrk,,co-op,43:20,4,jeffmac420,CODEEEZY,fatherandson12,Bo3XxDylanRxX,0,
bo3,gorod-krovi,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=FAu3_9hTh7w,,co-op,1:00:50,4,CETSbk1,RedGhost5427,CODEEEZY,Blazewalker666,0,
