game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
iw,shaolin-shuffle,high-round,fate-cards-only,xbox,http://twitch.tv/videos/1599346044,,solo,44,1,CaNaDa9427,,,,0,
bo3,verruckt,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=05j425UZgDo,,co-op,19,3,Raw_Boomer,CaNaDa9427,Goat_Gabe,,0,
bo3,nacht-der-untoten,flawless,mega-gobblegum,playstation,https://youtube.com/watch?v=c6mmPNNPolw,,co-op,48,2,Raw_Boomer,CaNaDa9427,,,0,
iw,shaolin-shuffle,flawless,fate-cards-only,xbox,http://twitch.tv/videos/1599346044,,solo,44,1,CaNaDa9427,,,,0,
bo3,verruckt,flawless,mega-gobblegum,playstation,https://youtube.com/watch?v=2ofyilYgAII,,co-op,40,2,Raw_Boomer,CaNaDa9427,,,0,
bo3,the-giant,flawless,mega-gobblegum,playstation,https://youtube.com/watch?v=ZRuWfwgcmMs,,co-op,39,2,CaNaDa9427,Goat_Gabe,,,0,
bo3,the-giant,flawless,mega-gobblegum,playstation,https://youtube.com/watch?v=4VC07HLcwQA,,co-op,33,2,Raw_Boomer,CaNaDa9427,,,0,
bo3,verruckt,flawless,classic-gobblegum-only,playstation,https://youtube.com/watch?v=05j425UZgDo,,co-op,19,3,Raw_Boomer,CaNaDa9427,Goat_Gabe,,0,
bo3,zetsubou-no-shima,flawless,classic-gobblegum-only,playstation,https://youtube.com/watch?v=BiE1FXH8KAQ,,co-op,13,3,Raw_Boomer,CaNaDa9427,Goat_Gabe,,0,
bo3,gorod-krovi,no-aat,mega-gobblegum,playstation,https://youtube.com/watch?v=syDA_Sx_u_Y,,co-op,21,2,CaNaDa9427,Raw_Boomer,,,0,
bo3,dead-ops-arcade-ii,doa,flawless,playstation,https://youtube.com/watch?v=JbX4_K6dfLQ,,co-op,10,3,Raw_Boomer,CaNaDa9427,Goat_Gabe,,0,
bo4,alpha-omega,first-room,classic-elixirs-only,playstation,https://youtube.com/watch?v=mrYJQOLDEMo,,solo,22,1,CaNaDa9427,,,,0,
bo4,ix,first-room,all-elixirs-talismans,playstation,https://youtube.com/watch?v=xdKvRlLk2B4,,co-op,19,2,Raw_Boomer,CaNaDa9427,,,0,
bo4,dead-of-the-night,first-room,classic-elixirs-only,playstation,https://youtube.com/watch?v=GUfZhVwhj-Y,,solo,18,1,CaNaDa9427,,,,0,
bo4,blood-of-the-dead,first-room,no-elixirs,playstation,https://youtube.com/watch?v=WQdpxeh1EEA,,co-op,16,2,CaNaDa9427,Raw_Boomer,,,0,
bo4,classified,first-room,classic-elixirs-only,playstation,https://youtube.com/watch?v=tnfT0u4Cv5Q,,solo,15,1,CaNaDa9427,,,,0,
bo4,voyage-of-despair,first-room,all-elixirs-talismans-hardcore,playstation,https://youtube.com/watch?v=b6eWyCeyzo0,,co-op,14,2,Raw_Boomer,CaNaDa9427,,,0,
bo4,alpha-omega,first-room,purist-hardcore,playstation,https://youtube.com/watch?v=UgLOVybKrVQ,,solo,13,1,CaNaDa9427,,,,0,
bo3,shi-no-numa,first-room,mega-gobblegum,playstation,https://youtube.com/watch?v=DFizwlXfjQY,,co-op,12,2,Raw_Boomer,CaNaDa9427,,,0,
bo3,shi-no-numa,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=OeYY8VpyOQs,,co-op,11,2,Raw_Boomer,CaNaDa9427,,,0,
bo3,der-eisendrache,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=tv44IoIy8Kw,,co-op,10,2,Raw_Boomer,CaNaDa9427,,,0,
bo3,shangri-la,first-room,mega-gobblegum,playstation,https://youtube.com/watch?v=UeIWUCV3i7A,,co-op,10,2,Raw_Boomer,CaNaDa9427,,,0,
bo4,ix,no-power,no-elixirs,playstation,https://youtube.com/watch?v=coIDU1cAbHs,,solo,38,1,CaNaDa9427,,,,0,
bo3,ascension,no-power,no-gobblegum,playstation,https://youtube.com/watch?v=j1JxK9b-n5U,,co-op,22,2,Raw_Boomer,CaNaDa9427,,,0,
bo3,kino-der-toten,no-power,no-gobblegum,playstation,https://youtube.com/watch?v=DoMEHwb7PvY,,co-op,20,2,CaNaDa9427,Goat_Gabe,,,0,
bo3,verruckt,no-power,no-gobblegum,playstation,https://youtube.com/watch?v=8InJyXv7_S0,,co-op,12,2,Raw_Boomer,CaNaDa9427,,,0,
bo3,revelations,no-power,no-gobblegum,playstation,https://youtube.com/watch?v=3uMa43a5np0,,co-op,11,2,Raw_Boomer,CaNaDa9427,,,0,
bo4,ix,no-perks,classic-elixirs-only,playstation,https://youtube.com/watch?v=4W_HO794fNo,,solo,42,1,CaNaDa9427,,,,0,
bo4,alpha-omega,no-perks,no-elixirs,playstation,https://youtube.com/watch?v=unHQiJvoyE8,,solo,31,1,CaNaDa9427,,,,0,
bo3,nacht-der-untoten,no-perks,mega-gobblegum,playstation,https://youtube.com/watch?v=fV7riFLLA5k,,solo,27,1,CaNaDa9427,,,,0,
bo4,classified,points-rush,no-elixirs,playstation,https://youtube.com/watch?v=kL-zAnc4rf0,,solo,934380,1,CaNaDa9427,,,,0,
aw,ascend,high-round-survival,,playstation,https://youtube.com/watch?v=MVqzvM6QYlk,,co-op,25,2,Raw_Boomer,CaNaDa9427,,,0,
aw,terrace,high-round-survival,,playstation,https://youtube.com/watch?v=7dozoksUI_Q,,co-op,17,2,CaNaDa9427,Anderz666,,,0,
