game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
aw,outbreak,high-round,,xbox,https://youtube.com/watch?v=ROqU65_lghk,,co-op,50,3,TWiTCHaH,Ccates32,Plasmid Jeff,,0,
bo3,shadows-of-evil,no-power,mega-gobblegum,xbox,https://youtube.com/watch?v=K2AaNuf4ryo,,co-op,63,2,TWiTCHaH,Ccates32,,,0,
bo3,shadows-of-evil,30-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=DEYeNoZBBEY,,solo,32:22,1,Ccates32,,,,0,
bo3,the-giant,30-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=6vWTXJ0m6ic,,solo,32:34,1,Ccates32,,,,0,
bo2,buried,30-speedrun,,xbox,https://youtube.com/watch?v=JW_z7imAHpQ,,co-op,37:46,2,SESH,Ccates32,,,0,
bo2,buried,30-speedrun,,xbox,https://youtube.com/watch?v=H24lHV5DntQ,,co-op,38:15,2,Ccates32,KillerChaz,,,0,
bo3,shadows-of-evil,30-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=7ePgneM7j_w,,co-op,39:12,3,TWiTCHaH,KillerChaz,Ccates32,,0,
bo,kino-der-toten,30-speedrun,,xbox,http://twitch.tv/videos/51099324,,co-op,40:51,2,SESH,Ccates32,,,0,
bo2,origins,30-speedrun,,xbox,http://twitch.tv/videos/49565991,,co-op,44:39,2,SESH,Ccates32,,,0,
bo3,shadows-of-evil,50-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=DEYeNoZBBEY,,solo,59:29,1,Ccates32,,,,0,
bo2,buried,50-speedrun,,xbox,https://youtube.com/watch?v=1wD7I-LKdW4,,solo,1:16:29,1,Ccates32,,,,0,
bo3,der-eisendrache,50-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=dhpl5WGUd-k,,co-op,2:07:10,4,Ccates32,Plasmid Jeff,TWiTCHaH,KillerChaz,0,
aw,outbreak,50-speedrun,,xbox,https://youtube.com/watch?v=ROqU65_lghk,,co-op,3:06:33,3,TWiTCHaH,Ccates32,Plasmid Jeff,,0,
