game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,outbreak,high-round,casual,playstation,http://twitch.tv/videos/1706396312,,co-op,263,3,Kali123weed,Chris92,Wilson Valdez,,0,
bocw,outbreak,high-round,casual,playstation,http://twitch.tv/videos/1734083637,,co-op,256,2,Chris92,Kali123weed,,,0,
bo6,liberty-falls,high-round,no-gobblegums-no-support,playstation,http://twitch.tv/videos/2591473866,,co-op,231,2,Kali123weed,Chris92,,,0,
bocw,forsaken,high-round,with-support,playstation,http://twitch.tv/videos/1868306753,,co-op,203,2,Kali123weed,Chris92,,,0,
bocw,mauer-der-toten,high-round,without-support,playstation,http://twitch.tv/videos/1703273729,,co-op,186,4,Maddog187_,Kali123weed,MrBosS247,Chris92,0,
bocw,outbreak,high-round,casual,playstation,http://twitch.tv/videos/1864370884,,co-op,124,4,Kali123weed,Beenthere,Chris92,THAT GUY,0,
bocw,outbreak,high-round,casual,playstation,http://twitch.tv/videos/1728241085,,co-op,115,4,Chris92,Kali123weed,420xjordan,Tryitout,0,
bocw,outbreak,high-round,casual,playstation,http://twitch.tv/videos/1730000811,,co-op,112,4,Kali123weed,Chris92,MrBosS247,NYC3D,0,
bocw,outbreak,high-round,survival,playstation,http://twitch.tv/videos/1796218179,,co-op,108,3,Kali123weed,Chris92,Tryitout,,0,
bocw,outbreak,high-round,survival,playstation,http://twitch.tv/videos/1694845722,,co-op,103,3,Kali123weed,Chris92,NYC3D,,0,
bocw,outbreak,high-round,survival,playstation,http://twitch.tv/videos/1708943214,,co-op,69,4,Chris92,Kali123weed,MrBosS247,Wilson Valdez,0,
bocw,outbreak,high-round,casual,xbox,http://twitch.tv/videos/1670242850,,co-op,32,4,NYC3D,Chris92,Forefinger,Wilson Valdez,0,
bocw,outbreak,high-round,survival,playstation,http://twitch.tv/videos/1680339137,,co-op,29,3,Kali123weed,Beenthere,Chris92,,0,
bo6,liberty-falls,flawless,no-gobblegums-no-support,playstation,http://twitch.tv/videos/2591473866,,co-op,231,2,Kali123weed,Chris92,,,0,
bocw,mauer-der-toten,flawless,without-support,playstation,http://twitch.tv/videos/1703273729,,co-op,186,4,Maddog187_,Kali123weed,MrBosS247,Chris92,0,
bocw,outbreak,flawless,casual,playstation,http://twitch.tv/videos/1735147146,,co-op,137,2,Chris92,Kali123weed,,,0,
bocw,outbreak,flawless,casual,playstation,http://twitch.tv/videos/1722554459,,co-op,133,3,Kali123weed,MrBosS247,Chris92,,0,
bocw,die-maschine,flawless,without-support,playstation,http://twitch.tv/videos/1719691944,,co-op,115,3,Chris92,Kali123weed,MrBosS247,,0,
bocw,outbreak,flawless,casual,playstation,http://twitch.tv/videos/1730000811,,co-op,75,4,Chris92,Kali123weed,MrBosS247,NYC3D,0,
bocw,outbreak,flawless,survival,playstation,http://twitch.tv/videos/1708943214,,co-op,69,4,Chris92,Kali123weed,MrBosS247,Wilson Valdez,0,
bocw,outbreak,flawless,survival,playstation,http://twitch.tv/videos/1796218179,,co-op,68,3,Chris92,Kali123weed,Tryitout,,0,
bocw,outbreak,flawless,survival,playstation,http://twitch.tv/videos/1694345865,,co-op,65,3,Kali123weed,Chris92,NYC3D,,0,
bocw,outbreak,flawless,survival,playstation,http://twitch.tv/videos/1686592428,,co-op,64,2,Kali123weed,Chris92,,,0,
bocw,outbreak,flawless,casual,xbox,http://twitch.tv/videos/1693286358,,co-op,43,2,NYC3D,Chris92,,,0,
bocw,outbreak,flawless,survival,playstation,http://twitch.tv/videos/1680339137,,co-op,29,3,Kali123weed,Beenthere,Chris92,,0,
bocw,outbreak,flawless,casual,playstation,http://twitch.tv/videos/1663097907,,co-op,24,4,Kali123weed,NYC3D,Chris92,HeziGod,0,
bocw,outbreak,flawless,casual,xbox,http://twitch.tv/videos/1670241330,,co-op,23,3,NYC3D,Chris92,Wilson Valdez,,0,
bocw,outbreak,flawless,casual,xbox,http://twitch.tv/videos/1670211892,,co-op,20,4,NYC3D,Chris92,Wilson Valdez,Forefinger,0,
bocw,forsaken,purist-highrounds,,playstation,http://twitch.tv/videos/1809989964,,co-op,82,2,Kali123weed,Chris92,,,0,
bocw,dead-ops-arcade-iii,doa,flawless,playstation,http://twitch.tv/videos/1734081847,,co-op,38,3,Kali123weed,Chris92,MrBosS247,,0,
bocw,forsaken,first-room,with-support,playstation,http://twitch.tv/videos/1791404533,,co-op,67,4,Kali123weed,PoetCLC,Beenthere,Chris92,0,
bocw,forsaken,first-room,with-support,playstation,http://twitch.tv/videos/1779508415,,co-op,61,3,Chris92,Kali123weed,Im420Great,,0,
bocw,forsaken,first-room,with-support,playstation,http://twitch.tv/videos/1710181879,,co-op,51,4,Kali123weed,Chris92,Wilson Valdez,MrBosS247,0,
