game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
waw,der-riese,high-round,fixed-wunderwaffe,steam,http://twitch.tv/videos/1875824816,,co-op,50,4,Mystic,ChuckV107,FnLizardKing,SirModsAlot,0,
custom,prison-mission-waw-bo1,custom-high-round,,steam,http://twitch.tv/videos/1035353790,,co-op,32,2,ChuckV107,Lilleman,,,0,
waw,der-riese,flawless,fixed-wunderwaffe,steam,http://twitch.tv/videos/1875824816,,co-op,40,4,Mystic,FnLizardKing,ChuckV107,SirModsAlot,0,
bo,shi-no-numa,flawless,,steam,http://twitch.tv/videos/1944389641,,co-op,39,3,FnLizardKing,palmer,ChuckV107,,0,
waw,der-riese,flawless,original,steam,http://twitch.tv/videos/1265368714,,co-op,35,4,ChuckV107,Doggo,TheEvilPlant,Azura,0,
bo3,dead-ops-arcade-ii,doa,flawless,playstation,http://twitch.tv/videos/577061133,,co-op,11,4,ChuckV107,rjballa23,SwiftzXD,Yuija,0,
waw,nacht-der-untoten,first-room,,steam,http://twitch.tv/videos/1273911423,,co-op,24,4,Doggo,Azura,ChuckV107,TheEvilPlant,0,
waw,der-riese,first-room,none,steam,http://twitch.tv/videos/595113956,,co-op,11,3,ChuckV107,Derpysniper,SpaceSquads,,0,
custom,kowloon-reimagined-bo3,custom-first-room-bo3,,steam,http://twitch.tv/videos/1038010698,,solo,10,1,ChuckV107,,,,0,
custom,kowloon-reimagined-bo3,custom-no-power-bo3,,steam,http://twitch.tv/videos/1038010698,,solo,10,1,ChuckV107,,,,0,
custom,kowloon-reimagined-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=jBHqleHgJCo,,co-op,32:37,2,ChuckV107,Lilleman,,,0,
custom,prison-mission-waw-bo1,custom-30-speedrun,,steam,http://twitch.tv/videos/1036113511,,solo,44:33,1,ChuckV107,,,,0,
custom,prison-mission-waw-bo1,custom-30-speedrun,,steam,http://twitch.tv/videos/1035353790,,co-op,1:00:19,2,ChuckV107,Lilleman,,,0,
bo2,die-rise,30-speedrun,,steam,http://twitch.tv/videos/1866253424,,co-op,1:06:42,4,Mystic,SirModsAlot,FnLizardKing,ChuckV107,0,
bo2,nuketown,30-speedrun,,steam,http://twitch.tv/videos/1866181848,,co-op,1:23:29,4,Mystic,FnLizardKing,SirModsAlot,ChuckV107,0,
bo2,bus-depot,30-speedrun,,steam,http://twitch.tv/videos/1869635139,,co-op,1:34:49,4,Mystic,FnLizardKing,SirModsAlot,ChuckV107,0,
bo2,origins,50-speedrun,,steam,https://youtube.com/watch?v=85hJI0qXUVY,,co-op,2:39:56,3,ChuckV107,BaileyFIFA HD,Evanflames,,0,
waw,der-riese,50-speedrun,fixed-wunderwaffe,steam,http://twitch.tv/videos/1875824816,,co-op,3:54:55,4,Mystic,FnLizardKing,SirModsAlot,ChuckV107,0,
bo3,chronicles,30-super-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/1428836426,,solo,4:13:29,1,ChuckV107,,,,0,
custom,prison-mission-waw-bo1,custom-ee-speedrun,luther-side,steam,http://twitch.tv/videos/1077933135,,solo,17:18,1,ChuckV107,,,,0,
custom,prison-mission-waw-bo1,custom-ee-speedrun,luther-side,steam,http://twitch.tv/videos/1035353790,,co-op,19:25,2,ChuckV107,Lilleman,,,0,
custom,prison-mission-waw-bo1,custom-ee-speedrun,obediah-side,steam,http://twitch.tv/videos/1038021842,,solo,25:33,1,ChuckV107,,,,0,
custom,requiem-waw-bo1,custom-ee-speedrun,,steam,http://twitch.tv/videos/609893733,,solo,27:17,1,ChuckV107,,,,0,
custom,clinic-of-evil-waw-bo1,custom-ee-speedrun,,steam,https://youtube.com/watch?v=rILW9gMck5o,,co-op,27:32,2,Lilleman,ChuckV107,,,0,
custom,clinic-of-evil-waw-bo1,custom-ee-speedrun,,steam,http://twitch.tv/videos/504076610,,solo,32:29,1,ChuckV107,,,,0,
custom,daybreak-bo3,custom-ee-speedrun-bo3,,steam,http://twitch.tv/videos/1286306908,,solo,17:31,1,ChuckV107,,,,0,
custom,extinct-the-last-compound-bo3,custom-ee-speedrun-bo3,,steam,http://twitch.tv/videos/496823691,,solo,17:58,1,ChuckV107,,,,0,
custom,mcdonalds-bo3,custom-ee-speedrun-bo3,,steam,https://youtube.com/watch?v=ft61JtB1XTM,,co-op,20:43,2,ChuckV107,Mystify,,,0,
