game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,origins,ee-speedrun,any,steam,https://youtube.com/watch?v=35QqEGyRHxM,,co-op,20:37,4,ross_aiden,Mikey0006,Invisible Hole,CloudyMJ,0,
bo3,origins,ee-speedrun,any,steam,https://youtube.com/watch?v=P2ABuIIIyqE,,co-op,22:32,3,ross_aiden,Invisible Hole,CloudyMJ,,0,
bo3,origins,ee-speedrun,any,steam,http://twitch.tv/videos/1951504845,,co-op,22:46,4,Cpenn0205,CloudyMJ,PSIpherr,Luna,0,
bo3,revelations,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=oNTov-DYYzk,,solo,23:54.2,1,CloudyMJ,,,,0,
bo3,origins,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=hjmOQzWysdA,,co-op,27:08,2,CloudyMJ,ross_aiden,,,0,
bo3,origins,ee-speedrun,any,steam,http://twitch.tv/videos/2608231854,,co-op,27:30,2,ross_aiden,CloudyMJ,,,0,
bo3,origins,ee-speedrun,no-gobblegum,steam,https://youtube.com/watch?v=21i0QMcTPgw,,co-op,29:02.65,4,ross_aiden,CloudyMJ,Cpenn0205,Invisible Hole,0,
bo3,origins,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=IQCZ6LKP2GU,,solo,31:26,1,CloudyMJ,,,,0,
bo3,origins,ee-speedrun,classic-gobblegum-only,steam,https://youtube.com/watch?v=A-oiHK876_s,,co-op,31:59,3,ross_aiden,Invisible Hole,CloudyMJ,,0,
bo3,origins,ee-speedrun,no-gobblegum,steam,https://youtube.com/watch?v=1uSTZCQPit4,,co-op,33:14,3,ross_aiden,CloudyMJ,Invisible Hole,,0,
bo3,der-eisendrache,ee-speedrun,no-gobblegum,steam,https://youtube.com/watch?v=uhwZwOrULhg,,co-op,35:34,2,AstroTy,CloudyMJ,,,0,
bo3,origins,ee-speedrun,classic-gobblegum-only,steam,https://youtube.com/watch?v=dJhUKKGVpCY,,solo,58:29,1,CloudyMJ,,,,0,
community,snakeskin-boots,com-song-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=WXRSQRWCUds,,co-op,0:49,3,Toxic K,CloudyMJ,TommyBoyx69420,,0,
