game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,mauer-der-toten,high-round,with-support,xbox,http://twitch.tv/videos/1493699192,,solo,108,1,CocoPuffsSon,,,,0,
bocw,forsaken,high-round,without-support,xbox,http://twitch.tv/videos/1308625471,,solo,61,1,CocoPuffsSon,,,,0,
bocw,mauer-der-toten,high-round,without-support,xbox,http://twitch.tv/videos/1309782836,,solo,55,1,CocoPuffsSon,,,,0,
iw,shaolin-shuffle,high-round,fate-cards-only,xbox,http://twitch.tv/videos/1509150490,,solo,41,1,CocoPuffsSon,,,,0,
bo3,nacht-der-untoten,high-round,mega-gobblegum,steam,http://twitch.tv/videos/1960592647,,co-op,33,2,CocoPuffsSon,YourMom,,,0,
waw,der-riese,high-round,original,steam,http://twitch.tv/videos/1910970494,,solo,25,1,CocoPuffsSon,,,,0,
iw,shaolin-shuffle,high-round,fate-fortune-cards,xbox,http://twitch.tv/videos/1785650800,,co-op,23,2,CocoPuffsSon,xxdabbskixx,,,0,
custom,mcdonalds-bo3,custom-high-round-bo3,,steam,http://twitch.tv/videos/1967320305,,solo,55,1,CocoPuffsSon,,,,0,
custom,evil-christmas-bo3,custom-high-round-bo3,,steam,http://twitch.tv/videos/1911456284,,solo,35,1,CocoPuffsSon,,,,0,
custom,mcdonalds-bo3,custom-high-round-bo3,,steam,http://twitch.tv/videos/1965638088,,co-op,32,2,CocoPuffsSon,YourMom,,,0,
bocw,firebase-z,flawless,without-support,xbox,http://twitch.tv/videos/1309254426,,solo,42,1,CocoPuffsSon,,,,0,
bocw,forsaken,flawless,without-support,xbox,http://twitch.tv/videos/1492732229,,solo,32,1,CocoPuffsSon,,,,0,
bocw,firebase-z,no-power,,xbox,http://twitch.tv/videos/1505446410,,solo,23,1,CocoPuffsSon,,,,0,
iw,shaolin-shuffle,no-power,fate-cards-only,xbox,http://twitch.tv/videos/1508545578,,solo,19,1,CocoPuffsSon,,,,0,
bocw,mauer-der-toten,no-power,,xbox,http://twitch.tv/videos/1308639011,,solo,11,1,CocoPuffsSon,,,,0,
iw,shaolin-shuffle,iw-no-perks,fate-cards-only,xbox,http://twitch.tv/videos/1510016439,,solo,13,1,CocoPuffsSon,,,,0,
bocw,mauer-der-toten,no-armor,,xbox,http://twitch.tv/videos/1493699592,,solo,108,1,CocoPuffsSon,,,,0,
bocw,forsaken,no-armor,,xbox,http://twitch.tv/videos/1313185187,,solo,61,1,CocoPuffsSon,,,,0,
community,kino-der-toten-bo3,com-one-room,classic-gobblegum-only,xbox,http://twitch.tv/videos/1309900489,,solo,23,1,CocoPuffsSon,,,,0,
community,kino-der-toten-bo3,com-one-room,mega-gobblegums,steam,http://twitch.tv/videos/1908684308,,solo,21,1,CocoPuffsSon,,,,0,
community,firebase-z,com-second-room,,xbox,http://twitch.tv/videos/1492627676,,solo,41,1,CocoPuffsSon,,,,0,
community,forsaken,com-second-room,,xbox,http://twitch.tv/videos/1308179951,,solo,27,1,CocoPuffsSon,,,,0,
community,der-riese-waw,com-pap-speedruns,none,steam,http://twitch.tv/videos/1726075046,,solo,10:09,1,CocoPuffsSon,,,,0,
community,firebase-z,com-colonels,,xbox,http://twitch.tv/videos/1505472890,,solo,15,1,CocoPuffsSon,,,,0,
mw3,interchange,high-round-survival,no-traps,xbox,http://twitch.tv/videos/1312242113,,solo,29,1,CocoPuffsSon,,,,0,
mw3,terminal,high-round-survival,no-traps,xbox,http://twitch.tv/videos/1311738411,,solo,14,1,CocoPuffsSon,,,,0,
mw3,resistance,pistols-only-survival,,xbox,http://twitch.tv/videos/1311677467,,solo,19,1,CocoPuffsSon,,,,0,
