game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
waw,nacht-der-untoten,high-round,original,steam,https://youtube.com/watch?v=dld38PsWQwc,,solo,215,1,CodyDaGoat,,,,0,
waw,der-riese,high-round,original,steam,http://twitch.tv/videos/528410919,,co-op,53,4,SlowFiend935,CodyDaGoat,Trikkiez,GamingGhostHD,0,
bo3,nacht-der-untoten,high-round,no-gobblegum,steam,https://youtube.com/watch?v=av3pq2RMuIs,,co-op,49,2,CodyDaGoat,Krekster,,,0,
bo3,kino-der-toten,high-round,no-gobblegum,steam,https://youtube.com/watch?v=tXSWCNyPxuI,,co-op,39,2,CodyDaGoat,EternityMain,,,0,
bo3,kino-der-toten,high-round,no-gobblegum,steam,https://youtube.com/watch?v=C-VGkWlqT0w,,co-op,31,4,CodyDaGoat,NA Fox,freebasejosh,LouisThaKing,0,
wwii,the-frozen-dawn,high-round,,steam,https://youtube.com/watch?v=DmeA9MPHS0Y,,co-op,29,2,CodyDaGoat,Krekster,,,0,
bo2,farm,high-round,,steam,https://youtube.com/watch?v=Y0lC6iWuIno,,co-op,28,4,CodyDaGoat,Krekster,StonerMunchies,Anixie,0,
bo2,farm,high-round,,xbox,https://youtube.com/watch?v=3xc41YF5rc8,,co-op,27,4,CodyDaGoat,Zokve,fart guy8054,Nanikos,0,
waw,verruckt,high-round,original,steam,https://youtube.com/watch?v=4vsvHcQ7Lj0,,co-op,27,3,CodyDaGoat,Krekster,Mr. Boner,,0,
bo,five,high-round,,xbox,https://youtube.com/watch?v=SaAfaWbO_AI,,co-op,26,3,CodyDaGoat,Zokve,UltraGavin,,0,
custom,requiem-waw-bo1,custom-high-round,,steam,https://youtube.com/watch?v=LYHmUD1ORpo,,solo,29,1,CodyDaGoat,,,,0,
bo,der-riese,flawless,,steam,https://youtube.com/watch?v=RQSYFK3Lhro,,co-op,46,2,CodyDaGoat,Zi0MIX,,,0,
