game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,the-giant,high-round,classic-gobblegum-only,steam,http://twitch.tv/videos/176042816,,co-op,41,3,iwillstealurbos,Renegade_197,Crain,,0,
bo3,nacht-der-untoten,first-room,mega-gobblegum,playstation,http://twitch.tv/videos/247213021,,co-op,59,3,Crain,iProjectOpsXP,P1mp_Ju1ce_95,,0,
bo3,kino-der-toten,first-room,classic-gobblegum-only,playstation,http://twitch.tv/videos/279585037,,solo,53,1,Crain,,,,0,
bo3,kino-der-toten,first-room,no-gobblegum,playstation,http://twitch.tv/videos/433218533,,solo,52,1,Crain,,,,0,
bo3,kino-der-toten,first-room,classic-gobblegum-only,playstation,http://twitch.tv/videos/340214847,,co-op,48,2,MoeMerkedYou,Crain,,,0,
bo3,ascension,first-room,classic-gobblegum-only,steam,http://twitch.tv/videos/162127822,,solo,47,1,Crain,,,,0,
bo3,nacht-der-untoten,first-room,classic-gobblegum-only,playstation,http://twitch.tv/videos/306085199,,solo,44,1,Crain,,,,0,
bo3,kino-der-toten,first-room,no-gobblegum,playstation,http://twitch.tv/videos/426844935,,co-op,40,2,Crain,Spykes27,,,0,
bo3,origins,first-room,classic-gobblegum-only,playstation,http://twitch.tv/videos/419953531,,co-op,36,3,Crain,ElementDarkness-,Spykes27,,0,
bo3,nacht-der-untoten,first-room,no-gobblegum,playstation,http://twitch.tv/videos/318592686,,solo,35,1,Crain,,,,0,
bo3,kino-der-toten,first-room,classic-gobblegum-only,playstation,http://twitch.tv/videos/241122180,,co-op,34,3,Crain,VapingViagra,thatJERKmummert,,0,
bo3,kino-der-toten,first-room,no-gobblegum,playstation,http://twitch.tv/videos/435472352,,co-op,32,4,Crain,ElementDarkness-,Spykes27,HollowCross,0,
bo3,shi-no-numa,first-room,classic-gobblegum-only,steam,http://twitch.tv/videos/177551535,,solo,32,1,Crain,,,,0,
bo3,ascension,first-room,classic-gobblegum-only,steam,http://twitch.tv/videos/158266413,,co-op,24,3,Crain,selkraps,LiquidFizz,,0,
bo3,nacht-der-untoten,first-room,classic-gobblegum-only,steam,http://twitch.tv/videos/160001890,,co-op,17,3,Crain,LiquidFizz,FaithTwist,,0,
bo3,nacht-der-untoten,100-speedrun,mega-gobblegum,playstation,http://twitch.tv/videos/298765512,,solo,8:37:43,1,Crain,,,,0,
