game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,ascension,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=WHVw3_mGk9M,,solo,91,1,Cxnnonz,,,,0,
bo3,kino-der-toten,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=bZgBeMOPmHI,,solo,78,1,Cxnnonz,,,,0,
bo3,kino-der-toten,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=WW5ClqVZ-rE,,co-op,38,2,Cxnnonz,Anime_Goku1920,,,0,
bo3,kino-der-toten,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=NCkKtU6tPYs,,co-op,37,3,Cxnnonz,Rocketer7190,Kingmech96,,0,
bo3,origins,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=I_1m7UVnUVQ,,co-op,26,4,Cxnnonz,Anime_Goku1920,gddillon,AaronLOLz1st,0,
bo3,shangri-la,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=cSqoCUKLGh0,,co-op,22,3,Cxnnonz,MrDebtless,Bedolla,,0,
bo3,shangri-la,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=ZPcZOmqmP94,,co-op,16,4,Cxnnonz,Hoodiqez13,MrDebtless,Bedolla,0,
wwii,the-darkest-shore,flawless,,xbox,http://twitch.tv/videos/2566076899,,co-op,81,3,Yolo Knifer 24,Cxnnonz,craxkrazer,,0,
wwii,the-darkest-shore,flawless,,xbox,http://twitch.tv/videos/2678300582,,co-op,36,4,Cxnnonz,MKvsDragon,Dream Safely,jUmPsUiT101,0,
bo3,kino-der-toten,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=sy927DgvQbE,,solo,22,1,Cxnnonz,,,,0,
bo6,shattered-veil,no-perks,no-gobblegums-no-support,playstation,https://youtube.com/watch?v=VAKekNfYHpM,,solo,54,1,Cxnnonz,,,,0,
bo6,shattered-veil,no-jug,no-gobblegums-with-support,playstation,https://youtube.com/watch?v=JD02pYapoRg,,solo,65,1,Cxnnonz,,,,0,
bo6,shattered-veil,50-speedrun,no-gobblegums,playstation,https://youtube.com/watch?v=8j8EMgxK-JM,,solo,1:01:45,1,Cxnnonz,,,,0,
