game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,origins,high-round,mega-gobblegum,playstation,http://twitch.tv/videos/614753202,,co-op,150,2,WhiteChocolate,CynicalDeadpool,,,0,
bo3,verruckt,high-round,mega-gobblegum,playstation,http://twitch.tv/videos/185983103,,co-op,77,4,SESH,KillerChaz,Yezzy,CynicalDeadpool,0,
bo3,nacht-der-untoten,first-room,mega-gobblegum,playstation,https://youtube.com/watch?v=5NsuNgM1EUo,,co-op,58,3,Jordi Pi,CynicalDeadpool,Threeprosgames,,0,
bo3,zetsubou-no-shima,first-room,mega-gobblegum,playstation,http://twitch.tv/videos/85677520,,co-op,46,4,Guardurheart423,iTz_BaTmAn_69,Bruh_toast21,CynicalDeadpool,0,
bo3,revelations,first-room,classic-gobblegum-only,playstation,http://twitch.tv/videos/94707902,,co-op,21,4,BigMike,Karlrogers20153,actenergetic,CynicalDeadpool,0,
bo3,revelations,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=oRXN5FOGix4,,co-op,20,4,OCD,actenergetic,mthicks,CynicalDeadpool,0,
bo3,revelations,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=mYSAsNHAGsI,,co-op,20,3,OCD,actenergetic,CynicalDeadpool,,0,
bo3,revelations,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=q1tW4GfAhAU,,co-op,18,4,OCD,mthicks,CynicalDeadpool,actenergetic,0,
bo3,revelations,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=nfejIMv3bOg,,co-op,15,4,OCD,ExoTikLiFeLiNe,Karlrogers20153,CynicalDeadpool,0,
bo3,zetsubou-no-shima,no-power,mega-gobblegum,playstation,http://twitch.tv/videos/85678062,,co-op,46,4,Guardurheart423,iTz_BaTmAn_69,Bruh_toast21,CynicalDeadpool,0,
bo3,verruckt,no-power,no-gobblegum,playstation,http://twitch.tv/videos/629858249,,co-op,36,4,Its_Gr33nZ,CynicalDeadpool,Sartinio,LeCranedeZizou,0,
bo3,revelations,30-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=B-dw3sdgRc4,,co-op,44:05,3,OCD,Its_Gr33nZ,CynicalDeadpool,,0,
bo3,revelations,30-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=VaLlUiPhEp0,,co-op,47:06,4,OCD,actenergetic,CynicalDeadpool,Karlrogers20153,0,
bo3,revelations,30-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=pdaU1snHbWs,,co-op,59:11,3,OCD,mthicks,CynicalDeadpool,,0,
