game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,the-giant,high-round,no-gobblegum,playstation,http://twitch.tv/videos/140868053,,solo,136,1,DF04-szr,,,,0,
bo3,the-giant,flawless,no-gobblegum,playstation,http://twitch.tv/videos/140868053,,solo,136,1,DF04-szr,,,,0,
bo3,the-giant,flawless,classic-gobblegum-only,playstation,http://twitch.tv/videos/95112907,,solo,106,1,DF04-szr,,,,0,
bo3,gorod-krovi,no-aat,classic-gobblegum-only,playstation,http://twitch.tv/videos/101542502,,solo,65,1,DF04-szr,,,,0,
bo3,gorod-krovi,no-aat,no-gobblegum,playstation,http://twitch.tv/videos/97163839,,solo,65,1,DF04-szr,,,,0,
bo3,gorod-krovi,no-power,mega-gobblegum,playstation,http://twitch.tv/videos/110144218,,solo,119,1,DF04-szr,,,,0,
bo3,gorod-krovi,no-power,mega-gobblegum,playstation,http://twitch.tv/videos/113122758,,co-op,69,3,Deez,DF04-szr,iThatGenius,,0,
bo3,origins,no-power,classic-gobblegum-only,playstation,http://twitch.tv/videos/177055166,,co-op,68,2,WoODsIDe_62,DF04-szr,,,0,
bo3,gorod-krovi,no-power,classic-gobblegum-only,playstation,http://twitch.tv/videos/101542502,,solo,65,1,DF04-szr,,,,0,
bo3,gorod-krovi,no-power,no-gobblegum,playstation,http://twitch.tv/videos/97163839,,solo,65,1,DF04-szr,,,,0,
bo3,gorod-krovi,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=bm2_dhOP2NM,,co-op,51,2,DF04-szr,ReziV-SzR,,,0,
bo3,gorod-krovi,no-power,classic-gobblegum-only,playstation,http://twitch.tv/videos/98588858,,co-op,48,3,ImArrow___,DF04-szr,el_fanatico,,0,
bo3,the-giant,no-power,no-gobblegum,playstation,http://twitch.tv/videos/92845074,,solo,33,1,DF04-szr,,,,0,
bo3,gorod-krovi,no-power,classic-gobblegum-only,playstation,http://twitch.tv/videos/95341892,,co-op,29,3,kawaza2,TaZzZ,DF04-szr,,0,
bo3,the-giant,no-jug,no-gobblegum,playstation,http://twitch.tv/videos/178099940,,solo,110,1,DF04-szr,,,,0,
