game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,shadows-of-evil,high-round,no-gobblegum,steam,https://youtube.com/watch?v=C_eJptBxp34,,co-op,63,2,DaMno,Nazi Zombie,,,0,
bo3,moon,high-round,classic-gobblegum-only,steam,https://youtube.com/watch?v=AfmIPQ-HwKI,,co-op,55,2,DaMno,Nazi Zombie,,,0,
bo3,nacht-der-untoten,high-round,no-gobblegum,steam,https://youtube.com/watch?v=3j0QfVXmkxs,,co-op,51,2,DaMno,Nazi Zombie,,,0,
bo3,verruckt,high-round,no-gobblegum,steam,https://youtube.com/watch?v=At67X3qUODo,,co-op,40,2,DaMno,Nazi Zombie,,,0,
bo3,the-giant,flawless,no-gobblegum,steam,https://youtube.com/watch?v=imu3Ef_p_Ds,,solo,65,1,DaMno,,,,0,
bo3,der-eisendrache,flawless,classic-gobblegum-only,steam,https://youtube.com/watch?v=_0_9CcLfScE,,co-op,52,2,DaMno,Nazi Zombie,,,0,
bo3,shi-no-numa,flawless,no-gobblegum,steam,https://youtube.com/watch?v=XlUwvcwcz6g,,co-op,50,2,DaMno,Nazi Zombie,,,0,
bo3,the-giant,flawless,no-gobblegum,steam,https://youtube.com/watch?v=pDr0ccA2pa4,,co-op,49,2,DaMno,Nazi Zombie,,,0,
bo3,nacht-der-untoten,flawless,classic-gobblegum-only,steam,https://youtube.com/watch?v=HXUFiemYGHI,,co-op,47,2,DaMno,Nazi Zombie,,,0,
bo,five,flawless,,steam,https://youtube.com/watch?v=xfFtPsM0cjs,,solo,43,1,DaMno,,,,0,
bo,der-riese,flawless,,steam,https://youtube.com/watch?v=389L3wc2k3U,,solo,41,1,DaMno,,,,0,
bo,dead-ops-arcade,doa,,steam,https://youtube.com/watch?v=K1iNjUzX1l0,,solo,48,1,DaMno,,,,0,
bo3,ascension,first-room,no-gobblegum,steam,https://youtube.com/watch?v=A2iQBgIGUpk,,solo,35,1,DaMno,,,,0,
bo4,classified,no-power,classic-elixirs-only,battle.net,https://youtube.com/watch?v=XCNRE3r02cg,,solo,53,1,DaMno,,,,0,
