game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,mauer-der-toten,high-round,with-support,playstation,http://twitch.tv/videos/1300468905,,co-op,337,3,YxxnightmarexxY,Demon_Sukuna666,Daddy_Dont_Mlss,,0,
bocw,die-maschine,high-round,with-support,xbox,http://twitch.tv/videos/1265241850,,co-op,214,3,Kirito,Daddy_Dont_Mlss,Demon_Sukuna666,,0,
bocw,mauer-der-toten,high-round,with-support,steam,http://twitch.tv/videos/1278826334,,co-op,183,4,Daddy_Dont_Mlss,Demon_Sukuna666,Official_Hotdog,YxxnightmarexxY,0,
bocw,forsaken,high-round,with-support,steam,http://twitch.tv/videos/1204843815,,co-op,181,4,Daddy_Dont_Mlss,King_Of_Wolfs01,xdhazagamer,Stormee,0,
bocw,die-maschine,high-round,with-support,steam,http://twitch.tv/videos/1212275359,,co-op,156,4,Daddy_Dont_Mlss,King_Of_Wolfs01,Thenerdherd69,mal3matthews,0,
bo6,the-tomb,flawless,no-gobblegums-with-support,steam,https://youtube.com/watch?v=GgANfbzqHgQ,,solo,999,1,Daddy_Dont_Mlss,,,,0,
bo6,liberty-falls,flawless,no-gobblegums-with-support,steam,https://youtube.com/watch?v=HsDS3b6X-Ro,,solo,999,1,Daddy_Dont_Mlss,,,,0,
bocw,mauer-der-toten,flawless,with-support,playstation,http://twitch.tv/videos/1300468905,,co-op,337,3,YxxnightmarexxY,Demon_Sukuna666,Daddy_Dont_Mlss,,0,
bo6,the-tomb,flawless,no-gobblegums-with-support,steam,https://youtube.com/watch?v=ndZL_48mEgk,,co-op,244,2,Daddy_Dont_Mlss,SoniSide,,,0,
bo6,the-tomb,flawless,with-gobblegums-with-support,steam,https://youtube.com/watch?v=ndZL_48mEgk,,co-op,244,2,Daddy_Dont_Mlss,SoniSide,,,0,
bocw,die-maschine,flawless,with-support,xbox,http://twitch.tv/videos/1265241850,,co-op,214,3,Kirito,Daddy_Dont_Mlss,Demon_Sukuna666,,0,
bo6,liberty-falls,flawless,with-gobblegums-with-support,steam,https://youtube.com/watch?v=vdctPJAyt5I,,co-op,168,2,Daddy_Dont_Mlss,SoniSide,,,0,
bocw,die-maschine,flawless,with-support,steam,http://twitch.tv/videos/1202788993,,co-op,161,3,Daddy_Dont_Mlss,xdhazagamer,King_Of_Wolfs01,,0,
bocw,mauer-der-toten,flawless,with-support,steam,http://twitch.tv/videos/1278826334,,co-op,151,4,Daddy_Dont_Mlss,Demon_Sukuna666,Official_Hotdog,YxxnightmarexxY,0,
bocw,die-maschine,flawless,with-support,steam,http://twitch.tv/videos/1212974835,,co-op,147,4,Daddy_Dont_Mlss,King_Of_Wolfs01,Thenerdherd69,mal3matthews,0,
bocw,mauer-der-toten,flawless,with-support,steam,http://twitch.tv/videos/1231683850,,co-op,127,4,Daddy_Dont_Mlss,Thenerdherd69,ZeroCool_Gaming_,King_Of_Wolfs01,0,
bo6,liberty-falls,first-room,with-gobblegums-with-support,steam,https://youtube.com/watch?v=-G_zUw1Z4uY,,co-op,148,2,SYTHE Z,Daddy_Dont_Mlss,,,0,
