game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,nowhere-left-to-run,campaign-speedrun,recruit,xbox,http://twitch.tv/videos/1704217763,,solo,8:11,1,DarkSR3,,,,0,
bocw,nowhere-left-to-run,campaign-speedrun,veteran,xbox,http://twitch.tv/videos/2168943838,,solo,10:18,1,DarkSR3,,,,0,
waw,full-game,campaign-speedrun,recruit,steam,http://twitch.tv/videos/2124336560,,solo,1:25:39,1,DarkSR3,,,,0,
bocw,full-game,campaign-speedrun,recruit-bad-ending,xbox,http://twitch.tv/videos/1704217763,,solo,1:34:16,1,DarkSR3,,,,0,
bocw,full-game,campaign-speedrun,recruit-good-ending,xbox,http://twitch.tv/videos/1703327179,,solo,1:37:00,1,DarkSR3,,,,0,
iw,full-game,campaign-speedrun,recruit,steam,http://twitch.tv/videos/1596785471,,solo,2:16:36,1,DarkSR3,,,,0,
bo2,full-game,campaign-speedrun,recruit-new-game,steam,http://twitch.tv/videos/1950844363,,solo,2:23:38,1,DarkSR3,,,,0,
vanguard,full-game,campaign-speedrun,recruit,steam,http://twitch.tv/videos/1969050900,,solo,2:24:00,1,DarkSR3,,,,0,
aw,full-game,campaign-speedrun,none,steam,http://twitch.tv/videos/1788184973,,solo,2:32:23,1,DarkSR3,,,,0,
bo,full-game,campaign-speedrun,recruit,steam,http://twitch.tv/videos/1923197330,,solo,2:38:39,1,DarkSR3,,,,0,
wwii,full-game,campaign-speedrun,recruit,steam,http://twitch.tv/videos/1754951057,,solo,2:44:25,1,DarkSR3,,,,0,
aw,full-game,campaign-speedrun,none,steam,http://twitch.tv/videos/1772939374,,solo,2:47:29,1,DarkSR3,,,,0,
bo2,full-game,campaign-speedrun,veteran-new-game,steam,http://twitch.tv/videos/2140960214,,solo,3:01:21,1,DarkSR3,,,,0,
bo,ascension,high-round,,xbox,https://youtube.com/watch?v=c1KM4S9_sQg,,solo,58,1,DarkSR3,,,,0,
bo,ascension,30-speedrun,,xbox,https://youtube.com/watch?v=c1KM4S9_sQg,,solo,39:43,1,DarkSR3,,,,0,
