game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,dead-of-the-night,high-round,classic-elixirs-only,playstation,http://twitch.tv/videos/610116271,,co-op,160,2,GrambleKing,Deadly_Fury85,,,0,
bo3,revelations,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=RLZa39oOs3E,,co-op,130,2,GrambleKing,Deadly_Fury85,,,0,
aw,outbreak,high-round,,playstation,https://youtube.com/watch?v=fryqxcQt1hc,,co-op,90,2,GrambleKing,Deadly_Fury85,,,0,
aw,descent,high-round,,playstation,https://youtube.com/watch?v=zatqisFRCgk,,co-op,65,2,GrambleKing,Deadly_Fury85,,,0,
iw,rave-in-the-redwoods,high-round,fate-cards-only,playstation,https://youtube.com/watch?v=A2mZtWXWxIM,,co-op,50,4,GrambleKing,Deadly_Fury85,Gaffy13,Guminipo,0,
custom,fabrik-der-untoten-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=AgAPRqi0Xz8,,co-op,101,2,GrambleKing,Deadly_Fury85,,,0,
custom,fabrik-der-untoten-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=AgAPRqi0Xz8,,co-op,101,2,GrambleKing,Deadly_Fury85,,,0,
custom,extinct-the-last-compound-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=wmHyVy2ecp4,,co-op,81,2,GrambleKing,Deadly_Fury85,,,0,
custom,battery-waw-bo1,custom-first-room,,steam,https://youtube.com/watch?v=zM38gyK1i18,,co-op,14,2,GrambleKing,Deadly_Fury85,,,0,
custom,leviathan-remastered-bo3,custom-no-power-bo3,,steam,https://youtube.com/watch?v=Ho20Qy_DiEk,,co-op,78,2,GrambleKing,Deadly_Fury85,,,0,
custom,battery-waw-bo1,custom-no-power,,steam,https://youtube.com/watch?v=OcEvwwkTy6g,,co-op,37,2,GrambleKing,Deadly_Fury85,,,0,
