game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,the-giant,high-round,classic-gobblegum-only,steam,https://youtube.com/watch?v=L3El4vx9Y6U,,solo,255,1,Deltanews,,,,0,
bo3,der-eisendrache,high-round,classic-gobblegum-only,steam,https://youtube.com/watch?v=8a3PVHNPAYg,,solo,255,1,Deltanews,,,,0,
bo3,origins,high-round,classic-gobblegum-only,steam,https://youtube.com/watch?v=k-FLNVoCzHQ,,solo,255,1,Deltanews,,,,0,
bo3,moon,high-round,classic-gobblegum-only,steam,https://youtube.com/watch?v=FcN_82j9lOk,,solo,255,1,Deltanews,,,,0,
bo3,kino-der-toten,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=6yY5b54JzyY,,solo,255,1,Deltanews,,,,0,
bo3,ascension,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=fTy5zsTDIRg,,solo,255,1,Deltanews,,,,0,
bo3,revelations,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=P-Kieii2Hvw,,co-op,182,2,SxKma,Deltanews,,,0,
bo3,verruckt,high-round,no-gobblegum,steam,http://twitch.tv/videos/1862667687,,solo,135,1,Deltanews,,,,0,
bo3,shadows-of-evil,high-round,classic-gobblegum-only,steam,https://youtube.com/watch?v=01NVhq85RNA,,co-op,134,3,ZSFRMaxEnOr,Deltanews,llGaryyll,,0,
bo3,revelations,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=YMgeWq5QQZo,,co-op,114,2,SxKma,Deltanews,,,0,
bo3,kino-der-toten,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=mFXn_lMsr_I,,co-op,65,2,SxKma,Deltanews,,,0,
bo3,shi-no-numa,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=2CWEumOKs-k,,co-op,46,2,SxKma,Deltanews,,,0,
bo3,moon,flawless,classic-gobblegum-only,steam,https://youtube.com/watch?v=FcN_82j9lOk,,solo,255,1,Deltanews,,,,0,
bo3,verruckt,flawless,no-gobblegum,steam,http://twitch.tv/videos/1861861446,,solo,90,1,Deltanews,,,,0,
bo3,the-giant,flawless,classic-gobblegum-only,playstation,https://youtube.com/watch?v=gYqhft350pw,,co-op,32,3,SxKma,Deltanews,Regard Malicieux,,0,
bo3,kino-der-toten,no-aat,classic-gobblegum-only,steam,https://youtube.com/watch?v=l7s6PpQDH6g,,solo,255,1,Deltanews,,,,0,
bo3,ascension,no-aat,classic-gobblegum-only,playstation,http://twitch.tv/videos/1106616458,,solo,211,1,Deltanews,,,,0,
bo3,shadows-of-evil,no-aat,classic-gobblegum-only,playstation,http://twitch.tv/videos/1207001749,,solo,151,1,Deltanews,,,,0,
bo3,ascension,no-aat,classic-gobblegum-only,playstation,https://youtube.com/watch?v=9VsPNEmsLJ0,,co-op,129,2,Deltanews,llGaryyll,,,0,
bo3,revelations,no-aat,no-gobblegum,playstation,https://youtube.com/watch?v=B58kzLJ-z-Y,,solo,110,1,Deltanews,,,,0,
bo3,ascension,no-aat,no-gobblegum,playstation,http://twitch.tv/videos/297573957,,solo,84,1,Deltanews,,,,0,
bo3,kino-der-toten,no-aat,no-gobblegum,playstation,https://youtube.com/watch?v=Yew-QCyhRZY,,solo,74,1,Deltanews,,,,0,
bo3,shangri-la,no-aat,classic-gobblegum-only,playstation,http://twitch.tv/videos/277014402,,solo,71,1,Deltanews,,,,0,
bo3,shangri-la,no-aat,no-gobblegum,playstation,https://youtube.com/watch?v=FBYaR3ineOQ,,solo,67,1,Deltanews,,,,0,
