game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo6,terminus,high-round,with-gobblegums-with-support,xbox,http://twitch.tv/videos/2309098371,,co-op,111,3,Gold x Soyeur,DemahoExodus77,Blarka,,0,
bo6,terminus,high-round,with-gobblegums-with-support,xbox,http://twitch.tv/videos/2298281549,,co-op,101,4,Gold x Soyeur,DemahoExodus77,AlphaBeta,Blarka,0,
bo6,liberty-falls,high-round,with-gobblegums-with-support,xbox,http://twitch.tv/videos/2292560363,,co-op,61,4,Gold x Soyeur,DemahoExodus77,Samyx9,Enoki VRX,0,
bo4,blood-of-the-dead-hardcore,high-round-hc,all-elixirs-talismans,xbox,http://twitch.tv/videos/711113400,,co-op,80,3,DemahoExodus77,Pantesmort59,Aboulee swagger,,0,
bo4,tag-der-toten-hardcore,high-round-hc,all-elixirs-talismans,xbox,http://twitch.tv/videos/754530540,,co-op,73,4,DemahoExodus77,Pantesmort59,Aboulee swagger,MasTBeaU,0,
bo4,ix-hardcore,high-round-hc,all-elixirs-talismans,xbox,http://twitch.tv/videos/704989252,,co-op,65,3,DemahoExodus77,Pantesmort59,Aboulee swagger,,0,
bo4,alpha-omega-hardcore,high-round-hc,all-elixirs-talismans,xbox,http://twitch.tv/videos/794641531,,co-op,62,3,Gold x Soyeur,DemahoExodus77,Kenzen s7x,,0,
bo4,classified-hardcore,high-round-hc,all-elixirs-talismans,xbox,http://twitch.tv/videos/725009011,,co-op,62,3,DemahoExodus77,Pantesmort59,Aboulee swagger,,0,
bo4,voyage-of-despair-hardcore,high-round-hc,classic-elixirs-only,xbox,http://twitch.tv/videos/754537050,,co-op,60,3,DemahoExodus77,Pantesmort59,Aboulee swagger,,0,
bo4,classified-hardcore,high-round-hc,classic-elixirs-only,xbox,http://twitch.tv/videos/433485794,,co-op,58,2,Kenzen s7x,DemahoExodus77,,,0,
bo4,alpha-omega-hardcore,high-round-hc,all-elixirs-talismans,xbox,http://twitch.tv/videos/467077301,,co-op,56,3,DemahoExodus77,Gold x Soyeur,Cr4zy Kill3r 76,,0,
bo4,voyage-of-despair-hardcore,high-round-hc,all-elixirs-talismans,xbox,http://twitch.tv/videos/451602271,,co-op,55,3,Kenzen s7x,DemahoExodus77,louchebem13,,0,
bo4,classified-hardcore,flawless-hc,all-elixirs-talismans,xbox,http://twitch.tv/videos/766154138,,co-op,52,3,DemahoExodus77,Aboulee swagger,Pantesmort59,,0,
bo4,blood-of-the-dead-hardcore,flawless-hc,all-elixirs-talismans,xbox,http://twitch.tv/videos/758282589,,co-op,50,4,DemahoExodus77,Aboulee swagger,Pantesmort59,AuRa VotuX,0,
bo4,classified-hardcore,flawless-hc,all-elixirs-talismans,xbox,http://twitch.tv/videos/762187230,,co-op,45,4,DemahoExodus77,Aboulee swagger,Pantesmort59,AuRa VotuX,0,
bo4,dead-of-the-night,first-room,all-elixirs-talismans-hardcore,xbox,http://twitch.tv/videos/764087175,,co-op,65,4,DemahoExodus77,Aboulee swagger,Pantesmort59,Kenzen s7x,0,
bo6,liberty-falls,first-room,with-gobblegums-with-support,xbox,http://twitch.tv/videos/2309478642,,co-op,60,3,Gold x Soyeur,DemahoExodus77,Sansplomb95,,0,
bo4,classified,first-room,all-elixirs-talismans-hardcore,xbox,http://twitch.tv/videos/747079181,,co-op,53,4,Aboulee swagger,Pantesmort59,aymericossRZp,DemahoExodus77,0,
bo4,classified,first-room,all-elixirs-talismans,xbox,http://twitch.tv/videos/435133590,,co-op,50,4,aymericossRZp,DemahoExodus77,LaChIgNoLe974,DzRachidDz,0,
bo4,dead-of-the-night,first-room,all-elixirs-talismans-hardcore,xbox,http://twitch.tv/videos/762188511,,co-op,49,3,DemahoExodus77,Aboulee swagger,Pantesmort59,,0,
bo4,tag-der-toten,first-room,all-elixirs-talismans-hardcore,xbox,http://twitch.tv/videos/774350169,,co-op,48,3,Gold x Soyeur,DemahoExodus77,Kenzen s7x,,0,
bo4,ix,first-room,no-elixirs,xbox,http://twitch.tv/videos/747075055,,co-op,46,3,Pantesmort59,DemahoExodus77,Aboulee swagger,,0,
bo4,classified,first-room,all-elixirs-talismans,xbox,http://twitch.tv/videos/432851126,,co-op,44,3,aymericossRZp,DemahoExodus77,LaChIgNoLe974,,0,
bo6,liberty-falls,first-room,with-gobblegums-with-support,xbox,http://twitch.tv/videos/2292119585,,co-op,41,4,Gold x Soyeur,DemahoExodus77,Skynox,Evos,0,
bo6,terminus,first-room,with-gobblegums-with-support,xbox,http://twitch.tv/videos/2315190427,,co-op,39,3,Gold x Soyeur,DemahoExodus77,Blarka,,0,
bo6,terminus,first-room,with-gobblegums-with-support,xbox,http://twitch.tv/videos/2316685736,,co-op,38,4,Gold x Soyeur,DemahoExodus77,Blarka,Ludo59,0,
bo6,terminus,first-room,with-gobblegums-no-support,xbox,http://twitch.tv/videos/2315119204,,co-op,31,2,Gold x Soyeur,DemahoExodus77,,,0,
bo4,dead-of-the-night,no-power,all-elixirs-talismans-hardcore,xbox,http://twitch.tv/videos/764087175,,co-op,65,4,DemahoExodus77,Aboulee swagger,Pantesmort59,Kenzen s7x,0,
bo4,ix,no-power,classic-elixirs-only,xbox,http://twitch.tv/videos/725016884,,co-op,57,3,Pantesmort59,Aboulee swagger,DemahoExodus77,,0,
bo4,ix,no-power,no-elixirs,xbox,http://twitch.tv/videos/758279254,,co-op,52,3,DemahoExodus77,AuRa VotuX,Pantesmort59,,0,
