game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
mw3,seatown,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=TBBAHV6HQEg,,solo,219,1,DeyHatinOnCJ,,,,0,
mw3,seatown,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=m1DzVXnrixo,,co-op,195,2,MatSurvives,DeyHatinOnCJ,,,0,
mw3,dome,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=VuR2XhHXJNU,,co-op,177,2,MatSurvives,DeyHatinOnCJ,,,0,
mw3,resistance,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=lPdIvpVfyGc,,co-op,164,2,DeyHatinOnCJ,RealSavageJoey,,,0,
mw3,bakaara,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=8WmIU8fcTAw,,solo,145,1,DeyHatinOnCJ,,,,0,
mw3,bootleg,high-round-survival,with-traps,xbox,https://youtube.com/watch?v=1YwRl9VlomM,,solo,111,1,DeyHatinOnCJ,,,,0,
mw3,piazza,high-round-survival,no-traps,xbox,https://youtube.com/watch?v=55zq4El1-uU,,co-op,69,2,MatSurvives,DeyHatinOnCJ,,,0,
mw3,underground,pistols-only-survival,,playstation,https://youtube.com/watch?v=Uc1suG_bt9s,,solo,32,1,DeyHatinOnCJ,,,,0,
mw3,stay-sharp,speedrun-specops,,xbox,https://youtube.com/watch?v=hUL4YoYgvOk,,solo,0:19,1,DeyHatinOnCJ,,,,0,
mw3,charges-set,speedrun-specops,,xbox,https://youtube.com/watch?v=Cl_Kczsx1TQ,,solo,0:24,1,DeyHatinOnCJ,,,,0,
