game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,ascension,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=zaYXMrLsFDU,,co-op,36,2,A101Pro1,Dogu189,,,0,
bo3,kino-der-toten,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=cYS2Nit0Ax0,,solo,24,1,Dogu189,,,,0,
bo3,ascension,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=fMZyzBqACC4,,co-op,20,4,iiSkiLLz_v1,A101Pro1,T80AY,Dogu189,0,
bo3,ascension,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=yOul4pryeMo,,co-op,20,2,Dogu189,Kenoz108,,,0,
bo3,kino-der-toten,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=Cs-R9JVExZs,,co-op,17,3,Dogu189,A101Pro1,T80AY,,0,
bo3,origins,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=2StGyWgfbXk,,co-op,16,2,iiSkiLLz_v1,Dogu189,,,0,
bo3,nacht-der-untoten,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=76x5gRgi2Tk,,co-op,16,2,Dogu189,A101Pro1,,,0,
bo3,kino-der-toten,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=ORDWCSM2XTc,,co-op,16,4,A101Pro1,Dogu189,T80AY,i_l0v3_w1lly976,0,
bo3,ascension,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=HacEL7YirKc,,co-op,16,4,Dogu189,A101Pro1,krooked_Rain,ZTECH678,0,
bo3,shi-no-numa,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=041zCO_T5wA,,solo,16,1,Dogu189,,,,0,
bo3,ascension,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=zaYXMrLsFDU,,co-op,36,2,A101Pro1,Dogu189,,,0,
bo3,kino-der-toten,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=Cs-R9JVExZs,,co-op,17,3,A101Pro1,T80AY,Dogu189,,0,
bo3,kino-der-toten,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=ORDWCSM2XTc,,co-op,16,4,A101Pro1,T80AY,Dogu189,i_l0v3_w1lly976,0,
bo3,the-giant,30-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=ht9bdkFRpAQ,,co-op,37:53,2,T80AY,Dogu189,,,0,
bo3,the-giant,30-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=MCnwDzyOCwc,,co-op,39:30,2,A101Pro1,Dogu189,,,0,
bo3,nacht-der-untoten,30-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=hLfTkseX2g0,,co-op,51:01,2,Dogu189,T80AY,,,0,
bo3,nacht-der-untoten,30-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=UJ-ybi_VpDc,,co-op,1:00:45,2,A101Pro1,Dogu189,,,0,
bo3,nacht-der-untoten,30-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=ciPytlQ_gdY,,co-op,1:09:45,3,A101Pro1,T80AY,Dogu189,,0,
bo3,nacht-der-untoten,30-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=mKwycmHch-s,,co-op,1:15:26,3,A101Pro1,i_l0v3_w1lly976,Dogu189,,0,
bo3,nacht-der-untoten,30-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=Q3LV7cjUM7A,,co-op,1:29:14,4,Dogu189,A101Pro1,iiSkiLLz_v1,P1mp_Ju1ce_95,0,
