game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,shadows-of-evil,high-round,mega-gobblegum,xbox,http://twitch.tv/videos/159542850,,solo,151,1,DoomedNickel225,,,,0,
bo3,der-eisendrache,high-round,classic-gobblegum-only,xbox,http://twitch.tv/videos/225195000,,solo,145,1,DoomedNickel225,,,,0,
bo4,blood-of-the-dead,high-round,classic-elixirs-only,xbox,https://youtube.com/watch?v=ZRE4akmnO5Y,,co-op,81,3,FilioMx,DoomedNickel225,Leogasa,,0,
bo3,revelations,high-round,no-gobblegum,xbox,http://twitch.tv/videos/1009530995,,co-op,80,2,DoomedNickel225,TatoMauBT 998,,,0,
bo3,shadows-of-evil,high-round,classic-gobblegum-only,xbox,http://twitch.tv/videos/256400340,,co-op,80,2,SixSeal,DoomedNickel225,,,0,
bo3,gorod-krovi,high-round,classic-gobblegum-only,xbox,http://twitch.tv/videos/248054287,,co-op,54,2,SixSeal,DoomedNickel225,,,0,
bo3,der-eisendrache,flawless,classic-gobblegum-only,xbox,http://twitch.tv/videos/246538903,,solo,155,1,DoomedNickel225,,,,0,
bo3,dead-ops-arcade-ii,doa,flawless,xbox,http://twitch.tv/videos/1001319417,,co-op,16,3,TatoMauBT 998,Leogasa,DoomedNickel225,,0,
bo3,gorod-krovi,first-room,mega-gobblegum,xbox,http://twitch.tv/videos/129001492,,co-op,20,2,lldevilyorkll,DoomedNickel225,,,0,
bo4,blood-of-the-dead,no-power,classic-elixirs-only,xbox,http://twitch.tv/videos/998939247,,co-op,34,3,TatoMauBT 998,DoomedNickel225,Leogasa,,0,
bo4,ix,50-speedrun,classic-elixirs-only-hardcore,xbox,http://twitch.tv/videos/2212038975,,solo,1:03:32,1,DoomedNickel225,,,,0,
bo4,blood-of-the-dead,50-speedrun,all-elixirs-talismans-hardcore,xbox,http://twitch.tv/videos/2208051181,,solo,1:05:54,1,DoomedNickel225,,,,0,
bo4,blood-of-the-dead,50-speedrun,all-elixirs-talismans-hardcore,xbox,http://twitch.tv/videos/2212034577,,co-op,1:15:34,2,DoomedNickel225,Chuleta8976,,,0,
bo4,blood-of-the-dead,100-speedrun,classic-elixirs-only,xbox,http://twitch.tv/videos/2182893298,,solo,2:54:12,1,DoomedNickel225,,,,0,
