game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,tag-der-toten,high-round,all-elixirs-talismans,playstation,http://twitch.tv/videos/1126300069,,co-op,212,2,i misplaced my tiddies,Doug Choady,,,0,
iw,shaolin-shuffle,high-round,fate-cards-only,playstation,http://twitch.tv/videos/859537430,,co-op,53,4,Doug Choady,TripOverThis420,Hooligan166,myRazmo,0,
bo4,blood-of-the-dead-hardcore,high-round-hc,all-elixirs-talismans,playstation,http://twitch.tv/videos/867699413,,co-op,124,2,upbeat-poster,Doug Choady,,,0,
bo4,ancient-evil-hardcore,high-round-hc,all-elixirs-talismans,playstation,https://youtube.com/watch?v=9cZB60CZn80,,co-op,101,3,Dark_Wolfree,Bird Shooter,Doug Choady,,0,
bo4,classified-hardcore,high-round-hc,classic-elixirs-only,playstation,http://twitch.tv/videos/888034593,,co-op,59,3,Doug Choady,IMZ123,Bird Shooter,,0,
bo3,shadows-of-evil,flawless,classic-gobblegum-only,playstation,http://twitch.tv/videos/895104392,,co-op,48,4,Hiroshiru,Spykes27,Doug Choady,Bird Shooter,0,
iw,rave-in-the-redwoods,flawless,fate-fortune-cards,playstation,http://twitch.tv/videos/855034352,,co-op,44,3,TripOverThis420,Hooligan166,Doug Choady,,0,
bo4,tag-der-toten-hardcore,flawless-hc,classic-elixirs-only,playstation,http://twitch.tv/videos/871399907,,co-op,81,4,LewDog Zombies,IMZ123,Bird Shooter,Doug Choady,0,
bo4,classified-hardcore,flawless-hc,classic-elixirs-only,playstation,http://twitch.tv/videos/888034593,,co-op,59,3,Doug Choady,IMZ123,Bird Shooter,,0,
bo4,classified-hardcore,flawless-hc,all-elixirs-talismans,playstation,http://twitch.tv/videos/878683772,,co-op,52,4,IMZ123,LewDog Zombies,Bird Shooter,Doug Choady,0,
bo4,tag-der-toten,first-room,classic-elixirs-only-hardcore,playstation,http://twitch.tv/videos/863581836,,co-op,41,4,upbeat-poster,IMZ123,Daybreak,Doug Choady,0,
bo4,ancient-evil,realistic,all-elixirs-talismans,playstation,https://youtube.com/watch?v=jF6brXflspE,,co-op,51,3,Dark_Wolfree,Jadebushell27,Doug Choady,,0,
bo4,dead-of-the-night,realistic,all-elixirs-talismans,playstation,https://youtube.com/watch?v=4GZsbsIUohc,,co-op,41,4,Doug Choady,IMZ123,LewDog Zombies,Bird Shooter,0,
