game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
iw,attack-of-the-radioactive-thing,ee-speedrun,directors-cut-fate-fortune-cards,steam,https://youtube.com/watch?v=CYr6_uFM3iA,,co-op,9:34,4,DaCEOofMilk,BigT2109,Dr Jon23,pumpzy,0,
iw,beast-from-beyond,ee-speedrun,directors-cut-fate-fortune-cards,steam,https://youtube.com/watch?v=OET-JSuDBMY,,co-op,9:54,4,DaCEOofMilk,BigT2109,Dr Jon23,pumpzy,0,
iw,spaceland,ee-speedrun,directors-cut-fate-fortune-cards,xbox,https://youtube.com/watch?v=3sbZL8dwa9o,,co-op,10:36,4,NATEDOG0026,Pinkhalfmoon,Dr Jon23,IgotVisionz,0,
iw,spaceland,ee-speedrun,directors-cut-fate-fortune-cards,xbox,https://youtube.com/watch?v=o7VGzj9P7FY,,co-op,10:44,3,Pinkhalfmoon,Dr Jon23,NATEDOG0026,,0,
iw,attack-of-the-radioactive-thing,ee-speedrun,directors-cut-fate-fortune-cards,xbox,https://youtube.com/watch?v=TMzaP2sCGaw,,co-op,11:22,2,Dr Jon23,Pinkhalfmoon,,,0,
iw,spaceland,ee-speedrun,directors-cut-fate-fortune-cards,xbox,https://youtube.com/watch?v=N09OusccD88,,co-op,12:12,3,Wistful,Red Death,Dr Jon23,,0,
iw,beast-from-beyond,ee-speedrun,directors-cut-fate-cards-only,xbox,https://youtube.com/watch?v=vIxIYQsC5o0,,solo,12:25,1,Dr Jon23,,,,0,
iw,attack-of-the-radioactive-thing,ee-speedrun,directors-cut-fate-fortune-cards,steam,https://youtube.com/watch?v=xfiv4ubjvk8,,solo,13:20,1,Dr Jon23,,,,0,
iw,attack-of-the-radioactive-thing,ee-speedrun,directors-cut-fate-cards-only,steam,https://youtube.com/watch?v=GlBgrA7IB2Q,,solo,14:14,1,Dr Jon23,,,,0,
iw,spaceland,ee-speedrun,directors-cut-fate-fortune-cards,xbox,https://youtube.com/watch?v=SWN7O8Z6wfA,,solo,14:24,1,Dr Jon23,,,,0,
iw,shaolin-shuffle,ee-speedrun,directors-cut-fate-fortune-cards,steam,https://youtube.com/watch?v=TIu4Y85rXSY,,co-op,19:56,4,DaCEOofMilk,BigT2109,pumpzy,Dr Jon23,0,
iw,rave-in-the-redwoods,ee-speedrun,directors-cut-fate-fortune-cards,steam,https://youtube.com/watch?v=s6LGw1idXYw,,co-op,19:58,4,BigT2109,pumpzy,DaCEOofMilk,Dr Jon23,0,
iw,rave-in-the-redwoods,ee-speedrun,directors-cut-fate-fortune-cards,xbox,https://youtube.com/watch?v=OnEp5ejX7dU,,co-op,20:38,4,Pinkhalfmoon,NATEDOG0026,IgotVisionz,Dr Jon23,0,
iw,rave-in-the-redwoods,ee-speedrun,fate-fortune-cards,xbox,https://youtube.com/watch?v=wZa2bSfT1S0,,co-op,22:37,3,NATEDOG0026,Pinkhalfmoon,Dr Jon23,,0,
bo6,the-tomb,build-speedrun,no-gobblegums-no-rage-inducer,steam,https://youtube.com/watch?v=XfFpHDG6unY,,solo,28:38,1,Dr Jon23,,,,0,
bo6,the-tomb,build-speedrun,no-gobblegums-no-rage-inducer,steam,https://youtube.com/watch?v=zTn19Pkkcpc,,co-op,28:41,2,Dr Jon23,BigT2109,,,0,
iw,spaceland,gs-speedrun,directors-cut-fate-fortune-cards,xbox,https://youtube.com/watch?v=dJzECaaOqg8,,co-op,19:18,3,NATEDOG0026,Pinkhalfmoon,Dr Jon23,,0,
iw,aliens,iw-boss-speedrun,,xbox,https://youtube.com/watch?v=st4KDUuxZn8,,co-op,0:47,3,NATEDOG0026,Pinkhalfmoon,Dr Jon23,,0,
community,citadelle-des-morts,com-all-wws-speedrun,,steam,https://youtube.com/watch?v=C46HEv_W_6k,,co-op,8:24,3,ZLJ zozo,Dr Jon23,DaCEOofMilk,,0,
