game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
iw,spaceland,flawless,fate-fortune-cards,steam,https://youtube.com/watch?v=HK1W0iwkNwg,,solo,34,1,Duggy_Fresh,,,,0,
iw,beast-from-beyond,flawless,fate-cards-only,steam,https://youtube.com/watch?v=7ublt5BMtI4,,solo,25,1,Duggy_Fresh,,,,0,
iw,spaceland,flawless,fate-cards-only,playstation,https://youtube.com/watch?v=A76WOXcnrRU,,co-op,23,2,Duggy_Fresh,AgentDK47,,,0,
iw,spaceland,first-room,fate-fortune-cards,playstation,https://youtube.com/watch?v=MHkaHEkBjes,,solo,25,1,Duggy_Fresh,,,,0,
iw,attack-of-the-radioactive-thing,first-room,fate-cards-only,playstation,https://youtube.com/watch?v=Luf_PppnMjo,,solo,20,1,Duggy_Fresh,,,,0,
iw,spaceland,first-room,fate-cards-only,steam,https://youtube.com/watch?v=eBtx1l5R6Wc,,solo,16,1,Duggy_Fresh,,,,0,
iw,rave-in-the-redwoods,first-room,fate-cards-only,steam,https://youtube.com/watch?v=HO-HbKTgFM8,,solo,15,1,Duggy_Fresh,,,,0,
iw,spaceland,first-room,fate-cards-only,playstation,https://youtube.com/watch?v=f-mXfFy1cwo,,co-op,15,2,Duggy_Fresh,AgentDK47,,,0,
iw,spaceland,no-power,fate-cards-only,steam,https://youtube.com/watch?v=GjgG4VKQoiU,,solo,24,1,Duggy_Fresh,,,,0,
iw,attack-of-the-radioactive-thing,no-power,fate-cards-only,playstation,https://youtube.com/watch?v=D3pK79B4zyg,,solo,24,1,Duggy_Fresh,,,,0,
iw,spaceland,iw-no-perks,fate-fortune-cards,steam,https://youtube.com/watch?v=h57azC54ikc,,solo,23,1,Duggy_Fresh,,,,0,
iw,shaolin-shuffle,iw-no-perks,fate-cards-only,steam,https://youtube.com/watch?v=SGsUJBmmB9w,,solo,12,1,Duggy_Fresh,,,,0,
iw,error,no-perks,none,steam,https://youtube.com/watch?v=LZBEQ5Nb6es,,solo,32,1,Duggy_Fresh,,,,0,
iw,shaolin-shuffle,no-tuff-nuff,fate-cards-only,steam,https://youtube.com/watch?v=BW70pf1oCDY,,solo,36,1,Duggy_Fresh,,,,0,
iw,rave-in-the-redwoods,no-tuff-nuff,fate-cards-only,steam,https://youtube.com/watch?v=gnXoagopJQs,,solo,30,1,Duggy_Fresh,,,,0,
iw,rave-in-the-redwoods,30-speedrun,fate-fortune-cards,steam,https://youtube.com/watch?v=5V0p9DZErwI,,solo,40:34,1,Duggy_Fresh,,,,0,
iw,spaceland,ee-speedrun,directors-cut-fate-fortune-cards,steam,https://youtube.com/watch?v=3ErrZZ5iltI,,solo,20:36,1,Duggy_Fresh,,,,0,
iw,rave-in-the-redwoods,ee-speedrun,directors-cut-fate-fortune-cards,steam,https://youtube.com/watch?v=dk7cpYE1MBQ,,solo,25:52,1,Duggy_Fresh,,,,0,
iw,spaceland,ee-speedrun,fate-fortune-cards,steam,https://youtube.com/watch?v=UOKIwhsZRXA,,solo,45:20,1,Duggy_Fresh,,,,0,
iw,aliens,iw-boss-speedrun,,steam,https://youtube.com/watch?v=KDCQViQYnRY,,solo,0:34,1,Duggy_Fresh,,,,0,
iw,the-rat-king,iw-boss-speedrun,,steam,https://youtube.com/watch?v=Fzwr-KA7jzU,,solo,3:40,1,Duggy_Fresh,,,,0,
iw,the-rat-king,iw-boss-speedrun,,steam,https://youtube.com/watch?v=JUJiUlbU-SA,,co-op,4:26,2,Duggy_Fresh,Melatron.,,,0,
iw,crog-zilla,iw-boss-speedrun,,steam,https://youtube.com/watch?v=5e8RO3BU2jM,,solo,5:14,1,Duggy_Fresh,,,,0,
iw,super-slasher,iw-boss-speedrun,,steam,https://youtube.com/watch?v=4X8TZ6ungu8,,solo,9:21,1,Duggy_Fresh,,,,0,
