game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,kino-der-toten,high-round,no-gobblegum,steam,http://twitch.tv/videos/1957137530,,co-op,40,4,peromar64,Enz0Z,Folt57,hackbursted21,0,
bo3,kino-der-toten,high-round,no-gobblegum,steam,http://twitch.tv/videos/1873052261,,co-op,36,4,Enz0Z,peromar64,Folt57,ZIVAE,0,
bo3,ascension,high-round,no-gobblegum,steam,http://twitch.tv/videos/2184354557,,co-op,33,3,peromar64,Enz0Z,Folt57,,0,
bo3,ascension,high-round,no-gobblegum,steam,http://twitch.tv/videos/1854170014,,co-op,31,4,peromar64,Folt57,ZIVAE,Enz0Z,0,
bo3,ascension,high-round,no-gobblegum,steam,http://twitch.tv/videos/1853093598,,co-op,29,3,peromar64,Enz0Z,ZIVAE,,0,
bo3,shi-no-numa,high-round,no-gobblegum,steam,http://twitch.tv/videos/1892866454,,co-op,28,3,Enz0Z,peromar64,Folt57,,0,
bo3,shangri-la,high-round,no-gobblegum,steam,http://twitch.tv/videos/1860134576,,co-op,22,4,Enz0Z,Folt57,peromar64,ZIVAE,0,
bo3,moon,high-round,no-gobblegum,steam,http://twitch.tv/videos/1831180920,,co-op,19,4,peromar64,hackbursted21,Folt57,Enz0Z,0,
bo3,shangri-la,first-room,no-gobblegum,steam,https://youtube.com/watch?v=ZXZbLyv7hq0,,co-op,13,3,peromar64,Enz0Z,Folt57,,0,
bo3,nacht-der-untoten,first-room,no-gobblegum,steam,http://twitch.tv/videos/1831201820,,co-op,11,3,peromar64,Folt57,Enz0Z,,0,
