game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,dead-of-the-night,high-round,classic-elixirs-only,xbox,http://twitch.tv/videos/2283566913,,solo,59,1,ErickVilanova,,,,0,
bo2,buried,high-round,,steam,http://twitch.tv/videos/2269658473,,co-op,48,2,ErickVilanova,Taniaeaf,,,0,
bo2,buried,high-round,,steam,http://twitch.tv/videos/2270004979,,solo,44,1,ErickVilanova,,,,0,
bo2,buried,high-round,,steam,http://twitch.tv/videos/2280347373,,co-op,42,3,ErickVilanova,Taniaeaf,LuizGGzin,,0,
bo2,farm,high-round,,steam,http://twitch.tv/videos/2280779763,,solo,26,1,ErickVilanova,,,,0,
bo2,tranzit,high-round,,steam,http://twitch.tv/videos/2265250836,,solo,25,1,ErickVilanova,,,,0,
bo2,bus-depot,high-round,,steam,http://twitch.tv/videos/2281436980,,co-op,18,2,ErickVilanova,chavephilips,,,0,
bo2,bus-depot,high-round,,steam,http://twitch.tv/videos/2280776157,,solo,12,1,ErickVilanova,,,,0,
bo2,farm,flawless,,steam,http://twitch.tv/videos/2280785025,,solo,25,1,ErickVilanova,,,,0,
bo2,bus-depot,flawless,,steam,http://twitch.tv/videos/2281439523,,co-op,10,2,ErickVilanova,chavephilips,,,0,
