game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
wwii,the-frozen-dawn,ee-speedrun,no-consumables,playstation,https://youtube.com/watch?v=pQaMFrITsvY,,co-op,18:35,2,Arceus1426,Eternal_Blaze,,,0,
vanguard,terra-maledicta,ee-speedrun,,steam,https://youtube.com/watch?v=Hbl5bU1mSjg,,co-op,20:46,2,Escapeshot,Eternal_Blaze,,,0,
bocw,outbreak-operation-excision,ee-speedrun,,playstation,https://youtube.com/watch?v=A-ip6oytjP8,,solo,24:18,1,Eternal_Blaze,,,,0,
vanguard,terra-maledicta,ee-speedrun,,playstation,https://youtube.com/watch?v=MYFyDdxhDrs,,solo,24:25,1,Eternal_Blaze,,,,0,
wwii,the-frozen-dawn,ee-speedrun,with-consumables,playstation,https://youtube.com/watch?v=_WaXqUwYAGs,,co-op,26:36,2,Arceus1426,Eternal_Blaze,,,0,
bocw,firebase-z,ee-speedrun,normal,playstation,https://youtube.com/watch?v=1qdOwKBahG8,,solo,39:42,1,Eternal_Blaze,,,,0,
bocw,mauer-der-toten,ee-speedrun,normal,playstation,https://youtube.com/watch?v=KKgLMHMWgBc,,solo,44:31,1,Eternal_Blaze,,,,0,
bocw,forsaken,build-speedrun,,playstation,https://youtube.com/watch?v=N8ZVv0ZlKMs,,solo,22:19,1,Eternal_Blaze,,,,0,
bocw,firebase-z,build-speedrun,,playstation,https://youtube.com/watch?v=1qdOwKBahG8,,solo,37:56,1,Eternal_Blaze,,,,0,
iw,super-slasher,iw-boss-speedrun,,playstation,https://youtube.com/watch?v=C8ACevJsrzM,,solo,9:55,1,Eternal_Blaze,,,,0,
