game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
iw,attack-of-the-radioactive-thing,high-round,fate-cards-only,playstation,https://youtube.com/watch?v=g3vg-sIlY8k,,co-op,36,3,Exeartio,OvOBird,NoelIsGamingYT,,0,
iw,attack-of-the-radioactive-thing,high-round,fate-cards-only,playstation,https://youtube.com/watch?v=EqXvTSkB5QA,,co-op,34,2,Exeartio,OvOBird,,,0,
wwii,the-shadowed-throne,high-round,,playstation,https://youtube.com/watch?v=7hnYZdSSRgA,,co-op,22,2,Exeartio,OvOBird,,,0,
wwii,bodega-cervantes,flawless,,playstation,https://youtube.com/watch?v=i3eTzR9mGwI,,solo,23,1,Exeartio,,,,0,
wwii,altar-of-blood,flawless,,playstation,https://youtube.com/watch?v=Bi4SZAo-VtE,,solo,17,1,Exeartio,,,,0,
wwii,the-frozen-dawn,first-room,with-consumables,playstation,https://youtube.com/watch?v=etfq0Lh0hzQ,,solo,18,1,Exeartio,,,,0,
wwii,the-frozen-dawn,first-room,no-consumables,playstation,https://youtube.com/watch?v=etfq0Lh0hzQ,,solo,18,1,Exeartio,,,,0,
iw,attack-of-the-radioactive-thing,no-power,fate-cards-only,playstation,https://youtube.com/watch?v=as0vKdNpEwA,,co-op,23,3,Exeartio,OvOBird,NoelIsGamingYT,,0,
iw,shaolin-shuffle,iw-no-perks,fate-cards-only,playstation,https://youtube.com/watch?v=s-4YLmg6Z7k,,solo,13,1,Exeartio,,,,0,
wwii,bodega-cervantes,wwii-no-armor,no-consumables,playstation,https://youtube.com/watch?v=CkwOyn1TGXU,,solo,35,1,Exeartio,,,,0,
wwii,the-frozen-dawn,wwii-no-armor,with-consumables,playstation,https://youtube.com/watch?v=UGN9xVebEvQ,,solo,23,1,Exeartio,,,,0,
wwii,the-darkest-shore,wwii-no-armor,no-consumables,playstation,https://youtube.com/watch?v=jOpR8q8WA00,,solo,22,1,Exeartio,,,,0,
wwii,altar-of-blood,wwii-no-armor,with-consumables,playstation,https://youtube.com/watch?v=Bi4SZAo-VtE,,solo,17,1,Exeartio,,,,0,
wwii,prologue,wwii-no-armor,,playstation,https://youtube.com/watch?v=XNz2_mTPTDs,,solo,11,1,Exeartio,,,,0,
wwii,the-frozen-dawn,no-blitz,no-consumables,playstation,https://youtube.com/watch?v=UGN9xVebEvQ,,solo,23,1,Exeartio,,,,0,
