game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,nacht-der-untoten,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=U_zhQsHMaQY,,co-op,32,4,Chokdee_33,FR-Puma,phoenix55000,thespartiat,0,
bo3,shi-no-numa,first-room,mega-gobblegum,playstation,https://youtube.com/watch?v=hh0iUATabuc,,co-op,61,3,FR-Puma,phoenix55000,WiizTriik,,0,
bo3,kino-der-toten,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=jeg1oFq4kdU,,co-op,39,3,Chokdee_33,FR-Puma,phoenix55000,,0,
bo3,shi-no-numa,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=kEF-eXX1XhY,,co-op,36,2,Chokdee_33,FR-Puma,,,0,
bo2,nuketown,first-room,,playstation,https://youtube.com/watch?v=LfIWzqWBis0,,co-op,33,3,FR-Puma,Forserf_2PZ,zP_HyPnOz,,0,
bo3,shi-no-numa,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=a9TIS55eDqU,,co-op,32,3,Chokdee_33,FR-Puma,WiizTriik,,0,
bo2,origins,first-room,,playstation,https://youtube.com/watch?v=6Op1IUXF0VY,,co-op,31,4,Scatfire,Forserf_2PZ,FR-Puma,ZaroBoxRedemarre,0,
bo3,nacht-der-untoten,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=N22eVCoDx80,,co-op,31,2,Chokdee_33,FR-Puma,,,0,
bo3,nacht-der-untoten,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=GwvVGvMl1p8,,co-op,25,3,FR-Puma,Chokdee_33,phoenix55000,,0,
bo3,kino-der-toten,no-power,no-gobblegum,playstation,https://youtube.com/watch?v=4VtoIy-_goo,,co-op,54,2,Chokdee_33,FR-Puma,,,0,
bo3,the-giant,no-power,no-gobblegum,playstation,https://youtube.com/watch?v=z_LDq1Eaz4M,,co-op,45,2,Chokdee_33,FR-Puma,,,0,
bo4,blood-of-the-dead,realistic,all-elixirs-talismans,playstation,https://youtube.com/watch?v=aQhYN6oDCnE,,co-op,35,2,Forserf_2PZ,FR-Puma,,,0,
bo4,classified,realistic,all-elixirs-talismans,playstation,https://youtube.com/watch?v=vdbFEXahH18,,co-op,30,2,Forserf_2PZ,FR-Puma,,,0,
