game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,dead-ops-arcade-ii,doa,high-round,playstation,http://twitch.tv/videos/1743857429,,co-op,256,2,FcA_Zx1n,ZOMBIEBREAKER-45,,,0,
bo3,dead-ops-arcade-ii,doa,high-round,playstation,http://twitch.tv/videos/1686900555,,solo,227,1,FcA_Zx1n,,,,0,
bo3,dead-ops-arcade-ii,doa,flawless,playstation,http://twitch.tv/videos/1522006556,,solo,64,1,FcA_Zx1n,,,,0,
bo3,ascension,first-room,no-gobblegum,playstation,http://twitch.tv/videos/1521654210,,co-op,30,2,FcA_Zx1n,ZOMBIEBREAKER-45,,,0,
bo,nacht-der-untoten,30-speedrun,,steam,https://youtube.com/watch?v=jkZv2InWd-4,,solo,46:47,1,FcA_Zx1n,,,,0,
bo2,mob-of-the-dead,50-speedrun,,steam,http://twitch.tv/videos/1785479346,,solo,1:15:14,1,FcA_Zx1n,,,,0,
bo,nacht-der-untoten,50-speedrun,,steam,https://youtube.com/watch?v=aHdPMf-ECqc,,solo,2:53:40,1,FcA_Zx1n,,,,0,
mw2,the-pit,speedrun-specops,,steam,https://youtube.com/watch?v=eouBFo844dg,,solo,0:20.00,1,FcA_Zx1n,,,,0,
mw2,evasion,speedrun-specops,hardened,steam,https://youtube.com/watch?v=TtTBWV9lpKM,,solo,0:37.80,1,FcA_Zx1n,,,,0,
mw2,snatch-grab,speedrun-specops,hardened,steam,https://youtube.com/watch?v=9D4xM85WUt0,,solo,0:57.05,1,FcA_Zx1n,,,,0,
mw2,bomb-squad,speedrun-specops,regular,steam,https://youtube.com/watch?v=ArH2g2e4JCs,,solo,0:59.65,1,FcA_Zx1n,,,,0,
mw2,bomb-squad,speedrun-specops,hardened,steam,https://youtube.com/watch?v=6u2YD0lDqM8,,solo,1:09.15,1,FcA_Zx1n,,,,0,
