game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
uem,nacht-der-untoten,high-round,,steam,http://twitch.tv/videos/2410445270,,solo,61,1,Fennious,,,,0,
bo3,nacht-der-untoten,high-round,no-gobblegum,steam,http://twitch.tv/videos/1166354522,,co-op,42,3,Fennious,AcTion,WildberryLavender,,0,
uem,the-giant,high-round,,steam,http://twitch.tv/videos/2410875381,,solo,38,1,Fennious,,,,0,
uem,nacht-der-untoten,first-room,,steam,http://twitch.tv/videos/2410445270,,solo,61,1,Fennious,,,,0,
uem,the-giant,first-room,,steam,http://twitch.tv/videos/2410875381,,solo,38,1,Fennious,,,,0,
uem,shadows-of-evil,first-room,,steam,http://twitch.tv/videos/2410761515,,solo,19,1,Fennious,,,,0,
bo2,town,no-perks,,steam,http://twitch.tv/videos/1671953484,,solo,15,1,Fennious,,,,0,
uem,the-giant,30-speedrun,,steam,http://twitch.tv/videos/2410874070,,solo,31:47,1,Fennious,,,,0,
community,der-riese-waw,com-pap-speedruns,none,steam,http://twitch.tv/videos/1671341700,,solo,9:16,1,Fennious,,,,0,
community,nacht-der-untoten,com-thompson,world-at-war,steam,http://twitch.tv/videos/1669093243,,solo,19,1,Fennious,,,,0,
community,der-riese,com-thompson,world-at-war,steam,http://twitch.tv/videos/1669197155,,solo,16,1,Fennious,,,,0,
