game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,classified-hardcore,flawless-hc,all-elixirs-talismans,playstation,https://youtube.com/watch?v=_uthYaVZPMI,,solo,64,1,Flyingcobra_808,,,,0,
bo4,classified,first-room,all-elixirs-talismans,playstation,https://youtube.com/watch?v=tDm5DZKWjHY,,co-op,51,3,Flyingcobra_808,GlItch_MrMx9,jonnyboyye,,0,
bo4,classified,first-room,all-elixirs-talismans,playstation,https://youtube.com/watch?v=dIcubpotWac,,solo,33,1,Flyingcobra_808,,,,0,
bo4,tag-der-toten,no-power,all-elixirs-talismans,playstation,https://youtube.com/watch?v=68fiKDRf63c,,co-op,50,4,Flyingcobra_808,GlItch_MrMx9,volunteerfan_32,sk8z4days420,0,
bo4,classified,no-perks,no-elixirs,playstation,https://youtube.com/watch?v=0oDKxUHlcN0,,solo,63,1,Flyingcobra_808,,,,0,
vanguard,shi-no-numa-reborn,30-speedrun,,steam,https://youtube.com/watch?v=-rV6Hm2ER-4,,solo,19:50,1,Flyingcobra_808,,,,0,
bo4,tag-der-toten,30-speedrun,all-elixirs-talismans,playstation,https://youtube.com/watch?v=lRetpwQMjtQ,,co-op,23:12,2,Flyingcobra_808,GlItch_MrMx9,,,0,
bo4,tag-der-toten,30-speedrun,all-elixirs-talismans,playstation,https://youtube.com/watch?v=XKoAs50ubEM,,co-op,27:44,3,Flyingcobra_808,jonnyboyye,GlItch_MrMx9,,0,
bo4,ix,30-speedrun,all-elixirs-talismans,playstation,https://youtube.com/watch?v=V2R9SfXNa9g,,solo,29:20,1,Flyingcobra_808,,,,0,
bo4,classified,30-speedrun,all-elixirs-talismans,playstation,https://youtube.com/watch?v=WiML_kYZlu4,,solo,30:31,1,Flyingcobra_808,,,,0,
bo4,classified,30-speedrun,classic-elixirs-only,playstation,https://youtube.com/watch?v=7dfKmmFrQ64,,solo,30:39,1,Flyingcobra_808,,,,0,
bo4,ix,30-speedrun,all-elixirs-talismans,playstation,https://youtube.com/watch?v=r26ve2aHKnM,,co-op,33:37,3,Flyingcobra_808,GlItch_MrMx9,jonnyboyye,,0,
bo4,classified,50-speedrun,all-elixirs-talismans,playstation,https://youtube.com/watch?v=2JKx-Q1Hb04,,solo,57:11,1,Flyingcobra_808,,,,0,
bo4,ix,ee-speedrun,all-elixirs-talismans,playstation,https://youtube.com/watch?v=AdHoUq4KgzA,,co-op,40:45,2,jonnyboyye,Flyingcobra_808,,,0,
bo4,an-ice-day-in-hell,gauntlet,all-elixirs-talismans,playstation,https://youtube.com/watch?v=6QrDyzqKw00,,co-op,1:49:39,4,Flyingcobra_808,jonnyboyye,GlItch_MrMx9,volunteerfan_32,0,
bo4,an-ice-day-in-hell,gauntlet,all-elixirs-talismans,playstation,https://youtube.com/watch?v=673TPYS7uNU,,co-op,1:37:00,3,Flyingcobra_808,MistuhWhite,jonnyboyye,,0,
bo4,an-ice-day-in-hell,gauntlet,all-elixirs-talismans,playstation,https://youtube.com/watch?v=3X1SaIA5LoE,,co-op,1:08:36,2,jonnyboyye,Flyingcobra_808,,,0,
bo4,death-con-five,gauntlet,all-elixirs-talismans,playstation,https://youtube.com/watch?v=DMi-0HH08D0,,solo,48:09,1,Flyingcobra_808,,,,0,
