game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo,moon,high-round,,steam,http://twitch.tv/videos/2215107365,,solo,252,1,Furret,,,,0,
bo,ascension,high-round,,steam,https://youtube.com/watch?v=CkpemM1Ze1M,,solo,244,1,Furret,,,,0,
bo,shangri-la,high-round,,steam,https://youtube.com/watch?v=0Gi5l0x-Cas,,solo,206,1,Furret,,,,0,
bo,verruckt,high-round,,steam,https://youtube.com/watch?v=kNzwjh3wZeo,,solo,206,1,Furret,,,,0,
bo,der-riese,high-round,,steam,http://twitch.tv/videos/1534929412,,co-op,176,2,Slewya,Furret,,,0,
bo,ascension,high-round,,steam,https://youtube.com/watch?v=YaB0_MHLTdQ,,co-op,174,2,Furret,Kaapinho,,,0,
bo,kino-der-toten,high-round,,steam,http://twitch.tv/videos/792891991,,co-op,172,2,Slewya,Furret,,,0,
bo,moon,high-round,,steam,http://twitch.tv/videos/169503345,,co-op,151,2,kebab6969,Furret,,,0,
bo,nacht-der-untoten,high-round,,steam,https://youtube.com/watch?v=qsi07lAL5aU,,solo,148,1,Furret,,,,0,
bo,call-of-the-dead,high-round,,steam,https://youtube.com/watch?v=a24zEpdXDuI,,co-op,116,2,kebab6969,Furret,,,0,
bo,ascension,flawless,,steam,http://twitch.tv/videos/592231216,,co-op,120,2,Furret,Kaapinho,,,0,
bo,shangri-la,no-power,,steam,http://twitch.tv/videos/610545911,,co-op,91,2,Furret,FuRiOus,,,0,
bo,call-of-the-dead,no-power,,steam,http://twitch.tv/videos/13742564,,co-op,55,2,Furret,NuKeR,,,0,
bo,five,no-power,,steam,https://youtube.com/watch?v=JvXhABZmTXA,,co-op,47,2,Kaapinho,Furret,,,0,
bo,moon,30-speedrun,,steam,http://twitch.tv/videos/608753670,,solo,32:53,1,Furret,,,,0,
bo,moon,50-speedrun,,steam,http://twitch.tv/videos/1998509905,,solo,1:09:49,1,Furret,,,,0,
bo,shangri-la,50-speedrun,,steam,https://youtube.com/watch?v=UktKeTPdkxM,,solo,1:10:45,1,Furret,,,,0,
bo,shangri-la,50-speedrun,,steam,http://twitch.tv/videos/161727437,,co-op,2:06:39,2,llPlayFanll,Furret,,,0,
bo,nacht-der-untoten,50-speedrun,,steam,https://youtube.com/watch?v=qsi07lAL5aU,,solo,2:30:12,1,Furret,,,,0,
bo,moon,70-speedrun,,steam,http://twitch.tv/videos/1998509905,,solo,2:18:06,1,Furret,,,,0,
bo,shangri-la,70-speedrun,,steam,https://youtube.com/watch?v=yV5m_UVDyd8,,solo,2:30:42,1,Furret,,,,0,
bo,der-riese,70-speedrun,,steam,https://youtube.com/watch?v=Pb0WHzJIzDU,,co-op,3:45:37,2,Slewya,Furret,,,0,
bo,ascension,70-speedrun,,steam,http://twitch.tv/videos/591707755,,co-op,4:23:06,2,Kaapinho,Furret,,,0,
bo,moon,70-speedrun,,steam,https://youtube.com/watch?v=8KLgRJdtSBU,,co-op,5:14:30,2,Furret,kebab6969,,,0,
bo,nacht-der-untoten,70-speedrun,,steam,http://twitch.tv/videos/963216175,,solo,8:06:44,1,Furret,,,,0,
bo,moon,100-speedrun,,steam,http://twitch.tv/videos/1998507863,,solo,5:40:01,1,Furret,,,,0,
bo,ascension,100-speedrun,,steam,https://youtube.com/watch?v=m2VRmkqC1zs,,solo,5:46:22,1,Furret,,,,0,
bo,shangri-la,100-speedrun,,steam,https://youtube.com/watch?v=pzBUNNdBWIo,,solo,6:48:19,1,Furret,,,,0,
bo,der-riese,100-speedrun,,steam,http://twitch.tv/videos/1534910062,,co-op,11:45:00,2,Slewya,Furret,,,0,
bo,ascension,100-speedrun,,steam,http://twitch.tv/videos/591707755,,co-op,12:04:24,2,Furret,Kaapinho,,,0,
bo,moon,100-speedrun,,steam,https://youtube.com/watch?v=8KLgRJdtSBU,,co-op,14:48:15,2,Furret,kebab6969,,,0,
bo,moon,200-speedrun,,steam,https://youtube.com/watch?v=FX8EQ_axcTI,,solo,39:54:52,1,Furret,,,,0,
bo,verruckt,200-speedrun,,steam,http://twitch.tv/videos/274916491,,solo,76:39:36,1,Furret,,,,0,
