game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,moon,nml,no-gobblegum,steam,https://youtube.com/watch?v=wxoTij2on5Q,,co-op,400,4,J Dubs,Excosis,GameLikeADylan,LokiTheGod,0,
bo3,shi-no-numa,first-room,no-gobblegum,xbox,http://twitch.tv/videos/686907673,,co-op,12,4,GameLikeADylan,jskis,Wolfslayer61,MEGAAMANNN,0,
bo3,moon,no-perks,no-gobblegum,xbox,http://twitch.tv/videos/637071859,,solo,25,1,GameLikeADylan,,,,0,
bo3,gorod-krovi,no-perks,no-gobblegum,xbox,http://twitch.tv/videos/637934616,,solo,11,1,GameLikeADylan,,,,0,
bo2,tranzit,ee-speedrun,maxiss-side-with-bank,steam,https://youtube.com/watch?v=LUKLFZ5apc4,,co-op,3:38,4,GameLikeADylan,LokiTheGod,Raheem,UltimateZenith1,0,
bo2,tranzit,ee-speedrun,maxiss-side-with-bank,steam,https://youtube.com/watch?v=j_-Y3b2aHPY,,solo,7:15,1,GameLikeADylan,,,,0,
bo2,buried,ee-speedrun,richtofens-side-with-bank,plutonium,http://twitch.tv/videos/2664268771,,solo,9:58,1,GameLikeADylan,,,,0,
bo3,moon,ee-speedrun,any,steam,https://youtube.com/watch?v=YnYhmqSMVhw,,co-op,15:23,4,Raheem,UltimateZenith1,GameLikeADylan,crusher,0,
bo3,moon,ee-speedrun,any,steam,https://youtube.com/watch?v=mUpzKjjzXv0,,co-op,17:41,3,crusher,GameLikeADylan,Raheem,,0,
bo3,moon,ee-speedrun,any,steam,https://youtube.com/watch?v=_OvtxCJETXU,,solo,18:31,1,GameLikeADylan,,,,0,
bo3,moon,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=Gjud3PSNS7c,,solo,19:12,1,GameLikeADylan,,,,0,
bo,moon,ee-speedrun,,steam,https://youtube.com/watch?v=kKWbtapBv50,,co-op,22:04,4,Itzs Nukez,Raheem,GameLikeADylan,UltimateZenith1,0,
bo3,moon,ee-speedrun,no-gobblegum,xbox,http://twitch.tv/videos/1460585228,,co-op,25:06,2,MEGAAMANNN,GameLikeADylan,,,0,
bo3,moon,ee-speedrun,no-gobblegum,steam,https://youtube.com/watch?v=ZnUxsCwTFj8,,solo,25:45.10,1,GameLikeADylan,,,,0,
bo3,moon,ee-speedrun,classic-gobblegum-only,xbox,https://youtube.com/watch?v=wIWDPLhGg30,,solo,26:16,1,GameLikeADylan,,,,0,
bo3,moon,ee-speedrun,no-gobblegum,xbox,http://twitch.tv/videos/698996804,,co-op,26:52,3,GameLikeADylan,Wolfslayer61,MEGAAMANNN,,0,
bo3,moon,ee-speedrun,no-gobblegum,steam,https://youtube.com/watch?v=GqGUa4XaPFw,,co-op,27:18,4,PizzaHydra,GameLikeADylan,MEGAAMANNN,LokiTheGod,0,
bo3,moon,ee-speedrun,no-gobblegum,xbox,http://twitch.tv/videos/692074454,,co-op,28:17,4,GameLikeADylan,Wolfslayer61,jskis,MEGAAMANNN,0,
bo3,moon,ee-speedrun,no-gobblegum,xbox,http://twitch.tv/videos/690722875,,co-op,34:09,4,Wolfslayer61,GameLikeADylan,XAngelosX,jskis,0,
bo3,moon,ee-speedrun,no-gobblegum,xbox,http://twitch.tv/videos/690658386,,co-op,34:14,2,GameLikeADylan,HannahSlayz,,,0,
