game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,moon,high-round,mega-gobblegum,steam,http://twitch.tv/videos/2149550800,,solo,140,1,GamingHI9x9,,,,0,
bo3,moon,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=wyDrnhm7Ufc,,co-op,124,2,GamingHI9x9,SlowFiend935,,,0,
bo3,shangri-la,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=EqQnuj9CnxU,,co-op,115,2,GamingHI9x9,Paxy,,,0,
bo2,die-rise,high-round,,steam,http://twitch.tv/videos/2192509017,,co-op,104,2,GamingHI9x9,GREENMACHINEMAX,,,0,
bo3,der-eisendrache,high-round,mega-gobblegum,steam,http://twitch.tv/videos/2152155326,,co-op,102,2,GamingHI9x9,jakessb,,,0,
bo2,die-rise,high-round,,steam,http://twitch.tv/videos/2125492778,,solo,102,1,GamingHI9x9,,,,0,
bo2,die-rise,high-round,,steam,http://twitch.tv/videos/2159869017,,co-op,80,2,GamingHI9x9,Ice_killer305,,,0,
bo2,town,high-round,,steam,https://youtube.com/watch?v=9LZqk9gEngg,,co-op,60,2,GamingHI9x9,Monsterrr115,,,0,
bo2,tranzit,high-round,,steam,https://youtube.com/watch?v=M1J2YtUA9fY,,solo,50,1,GamingHI9x9,,,,0,
bo3,moon,flawless,mega-gobblegum,steam,http://twitch.tv/videos/2149550800,,solo,140,1,GamingHI9x9,,,,0,
bo3,moon,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=wyDrnhm7Ufc,,co-op,124,2,GamingHI9x9,SlowFiend935,,,0,
bo2,die-rise,flawless,,steam,https://youtube.com/watch?v=8LABVMO_L4E,,co-op,95,2,GREENMACHINEMAX,GamingHI9x9,,,0,
bo2,die-rise,flawless,,steam,http://twitch.tv/videos/2125489969,,solo,89,1,GamingHI9x9,,,,0,
bo3,shangri-la,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=EqQnuj9CnxU,,co-op,58,2,GamingHI9x9,Paxy,,,0,
bo3,ascension,flawless,classic-gobblegum-only,steam,https://youtube.com/watch?v=EfvKnalvKUE,,co-op,40,4,GamingHI9x9,Paxy,SlowFiend935,Cosimia,0,
bo3,der-eisendrache,first-room,mega-gobblegum,steam,http://twitch.tv/videos/2130458768,,solo,54,1,GamingHI9x9,,,,0,
bo3,origins,first-room,classic-gobblegum-only,steam,http://twitch.tv/videos/2176327204,,solo,28,1,GamingHI9x9,,,,0,
bo3,revelations,first-room,no-gobblegum,steam,https://youtube.com/watch?v=F3d7Cuw6SZU,,solo,27,1,GamingHI9x9,,,,0,
bo3,shadows-of-evil,first-room,,steam,https://youtube.com/watch?v=tCmEhnclrQM,,solo,26,1,GamingHI9x9,,,,0,
bo2,mob-of-the-dead,first-room,,plutonium,https://youtube.com/watch?v=8jNtzaYipIs,,solo,21,1,GamingHI9x9,,,,0,
bo3,shangri-la,first-room,no-gobblegum,steam,http://twitch.tv/videos/2125492778,,solo,14,1,GamingHI9x9,,,,0,
custom,farm-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=FIEncx2iFJ8,,solo,34,1,GamingHI9x9,,,,0,
bo3,verruckt,no-jug,no-gobblegum,steam,https://youtube.com/watch?v=B32rcImbZNw,,solo,31,1,GamingHI9x9,,,,0,
bo3,moon,30-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/2149550800,,solo,31:35,1,GamingHI9x9,,,,0,
bo3,der-eisendrache,30-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/2130458768,,solo,31:38,1,GamingHI9x9,,,,0,
bo3,der-eisendrache,30-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/2152155326,,co-op,46:36,2,GamingHI9x9,jakessb,,,0,
bo3,moon,50-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/2149550800,,solo,58:50,1,GamingHI9x9,,,,0,
bo3,moon,70-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/2149550800,,solo,1:41:24,1,GamingHI9x9,,,,0,
bo2,die-rise,70-speedrun,,steam,http://twitch.tv/videos/2192509017,,co-op,2:27:00,2,GamingHI9x9,GREENMACHINEMAX,,,0,
bo3,moon,70-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=wyDrnhm7Ufc,,co-op,2:44:30,2,GamingHI9x9,SlowFiend935,,,0,
bo2,die-rise,100-speedrun,,steam,http://twitch.tv/videos/2192509017,,co-op,5:32:04,2,GamingHI9x9,GREENMACHINEMAX,,,0,
bo3,moon,100-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=wyDrnhm7Ufc,,co-op,5:39:12,2,GamingHI9x9,SlowFiend935,,,0,
bo3,der-eisendrache,100-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/2152155326,,co-op,7:06:47,2,GamingHI9x9,jakessb,,,0,
community,tranzit,com-bus,,steam,http://twitch.tv/videos/2125492778,,solo,17,1,GamingHI9x9,,,,0,
