game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,tag-der-toten,30-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=AgqZeknJJMM,,solo,16:20,1,Garrett05,,,,0,
bo4,tag-der-toten,50-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=AgqZeknJJMM,,solo,34:33,1,Garrett05,,,,0,
bo4,tag-der-toten,70-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=AgqZeknJJMM,,solo,56:09,1,Garrett05,,,,0,
bo4,classified,ee-speedrun,all-elixirs-talismans,battle.net,http://twitch.tv/videos/2427922357,,co-op,2:34,3,Wjorge,Garrett05,Combsy,,0,
bo4,classified,ee-speedrun,all-elixirs-talismans,battle.net,http://twitch.tv/videos/1625672265,,co-op,2:55,3,TrueHelp,Garrett05,Flindex,,0,
bo4,classified,ee-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=1PJ_eOsvuHQ,,co-op,3:09,2,Wjorge,Garrett05,,,0,
bo4,classified,ee-speedrun,classic-elixirs-only,battle.net,http://twitch.tv/videos/1625419928,,co-op,6:25,3,Flindex,Garrett05,TrueHelp,,0,
bo4,ancient-evil,ee-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=9SJIlGzw4w4,,co-op,16:35,4,Flindex,Garrett05,Racine,somerandomboi,0,
bo4,ancient-evil,ee-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=FXv4-ysSC6Y,,co-op,18:34,3,Garrett05,Flindex,Racine,,0,
bo4,ancient-evil,ee-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=VkqCshHxUO8,,co-op,20:42,4,Lacey,Racine,Flindex,Garrett05,0,
bo4,ancient-evil,ee-speedrun,all-elixirs-talismans,battle.net,http://twitch.tv/videos/2069939075,,solo,22:49,1,Garrett05,,,,0,
bo4,ancient-evil,ee-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=A74OZvZaq_E,,co-op,23:52,4,Garrett05,Racine,Lacey,Marz,0,
bo4,alpha-omega,ee-speedrun,all-elixirs-talismans,battle.net,http://twitch.tv/videos/1664734246,,co-op,24:02,4,Flindex,Garrett05,TrueHelp,MANIAC-KlLLA,0,
bo4,ancient-evil,ee-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=4v169P0FBTM,,co-op,25:41,3,Lacey,Garrett05,Racine,,0,
bo4,dead-of-the-night,ee-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=w-z3jmipF_o,,solo,27:05,1,Garrett05,,,,0,
bo4,ix,ee-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=DkBMsSmnzPI,,co-op,27:25,2,Combsy,Garrett05,,,0,
bo4,ix,ee-speedrun,all-elixirs-talismans,battle.net,http://twitch.tv/videos/2345685286,,co-op,28:27,3,Combsy,Garrett05,Wjorge,,0,
bo4,ix,ee-speedrun,all-elixirs-talismans,battle.net,http://twitch.tv/videos/2347978745,,co-op,28:30,4,Combsy,Garrett05,Freckleston,Kooky,0,
bo4,dead-of-the-night,ee-speedrun,classic-elixirs-only,battle.net,https://youtube.com/watch?v=QQJf-ComTCc,,solo,28:40,1,Garrett05,,,,0,
bo4,voyage-of-despair,ee-speedrun,all-elixirs-talismans,battle.net,http://twitch.tv/videos/1664735077,,co-op,28:49,3,TrueHelp,Flindex,Garrett05,,0,
bo4,voyage-of-despair,ee-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=tpI8DACpRLY,,co-op,30:20,2,Garrett05,Flindex,,,0,
bo4,alpha-omega,ee-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=pvXLTVvUArg,,solo,35:00,1,Garrett05,,,,0,
bo4,ancient-evil,ee-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=7Nl5OW5FCEs,,co-op,39:12,2,Garrett05,YarYarKen,,,0,
bo4,dead-of-the-night,ee-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=Z8UMtpoWfTs,,co-op,39:45,2,Garrett05,GanglyDoor76271,,,0,
bo4,voyage-of-despair,ee-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=bNP3Zxqiv9M,,solo,40:50,1,Garrett05,,,,0,
