game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
iw,rave-in-the-redwoods,high-round,fate-fortune-cards,playstation,http://twitch.tv/videos/127720184,,co-op,41,2,Gazza5times,bigjohn1312,,,0,
aw,infection,no-power,,playstation,https://youtube.com/watch?v=NjqqhkBKCg4,,solo,19,1,Gazza5times,,,,0,
aw,infection,no-exo-suit,,playstation,https://youtube.com/watch?v=mtqmrmxBaRU,,solo,29,1,Gazza5times,,,,0,
aw,infection,no-exo-health,,playstation,https://youtube.com/watch?v=mtqmrmxBaRU,,solo,29,1,Gazza5times,,,,0,
bo3,ascension,30-speedrun,mega-gobblegum,playstation,http://twitch.tv/videos/162106268,,solo,37:25,1,Gazza5times,,,,0,
bo3,kino-der-toten,30-speedrun,mega-gobblegum,playstation,http://twitch.tv/videos/154391920,,solo,40:25,1,Gazza5times,,,,0,
aw,carrier,30-speedrun,,playstation,http://twitch.tv/videos/117670204,,solo,42:32,1,Gazza5times,,,,0,
iw,rave-in-the-redwoods,30-speedrun,fate-fortune-cards,playstation,http://twitch.tv/videos/170680478,,solo,46:11,1,Gazza5times,,,,0,
bo3,nacht-der-untoten,30-speedrun,mega-gobblegum,playstation,http://twitch.tv/videos/176727231,,solo,51:30,1,Gazza5times,,,,0,
bo3,ascension,30-speedrun,mega-gobblegum,playstation,http://twitch.tv/videos/173808435,,co-op,51:58,2,Gazza5times,creepintheknight,,,0,
bo3,ascension,50-speedrun,mega-gobblegum,playstation,http://twitch.tv/videos/156258409,,solo,1:19:56,1,Gazza5times,,,,0,
bo3,der-eisendrache,50-speedrun,mega-gobblegum,playstation,http://twitch.tv/videos/117438365,,solo,1:24:10,1,Gazza5times,,,,0,
