game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo6,citadelle-des-morts,high-round,no-gobblegums-with-support,playstation,https://youtube.com/watch?v=1TkJRWGZ30E,,solo,999,1,Genn,,,,0,
bo6,the-tomb,high-round,no-gobblegums-with-support,playstation,https://youtube.com/watch?v=3IKr_yI0sic,,solo,999,1,Genn,,,,0,
bo3,revelations,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=-Pgf0xqIhQY,,solo,255,1,Genn,,,,0,
bo3,shadows-of-evil,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=fyhwKxdv8zk,,solo,255,1,Genn,,,,0,
bo3,moon,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=wGAIjHy-qx8,,solo,255,1,Genn,,,,0,
bo6,liberty-falls,high-round,no-gobblegums-no-support,cross-play,https://youtube.com/watch?v=XyvKsDmtE2g,,co-op,161,3,Genn,Kyl3,Thursday,,0,
bo3,revelations,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=-Pgf0xqIhQY,,solo,255,1,Genn,,,,0,
bo3,shadows-of-evil,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=fyhwKxdv8zk,,solo,255,1,Genn,,,,0,
bo6,liberty-falls,flawless,no-gobblegums-no-support,cross-play,https://youtube.com/watch?v=XyvKsDmtE2g,,co-op,161,3,Genn,Kyl3,Thursday,,0,
bo3,revelations,no-aat,mega-gobblegum,steam,https://youtube.com/watch?v=-Pgf0xqIhQY,,solo,255,1,Genn,,,,0,
bo6,citadelle-des-morts,first-room,no-gobblegums-with-support,playstation,https://youtube.com/watch?v=1TkJRWGZ30E,,solo,999,1,Genn,,,,0,
bo6,liberty-falls,100-speedrun,no-gobblegums,steam,https://youtube.com/watch?v=XyvKsDmtE2g,,co-op,2:48:55,3,Genn,Kyl3,Thursday,,0,
bo3,revelations,255-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=-Pgf0xqIhQY,,solo,34:16:10,1,Genn,,,,0,
bo3,moon,255-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=wGAIjHy-qx8,,solo,38:15:20,1,Genn,,,,0,
