game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo6,the-tomb,high-round,with-gobblegums-with-support,xbox,https://youtube.com/watch?v=xWdQsgnuNA8,,co-op,303,4,DallasNation04,Bradley0104,Ghost3d_12,MythicMemorie,0,
bo6,the-tomb,high-round,with-gobblegums-no-support,xbox,https://youtube.com/watch?v=MvFX6p7sR5w,,co-op,233,2,Ghost3d_12,horchatattv,,,0,
bo6,citadelle-des-morts,high-round,no-gobblegums-with-support,xbox,https://youtube.com/watch?v=n6ffWInbDT8,,co-op,212,2,DallasNation04,Ghost3d_12,,,0,
bo6,shattered-veil,high-round,with-gobblegums-no-support,xbox,https://youtube.com/watch?v=zzf_YwYTJoc,,solo,200,1,Ghost3d_12,,,,0,
bo6,shattered-veil,high-round,with-gobblegums-no-support,xbox,https://youtube.com/watch?v=nWAAchee8Os,,co-op,183,2,Ghost3d_12,horchatattv,,,0,
bo6,the-tomb,high-round,with-gobblegums-no-support,xbox,https://youtube.com/watch?v=0-JRWCLlO4Y,,co-op,164,3,DallasNation04,Bradley0104,Ghost3d_12,,0,
bo6,shattered-veil,high-round,with-gobblegums-with-support,xbox,https://youtube.com/watch?v=Zm1ymuEhsNc,,co-op,153,4,DallasNation04,Phobos,Ghost3d_12,horchatattv,0,
bo6,the-tomb,high-round,with-gobblegums-no-support,xbox,https://youtube.com/watch?v=bTEDQojXvpw,,co-op,150,4,DallasNation04,Bradley0104,Ghost3d_12,SM0k3Y,0,
bo6,shattered-veil,high-round,no-gobblegums-with-support,xbox,https://youtube.com/watch?v=Q86kwh2DreE,,co-op,146,4,DallasNation04,Darserious,BUNNYWHISKERZ,Ghost3d_12,0,
bo6,terminus,high-round,with-gobblegums-no-support,cross-play,https://youtube.com/watch?v=Cj_wCr431fY,,co-op,133,4,horchatattv,Ghost3d_12,Gardningtools,Bradley0104,0,
bo6,terminus,high-round,with-gobblegums-no-support,xbox,https://youtube.com/watch?v=9HtjmSKhlEM,,co-op,120,2,Ghost3d_12,horchatattv,,,0,
bo6,liberty-falls,high-round,with-gobblegums-no-support,xbox,https://youtube.com/watch?v=KmJ-Qy9BR94,,co-op,100,4,DallasNation04,Ghost3d_12,Bradley0104,SM0k3Y,0,
bo6,shattered-veil,high-round,no-gobblegums-with-support,xbox,https://youtube.com/watch?v=0wnL8r2Smwc,,co-op,72,4,DallasNation04,Bradley0104,Ghost3d_12,SM0k3Y,0,
bo6,shattered-veil,high-round,with-gobblegums-no-support,xbox,https://youtube.com/watch?v=PTkx7M5Zvvo,,co-op,72,4,DallasNation04,Bradley0104,Ghost3d_12,SM0k3Y,0,
bo6,the-tomb,flawless,with-gobblegums-with-support,xbox,https://youtube.com/watch?v=xWdQsgnuNA8,,co-op,286,4,DallasNation04,Bradley0104,Ghost3d_12,MythicMemorie,0,
bo6,the-tomb,flawless,with-gobblegums-no-support,xbox,https://youtube.com/watch?v=MvFX6p7sR5w,,co-op,218,2,Ghost3d_12,horchatattv,,,0,
bo6,shattered-veil,flawless,with-gobblegums-no-support,xbox,https://youtube.com/watch?v=zzf_YwYTJoc,,solo,216,1,Ghost3d_12,,,,0,
bo6,shattered-veil,flawless,with-gobblegums-no-support,xbox,https://youtube.com/watch?v=nWAAchee8Os,,co-op,183,2,Ghost3d_12,horchatattv,,,0,
bo6,terminus,flawless,with-gobblegums-no-support,cross-play,https://youtube.com/watch?v=Cj_wCr431fY,,co-op,131,4,horchatattv,Ghost3d_12,Gardningtools,Bradley0104,0,
bo6,the-tomb,flawless,with-gobblegums-no-support,xbox,https://youtube.com/watch?v=bTEDQojXvpw,,co-op,104,4,DallasNation04,Bradley0104,Ghost3d_12,SM0k3Y,0,
