game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
sker-ritual,house-of-the-damned,high-round,nightmare,playstation,https://youtube.com/watch?v=c10r34Vui48,,co-op,122,2,La_reina_zomber,GhostSupreme,,,0,
custom,europa-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=0hYac4F-B-E,,co-op,95,2,La_reina_zomber,GhostSupreme,,,0,
custom,1938-full-circle-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=CtzbnINU2CM,,co-op,58,2,La_reina_zomber,GhostSupreme,,,0,
bo3,gorod-krovi,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=2Btu9eMfTSI,,co-op,46,3,La_reina_zomber,GhostSupreme,truriri96,,0,
custom,europa-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=0hYac4F-B-E,,co-op,95,2,La_reina_zomber,GhostSupreme,,,0,
custom,1938-full-circle-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=CtzbnINU2CM,,co-op,58,2,La_reina_zomber,GhostSupreme,,,0,
sker-ritual,house-of-the-damned,100-speedrun,nightmare,playstation,https://youtube.com/watch?v=c10r34Vui48,,co-op,3:43:42,2,lareinaeli,GhostSupreme,,,0,
bocw,firebase-z,exfil-speedrun,round-11,playstation,https://youtube.com/watch?v=ErF9V8X-DLo,,co-op,8:35,3,La_reina_zomber,GhostSupreme,Mercenario_1980,,0,
bocw,firebase-z,exfil-speedrun,round-21,playstation,https://youtube.com/watch?v=wylCU4hOvSs,,co-op,27:36,2,La_reina_zomber,GhostSupreme,,,0,
sker-ritual,deadly-lovers-fortress,ee-speedrun,nightmare-casual-ee,playstation,https://youtube.com/watch?v=Goo0CGedLsw,,co-op,14:42,2,La_reina_zomber,GhostSupreme,,,0,
bocw,forsaken,ee-speedrun,normal,cross-play,https://youtube.com/watch?v=Ca741F3Oytc,,co-op,19:54,3,La_reina_zomber,GhostSupreme,trouriri96,,0,
bocw,firebase-z,ee-speedrun,normal,playstation,https://youtube.com/watch?v=2sIy7XoKcwo,,co-op,25:56,3,La_reina_zomber,GhostSupreme,Zeudas,,0,
bocw,firebase-z,ee-speedrun,normal,playstation,https://youtube.com/watch?v=T3pkDkzyJc8,,co-op,26:33,4,La_reina_zomber,GhostSupreme,Mercenario_1980,manu,0,
bocw,forsaken,build-speedrun,,cross-play,https://youtube.com/watch?v=Ca741F3Oytc,,co-op,19:56,3,La_reina_zomber,GhostSupreme,trouriri96,,0,
bocw,black-ops-cold-war,Super-ee-speedrun,,cross-play,https://youtube.com/watch?v=Ca741F3Oytc,,co-op,1:59:23,3,La_reina_zomber,GhostSupreme,trouriri96,,0,
bocw,black-ops-cold-war,Super-ee-speedrun,,playstation,https://youtube.com/watch?v=qWp6EiA9J5g,,co-op,2:16:28,2,La_reina_zomber,GhostSupreme,,,0,
bo4,black-ops-4-aether,Super-ee-speedrun,all-elixirs-and-talismans,playstation,https://youtube.com/watch?v=__JEl6It2tA,,co-op,5:59:50,3,La_reina_zomber,GhostSupreme,trouriri96,,0,
