game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,ascension,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=fJNHIkpPUZI,,co-op,121,4,Tacos,Kempy,AustraLiam02,GoinTheHeadshot,0,
bo3,shadows-of-evil,flawless,mega-gobblegum,playstation,https://youtube.com/watch?v=Rzr5PZxlS-A,,co-op,116,2,Hooligan166,GoinTheHeadshot,,,0,
bocw,forsaken,flawless,with-support,playstation,https://youtube.com/watch?v=bfkVaTTj5dc,,co-op,114,2,GoinTheHeadshot,Hooligan166,,,0,
bo3,revelations,first-room,mega-gobblegum,steam,https://youtube.com/watch?v=ENVip81_5tg,,co-op,162,2,Tacos,GoinTheHeadshot,,,0,
bo3,ascension,first-room,mega-gobblegum,steam,https://youtube.com/watch?v=VMFs-JKuuO8,,co-op,141,2,GoinTheHeadshot,LHCC HOMIE,,,0,
custom,dead-high-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=UIsdtFPtlVs,,solo,123,1,GoinTheHeadshot,,,,0,
custom,dead-high-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=o1tt4I7UOsg,,co-op,81,2,GoinTheHeadshot,Hooligan166,,,0,
bo3,shangri-la,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=ZjFNGkyW_wo,,co-op,57,3,Hooligan166,illest204,GoinTheHeadshot,,0,
bocw,collateral,onslaught,,playstation,https://youtube.com/watch?v=ZL9rBilx1js,,solo,556,1,GoinTheHeadshot,,,,0,
bocw,nuketown-84,onslaught,onslaught,playstation,http://twitch.tv/videos/1498817659,,co-op,384,2,Hooligan166,GoinTheHeadshot,,,0,
bocw,rush,onslaught,,playstation,http://twitch.tv/videos/1316552801,,solo,375,1,GoinTheHeadshot,,,,0,
bo3,ascension,no-perks,mega-gobblegum,playstation,https://youtube.com/watch?v=iAZUOL7vEoE,,solo,123,1,GoinTheHeadshot,,,,0,
