game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,verruckt,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=gMjIx-UI0wg,,co-op,78,4,Taserman56,Carruthless1,GriefChief,TRYDENT,0,
bo3,verruckt,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=VUTc-8s7Lt4,,co-op,77,2,KTG,GriefChief,,,0,
bo3,moon,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=lCezBkRkvMo,,co-op,68,3,Taserman56,TRYDENT,GriefChief,,0,
bo3,nacht-der-untoten,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=wj-ME-4zVv0,,co-op,61,4,TRYDENT,GriefChief,Sasquatch,Carruthless1,0,
bo3,moon,high-round,classic-gobblegum-only,steam,http://twitch.tv/videos/632826828,,co-op,56,3,PKED,TRYDENT,GriefChief,,0,
bo3,verruckt,high-round,no-gobblegum,steam,http://twitch.tv/videos/631687371,,co-op,35,3,PKED,TRYDENT,GriefChief,,0,
bo3,verruckt,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=VUTc-8s7Lt4,,co-op,76,2,KTG,GriefChief,,,0,
bo3,moon,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=lCezBkRkvMo,,co-op,68,3,Taserman56,TRYDENT,GriefChief,,0,
bo3,nacht-der-untoten,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=wj-ME-4zVv0,,co-op,61,4,TRYDENT,GriefChief,Sasquatch,Carruthless1,0,
bo3,the-giant,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=p5fRfPetJgo,,co-op,60,2,PKED,GriefChief,,,0,
bo3,moon,flawless,classic-gobblegum-only,steam,http://twitch.tv/videos/632826828,,co-op,56,3,PKED,TRYDENT,GriefChief,,0,
bo3,the-giant,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=kO_Yp5ABHMs,,co-op,52,4,Taserman56,TRYDENT,GriefChief,PKED,0,
bo3,the-giant,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=7sjnuX_LvPw,,co-op,44,4,Taserman56,GriefChief,TRYDENT,KTG,0,
bo3,verruckt,flawless,classic-gobblegum-only,steam,https://youtube.com/watch?v=tHFjyPW1VSA,,co-op,35,3,Taserman56,Carruthless1,GriefChief,,0,
bo3,verruckt,flawless,no-gobblegum,steam,http://twitch.tv/videos/631687371,,co-op,34,3,PKED,TRYDENT,GriefChief,,0,
bo3,verruckt,flawless,classic-gobblegum-only,steam,https://youtube.com/watch?v=q0HlMc7_jvc,,co-op,28,4,Taserman56,TRYDENT,GriefChief,Carruthless1,0,
bo3,the-giant,no-aat,classic-gobblegum-only,steam,https://youtube.com/watch?v=nUpq_4RPDWE,,solo,113,1,GriefChief,,,,0,
bo3,kino-der-toten,first-room,classic-gobblegum-only,steam,https://youtube.com/watch?v=Ma6EMEmBIls,,co-op,29,3,KTG,GriefChief,Skookum,,0,
bo3,kino-der-toten,first-room,classic-gobblegum-only,steam,https://youtube.com/watch?v=pBqSwoMf7Z0,,co-op,21,3,KTG,Cockulus,GriefChief,,0,
bo3,shi-no-numa,first-room,no-gobblegum,steam,https://youtube.com/watch?v=DKp4OXB1jGE,,co-op,19,2,KTG,GriefChief,,,0,
bo3,nacht-der-untoten,first-room,classic-gobblegum-only,steam,https://youtube.com/watch?v=fMszUhFs5dA,,co-op,13,3,KTG,GriefChief,Crow Mother,,0,
bo3,shangri-la,no-power,no-gobblegum,steam,https://youtube.com/watch?v=GMe6sOTA7d4,,co-op,38,4,Taserman56,TRYDENT,Carruthless1,GriefChief,0,
bo3,moon,no-perks,classic-gobblegum-only,steam,https://youtube.com/watch?v=krYwsBzX-i4,,co-op,49,2,TRYDENT,GriefChief,,,0,
bo3,moon,no-perks,mega-gobblegum,steam,https://youtube.com/watch?v=E60E_RnUpZ4,,co-op,47,2,TRYDENT,GriefChief,,,0,
bo3,verruckt,no-jug,mega-gobblegum,steam,https://youtube.com/watch?v=UD8Hq6DXMqY,,co-op,95,2,TRYDENT,GriefChief,,,0,
bo3,verruckt,30-speedrun,classic-gobblegum-only,steam,https://youtube.com/watch?v=7c_HgkyZ2pc,,co-op,33:44,2,MawinWeatha,GriefChief,,,0,
