game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
wwii,the-final-reich,high-round,,playstation,https://youtube.com/watch?v=RzVLEyUnhgM,,solo,99,1,H477ymc5,,,,0,
bocw,die-maschine,high-round,with-support,cross-play,https://youtube.com/watch?v=nxpNrsH09wo,,solo,88,1,H477ymc5,,,,0,
bo3,ascension,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=VOrga7J-oXQ,,solo,60,1,H477ymc5,,,,0,
bocw,firebase-z,high-round,with-support,playstation,https://youtube.com/watch?v=fLfy8enx5fI,,co-op,58,2,H477ymc5,FaZeTheresaMay69,,,0,
bocw,forsaken,high-round,with-support,cross-play,https://youtube.com/watch?v=9Ko5Yw_s7dU,,co-op,43,2,H477ymc5,Big_snuff15,,,0,
wwii,the-final-reich,high-round,,playstation,https://youtube.com/watch?v=eYiY20cAWvo,,co-op,39,2,H477ymc5,Phillo2020,,,0,
bocw,die-maschine,high-round,with-support,cross-play,https://youtube.com/watch?v=LesLbnZoSro,,co-op,38,2,H477ymc5,milky-video7,,,0,
bo3,ascension,flawless,mega-gobblegum,playstation,https://youtube.com/watch?v=L0dsnExd1P8,,solo,44,1,H477ymc5,,,,0,
wwii,the-darkest-shore,first-room,no-consumables,playstation,https://youtube.com/watch?v=GRaao5F8zUk,,solo,22,1,H477ymc5,,,,0,
wwii,the-final-reich,first-room,no-consumables,playstation,https://youtube.com/watch?v=3dX5G_unUt8,,solo,14,1,H477ymc5,,,,0,
bo3,ascension,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=L0dsnExd1P8,,solo,44,1,H477ymc5,,,,0,
wwii,prologue,wwii-no-armor,,playstation,https://youtube.com/watch?v=J9JSxztOkmo,,solo,14,1,H477ymc5,,,,0,
