game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,voyage-of-despair,high-round,classic-elixirs-only,xbox,https://youtube.com/watch?v=GLu-fGXC8V4,,co-op,35,2,Rebirthh,Harmskii,,,0,
bo2,buried,high-round,,xbox,https://youtube.com/watch?v=ExYB55jiBrM,,co-op,26,2,Rebirthh,Harmskii,,,0,
bo,call-of-the-dead,high-round,,xbox,https://youtube.com/watch?v=wJsWlKK8sDk,,co-op,21,2,Rebirthh,Harmskii,,,0,
bo,moon,high-round,,xbox,https://youtube.com/watch?v=YpF2L9OKpeI,,co-op,17,2,Harmskii,Rebirthh,,,0,
bo,kino-der-toten,high-round,,xbox,https://youtube.com/watch?v=e9KQSHG2uPs,,co-op,15,2,Rebirthh,Harmskii,,,0,
bo2,tranzit,high-round,,xbox,https://youtube.com/watch?v=mzngPaobCcs,,co-op,14,2,Harmskii,Rebirthh,,,0,
bo,kino-der-toten,flawless,,xbox,https://youtube.com/watch?v=0qlAduwLCCc,,co-op,12,2,Rebirthh,Harmskii,,,0,
bo4,voyage-of-despair,30-speedrun,classic-elixirs-only,xbox,https://youtube.com/watch?v=JrqbF__byhc,,co-op,1:02:45,2,Rebirthh,Harmskii,,,0,
bo2,tranzit,ee-speedrun,richtofens-side-with-bank,xbox,https://youtube.com/watch?v=u99uK7FvlSE,,co-op,1:16:28,4,Rebirthh,Harmskii,Rebirthh ALT,Kinqq Rus,0,
mw3,lockdown,high-round-survival,no-traps,xbox,https://youtube.com/watch?v=Ami0i5197ts,,co-op,17,2,Rebirthh,Harmskii,,,0,
mw3,arkaden,high-round-survival,no-traps,xbox,https://youtube.com/watch?v=NuZaNYJ-E4s,,co-op,16,2,Rebirthh,Harmskii,,,0,
mw3,bakaara,high-round-survival,no-traps,xbox,https://youtube.com/watch?v=3iOjNQg6B_0,,co-op,16,2,Harmskii,Rebirthh,,,0,
mw2,body-count,speedrun-specops,veteran,xbox,https://youtube.com/watch?v=I9ujUUtvcw0,,co-op,0:20.60,2,Rebirthh,Harmskii,,,0,
mw2,race,speedrun-specops,,xbox,https://youtube.com/watch?v=ao2uqG14CSk,,co-op,1:09.50,2,Rebirthh,Harmskii,,,0,
mw2,time-trial,speedrun-specops,veteran,xbox,https://youtube.com/watch?v=gQ-T0x6TuKg,,co-op,1:09.40,2,Rebirthh,Harmskii,,,0,
mw2,acceptable-losses,speedrun-specops,veteran,xbox,https://youtube.com/watch?v=A5Ln-tEI1mE,,co-op,1:15.30,2,Rebirthh,Harmskii,,,0,
mw3,hostage-taker,speedrun-specops,veteran,xbox,https://youtube.com/watch?v=owXDeO3UuPE,,co-op,1:38,2,Rebirthh,Harmskii,,,0,
mw3,hit-and-run,speedrun-specops,veteran,steam,https://youtube.com/watch?v=6Tx9prlleZM,,co-op,2:02,2,Rebirthh,Harmskii,,,0,
mw3,fire-mission,speedrun-specops,veteran,xbox,https://youtube.com/watch?v=K-YapaeKZo0,,co-op,2:24,2,Rebirthh,Harmskii,,,0,
mw2,bomb-squad,speedrun-specops,veteran,xbox,https://youtube.com/watch?v=SmEAoPDXdzk,,co-op,2:39.50,2,Rebirthh,Harmskii,,,0,
mw3,little-bros,speedrun-specops,regular,xbox,https://youtube.com/watch?v=T_tOPN6NEok,,co-op,2:40,2,Rebirthh,Harmskii,,,0,
mw3,firewall,speedrun-specops,veteran,xbox,https://youtube.com/watch?v=CtaACb_wBto,,co-op,2:53,2,Rebirthh,Harmskii,,,0,
mw2,overwatch,speedrun-specops,veteran,xbox,https://youtube.com/watch?v=FFBd3wbpP-U,,co-op,3:05.65,2,Harmskii,Rebirthh,,,0,
mw3,negotiator,speedrun-specops,regular,xbox,https://youtube.com/watch?v=Gm1-PnD-dH0,,co-op,3:13,2,Rebirthh,Harmskii,,,0,
mw3,arctic-recon,speedrun-specops,veteran,xbox,https://youtube.com/watch?v=W8qIfhD4UbQ,,co-op,3:30,2,Rebirthh,Harmskii,,,0,
mw3,resistance-movement,speedrun-specops,veteran,xbox,https://youtube.com/watch?v=pAtm5RUKgis,,co-op,3:32,2,Rebirthh,Harmskii,,,0,
mw2,hidden,speedrun-specops,regular,xbox,https://youtube.com/watch?v=s3Jp4YqoiP0,,co-op,3:56.75,2,Harmskii,Rebirthh,,,0,
mw3,little-bros,speedrun-specops,veteran,xbox,https://youtube.com/watch?v=CA_oBfMoY78,,co-op,4:08,2,Rebirthh,Harmskii,,,0,
mw2,high-explosive,speedrun-specops,veteran,xbox,https://youtube.com/watch?v=YBnUI6ZdBBs,,co-op,4:19.35,2,Rebirthh,Harmskii,,,0,
mw3,over-reactor,speedrun-specops,veteran,xbox,https://youtube.com/watch?v=X2ROizHCcj0,,co-op,4:23,2,Rebirthh,Harmskii,,,0,
mw2,big-brother,speedrun-specops,veteran,xbox,https://youtube.com/watch?v=lpEa4jA-33k,,co-op,4:51.60,2,Rebirthh,Harmskii,,,0,
mw3,black-ice,speedrun-specops,veteran,xbox,https://youtube.com/watch?v=g_1F_e6H-VE,,co-op,5:01,2,Rebirthh,Harmskii,,,0,
mw3,kill-switch,speedrun-specops,veteran,xbox,https://youtube.com/watch?v=7N-J6caIJwo,,co-op,5:01,2,Rebirthh,Harmskii,,,0,
