game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,ix,high-round,all-elixirs-talismans,battle.net,http://twitch.tv/videos/490034466,,co-op,67,4,Harry Kain,Hansi,MastaKilla,BairaBua,0,
bo4,dead-of-the-night,first-room,all-elixirs-talismans,battle.net,http://twitch.tv/videos/399928635,,co-op,27,2,Mindstorm,Harry Kain,,,0,
bo4,ix,30-speedrun,all-elixirs-talismans,battle.net,http://twitch.tv/videos/489172868,,co-op,30:15,2,Harry Kain,MastaKilla,,,0,
bo4,tag-der-toten,30-speedrun,all-elixirs-talismans,battle.net,http://twitch.tv/videos/501233122,,co-op,32:06,2,Harry Kain,MastaKilla,,,0,
bo4,ix,30-speedrun,all-elixirs-talismans,battle.net,http://twitch.tv/videos/466608873,,co-op,33:42,4,MastaKilla,Harry Kain,Hansi,R3DiX96,0,
bo4,ix,30-speedrun,all-elixirs-talismans,battle.net,http://twitch.tv/videos/490028103,,co-op,34:10,4,Hansi,Harry Kain,BairaBua,MastaKilla,0,
bo4,tag-der-toten,30-speedrun,all-elixirs-talismans,battle.net,http://twitch.tv/videos/498432667,,co-op,35:09,3,Hansi,Harry Kain,MastaKilla,,0,
bocw,mauer-der-toten,30-speedrun,normal,steam,http://twitch.tv/videos/1167530582,,co-op,36:53,2,Harry Kain,MastaKilla,,,0,
bocw,firebase-z,30-speedrun,normal,steam,http://twitch.tv/videos/1147959240,,co-op,40:07,4,MastaKilla,Harry Kain,Hansi,Saint,0,
bocw,mauer-der-toten,30-speedrun,normal,steam,http://twitch.tv/videos/1167110272,,co-op,40:15,3,MastaKilla,Hansi,Harry Kain,,0,
bocw,firebase-z,30-speedrun,normal,steam,http://twitch.tv/videos/1149695858,,co-op,40:38,3,MastaKilla,Harry Kain,Hansi,,0,
bocw,firebase-z,30-speedrun,normal,steam,http://twitch.tv/videos/1159268931,,co-op,41:23,4,MastaKilla,Harry Kain,BairaBua,Hansi,0,
bocw,firebase-z,30-speedrun,normal,steam,http://twitch.tv/videos/1148672307,,co-op,43:49,2,MastaKilla,Harry Kain,,,0,
bo4,ix,50-speedrun,all-elixirs-talismans,battle.net,http://twitch.tv/videos/489173871,,co-op,1:00:38,2,Harry Kain,MastaKilla,,,0,
bo4,tag-der-toten,50-speedrun,all-elixirs-talismans,battle.net,http://twitch.tv/videos/501241384,,co-op,1:05:11,2,Harry Kain,MastaKilla,,,0,
bo4,ix,50-speedrun,all-elixirs-talismans,battle.net,http://twitch.tv/videos/468390859,,co-op,1:12:30,3,MastaKilla,Harry Kain,R3DiX96,,0,
bo4,tag-der-toten,50-speedrun,all-elixirs-talismans,battle.net,http://twitch.tv/videos/498442035,,co-op,1:18:48,3,Harry Kain,MastaKilla,Hansi,,0,
bo4,ix,50-speedrun,all-elixirs-talismans,battle.net,http://twitch.tv/videos/490029978,,co-op,1:18:49,4,MastaKilla,Harry Kain,Hansi,BairaBua,0,
bo4,ix,50-speedrun,all-elixirs-talismans,battle.net,http://twitch.tv/videos/466609926,,co-op,1:21:52,4,MastaKilla,Harry Kain,Hansi,R3DiX96,0,
bocw,firebase-z,50-speedrun,normal,steam,http://twitch.tv/videos/1149695858,,co-op,1:26:19,3,MastaKilla,Hansi,Harry Kain,,0,
bocw,firebase-z,50-speedrun,normal,steam,http://twitch.tv/videos/1147959240,,co-op,1:29:47,4,MastaKilla,Harry Kain,Saint,Hansi,0,
bocw,mauer-der-toten,50-speedrun,normal,steam,http://twitch.tv/videos/1167110272,,co-op,1:30:03,3,Harry Kain,Hansi,MastaKilla,,0,
bocw,firebase-z,50-speedrun,normal,steam,http://twitch.tv/videos/1159268931,,co-op,1:31:05,4,MastaKilla,Hansi,Harry Kain,BairaBua,0,
bo4,tag-der-toten,50-speedrun,all-elixirs-talismans,battle.net,http://twitch.tv/videos/502722539,,co-op,1:34:33,4,Harry Kain,MastaKilla,Hansi,BairaBua,0,
bo3,der-eisendrache,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=_yVG4sqwqfI,,co-op,36:19,2,Severity,Harry Kain,,,0,
bo3,der-eisendrache,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=oVQ60klAu0Q,,co-op,37:23,3,Severity,MastaKilla,Harry Kain,,0,
bo4,veni-vidi-zombie,gauntlet,classic-elixirs-only,battle.net,http://twitch.tv/videos/444444125,,co-op,1:30:12,4,MastaKilla,Hansi,Harry Kain,R3DiX96,0,
bo4,veni-vidi-zombie,gauntlet,classic-elixirs-only,battle.net,http://twitch.tv/videos/452601678,,co-op,1:18:44,3,MastaKilla,Harry Kain,R3DiX96,,0,
bo4,veni-vidi-zombie,gauntlet,classic-elixirs-only,battle.net,http://twitch.tv/videos/460534680,,co-op,1:11:10,2,MastaKilla,Harry Kain,,,0,
