game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,der-eisendrache,ee-speedrun,classic-gobblegum-only,xbox,https://youtube.com/watch?v=YtbmKSmIg24,,co-op,44:02,3,Ymmej,Hockey Nerd 21,THE BIG SNAKE 7,,0,
bo3,der-eisendrache,ee-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=WYe_e7_0deQ,,co-op,44:46,3,Hockey Nerd 21,Chris Vt 91,xXCgheeperXx,,0,
bo3,der-eisendrache,ee-speedrun,classic-gobblegum-only,xbox,https://youtube.com/watch?v=tKNfHmwkALE,,solo,45:25,1,Hockey Nerd 21,,,,0,
bo3,gorod-krovi,ee-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=yMdUhY-WQWo,,co-op,46:04,3,Hockey Nerd 21,Ymmej,THE BIG SNAKE 7,,0,
bo3,gorod-krovi,ee-speedrun,classic-gobblegum-only,xbox,http://twitch.tv/videos/307465071,,co-op,48:22,2,Hockey Nerd 21,yemmij,,,0,
bo3,der-eisendrache,ee-speedrun,no-gobblegum,xbox,https://youtube.com/watch?v=opUj676x4nM,,solo,49:38,1,Hockey Nerd 21,,,,0,
bo3,gorod-krovi,ee-speedrun,no-gobblegum,xbox,http://twitch.tv/videos/307464079,,solo,51:58,1,Hockey Nerd 21,,,,0,
bo3,origins,ee-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=qNjuuh7HRjs,,co-op,52:49,4,fireshot06,xXCgheeperXx,Chris Vt 91,Hockey Nerd 21,0,
bo3,origins,ee-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=AMmwTHQSzUs,,co-op,53:14,3,Hockey Nerd 21,Chris Vt 91,xXCgheeperXx,,0,
bo3,shadows-of-evil,ee-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=h1D1XewIOQM,,co-op,53:49,4,fireshot06,xXCgheeperXx,Chris Vt 91,Hockey Nerd 21,0,
bo3,origins,ee-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=D99fAnmxB0A,,co-op,54:29,2,Hockey Nerd 21,Chris Vt 91,,,0,
