game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo,ascension,high-round,,xbox,http://twitch.tv/videos/2254054711,,co-op,90,2,I C Hell Hounds,Player 2,,,0,
bo,der-riese,high-round,,xbox,http://twitch.tv/videos/2199216334,,co-op,85,2,I C Hell Hounds,Jillygetsit,,,0,
bo,verruckt,high-round,,xbox,http://twitch.tv/videos/1829824244,,co-op,43,3,poncho58501,MyQueen11,I C Hell Hounds,,0,
bo,verruckt,high-round,,xbox,http://twitch.tv/videos/1913683869,,co-op,41,4,poncho58501,MyQueen11,Grid8103,I C Hell Hounds,0,
bo,call-of-the-dead,high-round,,xbox,http://twitch.tv/videos/2256215965,,co-op,31,4,poncho58501,MyQueen11,Grid8103,I C Hell Hounds,0,
bo,nacht-der-untoten,high-round,,xbox,http://twitch.tv/videos/1900594743,,co-op,31,4,poncho58501,JesusUgarteX,I C Hell Hounds,JulioUR98,0,
bo,ascension,flawless,,xbox,http://twitch.tv/videos/2280978059,,solo,123,1,I C Hell Hounds,,,,0,
bo,ascension,flawless,,xbox,http://twitch.tv/videos/2274445157,,co-op,75,2,I C Hell Hounds,Jillygetsit,,,0,
bo,ascension,flawless,,xbox,http://twitch.tv/videos/2254045923,,co-op,68,2,I C Hell Hounds,Grid8103,,,0,
bo,der-riese,flawless,,xbox,http://twitch.tv/videos/2178849045,,co-op,43,3,poncho58501,MyQueen11,I C Hell Hounds,,0,
bo,verruckt,flawless,,xbox,http://twitch.tv/videos/2193521985,,co-op,39,3,poncho58501,MyQueen11,I C Hell Hounds,,0,
bo,kino-der-toten,flawless,,xbox,http://twitch.tv/videos/1848789632,,co-op,36,4,I C Hell Hounds,poncho58501,Grid8103,MyQueen11,0,
bo,verruckt,flawless,,xbox,http://twitch.tv/videos/2168866495,,co-op,33,4,poncho58501,MyQueen11,I C Hell Hounds,JesusUgarteX,0,
bo,call-of-the-dead,flawless,,xbox,http://twitch.tv/videos/1832811997,,co-op,28,4,poncho58501,MyQueen11,ElNumero100,I C Hell Hounds,0,
bo,dead-ops-arcade,doa,,xbox,http://twitch.tv/videos/1836039053,,solo,64,1,I C Hell Hounds,,,,0,
bo,dead-ops-arcade,doa,,xbox,http://twitch.tv/videos/1881633077,,co-op,40,4,poncho58501,MyQueen11,ElNumero100,I C Hell Hounds,0,
bo,ascension,first-room,,xbox,http://twitch.tv/videos/1941179392,,co-op,38,2,Grid8103,I C Hell Hounds,,,0,
bo,ascension,first-room,,xbox,http://twitch.tv/videos/2334131159,,co-op,35,3,I C Hell Hounds,Grid8103,poncho58501,,0,
bo,ascension,first-room,,xbox,http://twitch.tv/videos/2159423576,,co-op,30,4,I C Hell Hounds,JesusUgarteX,poncho58501,Grid8103,0,
bo,call-of-the-dead,first-room,,xbox,http://twitch.tv/videos/2187676314,,co-op,15,3,poncho58501,MyQueen11,I C Hell Hounds,,0,
bo,moon,no-power,,xbox,http://twitch.tv/videos/2190808576,,co-op,42,3,poncho58501,MyQueen11,I C Hell Hounds,,0,
bo,call-of-the-dead,no-power,,xbox,http://twitch.tv/videos/2189314139,,co-op,34,3,poncho58501,MyQueen11,I C Hell Hounds,,0,
bo,kino-der-toten,no-power,,xbox,http://twitch.tv/videos/1895395858,,co-op,34,3,poncho58501,MyQueen11,I C Hell Hounds,,0,
bo,kino-der-toten,no-power,,xbox,http://twitch.tv/videos/1848151007,,co-op,33,4,poncho58501,MyQueen11,I C Hell Hounds,x Mad Max 25 x,0,
bo,verruckt,no-power,,xbox,http://twitch.tv/videos/2170533007,,co-op,30,4,poncho58501,MyQueen11,I C Hell Hounds,JesusUgarteX,0,
bo,der-riese,no-power,,xbox,http://twitch.tv/videos/1833499558,,solo,27,1,I C Hell Hounds,,,,0,
bo,verruckt,no-power,,xbox,http://twitch.tv/videos/1885057429,,co-op,25,4,poncho58501,MyQueen11,Grid8103,I C Hell Hounds,0,
bo,call-of-the-dead,no-power,,xbox,http://twitch.tv/videos/1881641146,,co-op,22,4,poncho58501,MyQueen11,ElNumero100,I C Hell Hounds,0,
bo,der-riese,no-perks,,xbox,http://twitch.tv/videos/2260508310,,co-op,45,2,I C Hell Hounds,poncho58501,,,0,
bo,verruckt,no-perks,,xbox,http://twitch.tv/videos/1834490743,,co-op,33,2,poncho58501,I C Hell Hounds,,,0,
bo,shangri-la,no-perks,,xbox,http://twitch.tv/videos/2187678157,,co-op,25,3,poncho58501,I C Hell Hounds,MyQueen11,,0,
bo,shi-no-numa,no-jug,,xbox,http://twitch.tv/videos/2683888006,,co-op,45,3,poncho58501,I C Hell Hounds,MyQueen11,,0,
bo,der-riese,no-jug,,xbox,http://twitch.tv/videos/2260508310,,co-op,45,2,I C Hell Hounds,poncho58501,,,0,
bo,kino-der-toten,no-jug,,xbox,http://twitch.tv/videos/2202199743,,co-op,42,3,poncho58501,MyQueen11,I C Hell Hounds,,0,
bo,der-riese,no-jug,,xbox,http://twitch.tv/videos/2201236326,,co-op,41,3,poncho58501,MyQueen11,I C Hell Hounds,,0,
bo,shi-no-numa,no-jug,,xbox,http://twitch.tv/videos/2680169617,,co-op,37,4,Grid FL,I C Hell Hounds,poncho58501,MyQueen11,0,
bo,call-of-the-dead,no-jug,,xbox,http://twitch.tv/videos/2185642163,,co-op,36,3,poncho58501,I C Hell Hounds,MyQueen11,,0,
bo,moon,no-jug,,xbox,https://youtube.com/watch?v=SIa-q8_G7qc,,co-op,35,4,Grid FL,I C Hell Hounds,poncho58501,MyQueen11,0,
bo,verruckt,no-jug,,xbox,http://twitch.tv/videos/2201233128,,co-op,33,3,poncho58501,I C Hell Hounds,MyQueen11,,0,
bo,verruckt,no-jug,,xbox,http://twitch.tv/videos/1834490743,,co-op,33,2,poncho58501,I C Hell Hounds,,,0,
bo,shangri-la,no-jug,,xbox,http://twitch.tv/videos/2185649525,,co-op,32,3,poncho58501,I C Hell Hounds,MyQueen11,,0,
bo,moon,no-jug,,xbox,http://twitch.tv/videos/2185646451,,co-op,31,3,poncho58501,I C Hell Hounds,MyQueen11,,0,
bo,nacht-der-untoten,30-speedrun,,xbox,http://twitch.tv/videos/1900594743,,co-op,2:30:00,4,poncho58501,JesusUgarteX,I C Hell Hounds,JulioUR98,0,
community,shangri-la-bo1,com-one-room,,xbox,http://twitch.tv/videos/2194363262,,co-op,32,2,poncho58501,I C Hell Hounds,,,0,
community,shi-no-numa-bo1,com-second-room,,xbox,http://twitch.tv/videos/2168869178,,co-op,32,3,poncho58501,MyQueen11,I C Hell Hounds,,0,
community,shi-no-numa-bo1,com-second-room,,xbox,http://twitch.tv/videos/2157895731,,co-op,28,4,poncho58501,MyQueen11,I C Hell Hounds,JesusUgarteX,0,
community,verruckt-bo1,com-second-room,,xbox,http://twitch.tv/videos/1848786220,,solo,17,1,I C Hell Hounds,,,,0,
community,verruckt-waw,com-second-room,,xbox,http://twitch.tv/videos/2194367062,,co-op,16,2,poncho58501,I C Hell Hounds,,,0,
community,nacht-der-untoten,com-thompson,world-at-war,xbox,http://twitch.tv/videos/2177219890,,solo,52,1,I C Hell Hounds,,,,0,
community,der-riese,com-thompson,black-ops,xbox,http://twitch.tv/videos/1864456974,,co-op,28,3,poncho58501,Grid8103,I C Hell Hounds,,0,
community,der-riese,com-thompson,black-ops,xbox,http://twitch.tv/videos/2171866222,,co-op,26,4,poncho58501,MyQueen11,Grid8103,I C Hell Hounds,0,
community,nacht-der-untoten,com-thompson,black-ops,xbox,http://twitch.tv/videos/1840742077,,co-op,26,2,poncho58501,I C Hell Hounds,,,0,
community,nacht-der-untoten,com-thompson,black-ops,xbox,http://twitch.tv/videos/2205535965,,co-op,25,4,poncho58501,Grid8103,MyQueen11,I C Hell Hounds,0,
community,der-riese,com-thompson,black-ops,xbox,http://twitch.tv/videos/1918915127,,co-op,25,3,poncho58501,MyQueen11,I C Hell Hounds,,0,
community,nacht-der-untoten,com-thompson,black-ops,xbox,http://twitch.tv/videos/1870475684,,co-op,25,3,poncho58501,I C Hell Hounds,Grid8103,,0,
community,nacht-der-untoten,com-thompson,world-at-war,xbox,http://twitch.tv/videos/1947855624,,co-op,24,3,poncho58501,I C Hell Hounds,JesusUgarteX,,0,
community,verruckt,com-thompson,black-ops,xbox,http://twitch.tv/videos/2178852479,,co-op,19,3,poncho58501,Grid8103,I C Hell Hounds,,0,
