game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo6,liberty-falls,high-round,no-gobblegums-with-support,xbox,https://youtube.com/watch?v=w16Q23Wtd3U,,solo,999,1,IVAN TRN,,,,0,
bo6,shattered-veil,high-round,with-gobblegums-with-support,xbox,https://youtube.com/watch?v=FmnpvuYgyYM,,solo,999,1,IVAN TRN,,,,0,
bo6,the-tomb,high-round,no-gobblegums-with-support,xbox,https://youtube.com/watch?v=74fLYWklCp8,,solo,999,1,IVAN TRN,,,,0,
bo6,citadelle-des-morts,high-round,no-gobblegums-with-support,xbox,http://twitch.tv/videos/2362362198,,solo,999,1,IVAN TRN,,,,0,
bocw,die-maschine,high-round,with-support,xbox,http://twitch.tv/videos/1121965457,,solo,551,1,IVAN TRN,,,,0,
bo4,blood-of-the-dead,high-round,all-elixirs-talismans,xbox,http://twitch.tv/videos/416259354,,solo,255,1,IVAN TRN,,,,0,
bo4,ancient-evil,high-round,classic-elixirs-only,xbox,http://twitch.tv/videos/410401710,,solo,255,1,IVAN TRN,,,,0,
bo4,ix,high-round,all-elixirs-talismans,xbox,http://twitch.tv/videos/942803221,,co-op,150,2,IVAN TRN,Qxo2,,,0,
bo4,tag-der-toten,high-round,classic-elixirs-only,xbox,http://twitch.tv/videos/529695101,,co-op,140,2,IVAN TRN,T senior1017,,,0,
bo4,dead-of-the-night,high-round,all-elixirs-talismans,xbox,http://twitch.tv/videos/365702674,,co-op,65,4,qP Exodia,qP Skill,IVAN TRN,AuctionedCoffee,0,
bo4,classified,high-round,all-elixirs-talismans,xbox,http://twitch.tv/videos/365700361,,co-op,65,4,qP Exodia,qP Skill,AuctionedCoffee,IVAN TRN,0,
bo4,voyage-of-despair,high-round,all-elixirs-talismans,xbox,http://twitch.tv/videos/360189313,,co-op,57,4,qP Exodia,qP Hadez,BLACK JACOB7777,IVAN TRN,0,
bo4,ix,high-round,classic-elixirs-only,xbox,http://twitch.tv/videos/746885961,,co-op,54,4,qP Exodia,MertarTj,ixcis,IVAN TRN,0,
bo4,blood-of-the-dead-hardcore,high-round-hc,all-elixirs-talismans,xbox,http://twitch.tv/videos/478436874,,solo,225,1,IVAN TRN,,,,0,
bo4,blood-of-the-dead-hardcore,high-round-hc,classic-elixirs-only,xbox,http://twitch.tv/videos/427339042,,solo,187,1,IVAN TRN,,,,0,
bo4,classified-hardcore,high-round-hc,all-elixirs-talismans,xbox,http://twitch.tv/videos/446181490,,solo,58,1,IVAN TRN,,,,0,
bo4,blood-of-the-dead,flawless,all-elixirs-talismans,xbox,http://twitch.tv/videos/416259354,,solo,255,1,IVAN TRN,,,,0,
bo4,ancient-evil,flawless,classic-elixirs-only,xbox,http://twitch.tv/videos/410401710,,solo,255,1,IVAN TRN,,,,0,
bo4,blood-of-the-dead,flawless,classic-elixirs-only,xbox,http://twitch.tv/videos/389058060,,solo,170,1,IVAN TRN,,,,0,
bo4,ix,flawless,all-elixirs-talismans,xbox,http://twitch.tv/videos/942803221,,co-op,150,2,IVAN TRN,Qxo2,,,0,
bo4,classified,flawless,all-elixirs-talismans,xbox,http://twitch.tv/videos/364870094,,co-op,65,4,qP Exodia,qP Skill,IVAN TRN,AuctionedCoffee,0,
bo4,dead-of-the-night,flawless,all-elixirs-talismans,xbox,http://twitch.tv/videos/365702674,,co-op,60,4,AuctionedCoffee,qP Exodia,qP Skill,IVAN TRN,0,
bo4,voyage-of-despair,flawless,all-elixirs-talismans,xbox,http://twitch.tv/videos/365699244,,co-op,57,4,qP Exodia,qP Hadez,BLACK JACOB7777,IVAN TRN,0,
bo4,ix,flawless,classic-elixirs-only,xbox,http://twitch.tv/videos/746885961,,co-op,54,4,qP Exodia,MertarTj,ixcis,IVAN TRN,0,
bo4,blood-of-the-dead-hardcore,flawless-hc,classic-elixirs-only,xbox,http://twitch.tv/videos/428321432,,solo,187,1,IVAN TRN,,,,0,
bo4,blood-of-the-dead-hardcore,flawless-hc,all-elixirs-talismans,xbox,http://twitch.tv/videos/478421841,,solo,164,1,IVAN TRN,,,,0,
bo3,zetsubou-no-shima,first-room,mega-gobblegum,xbox,http://twitch.tv/videos/1983797991,,solo,125,1,IVAN TRN,,,,0,
bo3,origins,first-room,mega-gobblegum,xbox,http://twitch.tv/videos/1994722213,,solo,111,1,IVAN TRN,,,,0,
bo3,der-eisendrache,first-room,mega-gobblegum,xbox,http://twitch.tv/videos/1913786130,,solo,83,1,IVAN TRN,,,,0,
bo3,shangri-la,first-room,mega-gobblegum,xbox,http://twitch.tv/videos/1921224522,,solo,71,1,IVAN TRN,,,,0,
bo4,voyage-of-despair,first-room,no-elixirs,xbox,http://twitch.tv/videos/766747547,,co-op,28,4,qP Exodia,BLACK JACOB7777,IVAN TRN,ixcis,0,
bo3,zetsubou-no-shima,no-power,mega-gobblegum,xbox,http://twitch.tv/videos/1983797991,,solo,125,1,IVAN TRN,,,,0,
bo6,shattered-veil,no-perks,no-gobblegums-with-support,xbox,https://youtube.com/watch?v=UgbAjENdOvo,,solo,104,1,IVAN TRN,,,,0,
bo4,ix,30-speedrun,classic-elixirs-only,xbox,https://youtube.com/watch?v=WfL4Bw8loRU,,co-op,55:26,4,qP Exodia,ixcis,MertarTj,IVAN TRN,0,
bo4,classified,30-speedrun,all-elixirs-talismans,xbox,https://youtube.com/watch?v=DnRm2rSNxko,,co-op,59:54,4,qP Exodia,qP Skill,IVAN TRN,AuctionedCoffee,0,
bo4,dead-of-the-night,30-speedrun,all-elixirs-talismans,xbox,https://youtube.com/watch?v=-aVxOebdZis,,co-op,1:04:00,4,qP Exodia,IVAN TRN,qP Skill,AuctionedCoffee,0,
bo4,voyage-of-despair,30-speedrun,all-elixirs-talismans,xbox,https://youtube.com/watch?v=BgrasjuzfcM,,co-op,1:08:25,4,qP Exodia,BLACK JACOB7777,qP Hadez,IVAN TRN,0,
bo4,alpha-omega,30-speedrun,classic-elixirs-only,xbox,https://youtube.com/watch?v=dzl-aeZGhiA,,co-op,1:09:42,4,qP Exodia,qP Skill,ixcis,IVAN TRN,0,
bo4,ix,50-speedrun,classic-elixirs-only,xbox,https://youtube.com/watch?v=WfL4Bw8loRU,,co-op,2:01:57,4,qP Exodia,MertarTj,ixcis,IVAN TRN,0,
bo4,classified,50-speedrun,all-elixirs-talismans,xbox,https://youtube.com/watch?v=DnRm2rSNxko,,co-op,2:29:26,4,qP Exodia,qP Skill,IVAN TRN,AuctionedCoffee,0,
bo4,dead-of-the-night,50-speedrun,all-elixirs-talismans,xbox,https://youtube.com/watch?v=-aVxOebdZis,,co-op,2:35:08,4,qP Exodia,qP Skill,IVAN TRN,AuctionedCoffee,0,
bo4,voyage-of-despair,50-speedrun,all-elixirs-talismans,xbox,https://youtube.com/watch?v=BgrasjuzfcM,,co-op,3:21:13,4,qP Exodia,IVAN TRN,qP Hadez,BLACK JACOB7777,0,
